"pasture","year","value","category","densitykm2"
"East Yana","2007",121,"total adults",27.5
"East Yana","2008",93,"total adults",21.14
"East Yana","2009",127,"total adults",28.86
"East Yana","2010",102,"total adults",23.18
"East Yana","2011",170,"total adults",38.64
"East Yana","2012",138,"total adults",31.36
"East Yana","2013",119,"total adults",27.05
"East Yana","2014",168,"total adults",38.18
"East Yana","2015",200,"total adults",45.45
"East Yana","2016",98,"total adults",22.27
"East Yana","2017",69,"total adults",15.68
"East Yana","2018",70,"total adults",15.91
"East Yana","2019",85,"total adults",19.32
"East Yana","2020",84,"total adults",19.09
"East Yana","2021",93,"total adults",21.14
"East Yana","2022",72,"total adults",16.36
"West Yana","2007",44,"total adults",10
"West Yana","2008",48,"total adults",10.91
"West Yana","2009",68,"total adults",15.45
"West Yana","2010",60,"total adults",13.64
"West Yana","2011",127,"total adults",28.86
"West Yana","2012",127,"total adults",28.86
"West Yana","2013",162,"total adults",36.82
"West Yana","2014",187,"total adults",42.5
"West Yana","2015",213,"total adults",48.41
"West Yana","2016",112,"total adults",25.45
"West Yana","2017",92,"total adults",20.91
"West Yana","2018",87,"total adults",19.77
"West Yana","2019",105,"total adults",23.86
"West Yana","2020",180,"total adults",40.91
"West Yana","2021",114,"total adults",25.91
"West Yana","2022",74,"total adults",16.82
