"pasture","year","value","category"
"East Yana",2007,121,"total adults"
"East Yana",2008,93,"total adults"
"East Yana",2009,127,"total adults"
"East Yana",2010,102,"total adults"
"East Yana",2011,170,"total adults"
"East Yana",2012,138,"total adults"
"East Yana",2013,119,"total adults"
"East Yana",2014,168,"total adults"
"East Yana",2015,200,"total adults"
"East Yana",2016,98,"total adults"
"East Yana",2017,69,"total adults"
"East Yana",2018,70,"total adults"
"East Yana",2019,85,"total adults"
"East Yana",2020,84,"total adults"
"East Yana",2021,93,"total adults"
"East Yana",2022,72,"total adults"
"West Yana",2007,44,"total adults"
"West Yana",2008,48,"total adults"
"West Yana",2009,68,"total adults"
"West Yana",2010,60,"total adults"
"West Yana",2011,127,"total adults"
"West Yana",2012,127,"total adults"
"West Yana",2013,162,"total adults"
"West Yana",2014,187,"total adults"
"West Yana",2015,213,"total adults"
"West Yana",2016,112,"total adults"
"West Yana",2017,92,"total adults"
"West Yana",2018,87,"total adults"
"West Yana",2019,105,"total adults"
"West Yana",2020,180,"total adults"
"West Yana",2021,114,"total adults"
"West Yana",2022,74,"total adults"
