"animal_id","date","year_cap","year_birth","cap_loc","rel_loc","sex","age","weight","dmp_past","B.C.Score","month","monthday","early.late"
"270-2007-1-003",2007-07-03,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-03",1
"270-2007-1-006",2007-07-13,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-13",1
"270-2007-1-007",2007-07-13,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-13",1
"270-2007-1-009",2007-07-14,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-14",1
"270-2007-1-010",2007-07-16,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-16",1
"270-2007-1-011",2007-07-24,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-24",1
"270-2007-1-012",2007-07-24,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-24",1
"270-2007-1-013",2007-07-27,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-27",1
"270-2007-1-051",2007-07-18,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-18",1
"270-2007-1-053",2007-07-18,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-18",1
"270-2007-1-056",2007-07-22,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-22",1
"270-2007-1-057",2007-07-22,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-22",1
"270-2007-1-058",2007-07-24,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-24",1
"270-2007-1-061",2007-07-27,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-27",1
"270-2007-1-062",2007-07-29,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-29",1
"270-2007-1-065",2007-07-31,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-31",1
"270-2007-1-066",2007-07-31,2007,2007,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-31",1
"270-2008-1-003",2008-07-04,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-04",1
"270-2008-1-006",2008-07-10,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-10",1
"270-2008-1-008",2008-07-12,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-12",1
"270-2008-1-011",2008-07-17,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-17",1
"270-2008-1-012",2008-07-19,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-19",1
"270-2008-1-013",2008-08-04,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-04",2
"270-2008-1-014",2008-08-05,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-05",2
"270-2008-1-016",2008-08-08,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-08",2
"270-2008-1-017",2008-08-05,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-05",2
"270-2008-1-018",2008-08-05,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-05",2
"270-2008-1-019",2008-08-04,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-04",2
"270-2008-1-020",2008-07-28,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-28",1
"270-2008-1-022",2008-07-31,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-31",1
"270-2008-1-025",2008-08-04,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-04",2
"270-2008-1-027",2008-08-08,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-08",2
"270-2008-1-028",2008-08-08,2008,2008,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-08",2
"270-2009-1-002",2009-07-03,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-03",1
"270-2009-1-005",2009-07-20,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-20",1
"270-2009-1-008",2009-07-21,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-21",1
"270-2009-1-009",2009-07-21,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-21",1
"270-2009-1-010",2009-07-21,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-21",1
"270-2009-1-011",2009-07-26,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-26",1
"270-2009-1-012",2009-07-26,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-26",1
"270-2009-1-013",2009-07-26,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-26",1
"270-2009-1-020",2009-07-06,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-06",1
"270-2009-1-021",2009-07-06,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-06",1
"270-2009-1-022",2009-07-09,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-09",1
"270-2009-1-023",2009-07-13,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-13",1
"270-2009-1-024",2009-07-14,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-14",1
"270-2009-1-029",2009-07-20,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-20",1
"270-2009-1-032",2009-07-22,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-22",1
"270-2009-1-033",2009-07-22,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-22",1
"270-2009-1-038",2009-08-11,2009,2009,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-11",2
"270-2010-1-001",2010-06-28,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"june","06-28",1
"270-2010-1-003",2010-06-28,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"june","06-28",1
"270-2010-1-004",2010-06-28,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"june","06-28",1
"270-2010-1-005",2010-06-28,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"june","06-28",1
"270-2010-1-006",2010-07-02,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-02",1
"270-2010-1-007",2010-07-02,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-02",1
"270-2010-1-009",2010-07-02,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-02",1
"270-2010-1-010",2010-07-02,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-02",1
"270-2010-1-013",2010-07-05,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2010-1-014",2010-07-05,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2010-1-015",2010-07-05,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2010-1-019",2010-07-07,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2010-1-020",2010-07-07,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2010-1-021",2010-07-07,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2010-1-023",2010-07-07,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
