2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,bs
1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2
1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,3
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,2
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2
1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,3
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,2
1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3
0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3
0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2
0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,3
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
