"animal_id","birth_year","bs","year","status","ageclass","sum.jun.jul.aug","sum.march.apr.may","sum.sept.oct","oct","annual","annual.sc","sum.march.apr.may.sc","sum.jun.jul.aug.sc"
"270-2007-1-001",2007,"dmp",2008,1,1,4.1,5.6,8.4,1.5,19.4,-0.604298272565028,-0.248521497288458,-0.78404951376817
"270-2007-1-001",2007,"dmp",2009,1,2,9.7,8.6,7.4,2.4,33.2,1.33088677503167,0.671689531126697,1.13654040483219
"270-2007-1-001",2007,"dmp",2010,1,3,2.5,1.5,5.7,0,11.1,-1.76821391713406,-1.5061432361225,-1.33278949051113
"270-2007-1-001",2007,"dmp",2011,1,4,1.5,8.6,3.5,6,18.5,-0.730505993060465,0.671689531126697,-1.67575197597548
"270-2007-1-001",2007,"dmp",2012,1,5,12,7.8,10,5,31.9,1.14858673431604,0.426299923549323,1.92535412140019
"270-2007-1-001",2007,"dmp",2013,1,6,7.7,2.9,6.7,2.4,21.9,-0.253721271188814,-1.0767114228621,0.450615433903487
"270-2007-1-001",2007,"dmp",2014,1,7,4.4,12.4,5,0.3,29.2,0.769963572829731,1.83729016711923,-0.681160768128865
"270-2007-1-001",2007,"dmp",2015,0,8,4.5,7.9,1.3,0,17.8,-0.828667553445804,0.456973624496495,-0.64686451958243
"270-2007-1-001",2007,"dmp",2016,1,9,5.6,4.6,10.81,0,27.11,0.476881199679216,-0.555258506760176,-0.269605785571646
"270-2007-1-001",2007,"dmp",2017,0,10,4.8,2.3,17.7,0.9,29.8,0.854102053160023,-1.26075362854513,-0.543975773943125
"270-2007-1-001",2007,"dmp",2018,0,11,4.7,3.4,3,0.3,13.8,-1.38959075564775,-0.923342918126238,-0.57827202248956
"270-2007-1-001",2007,"dmp",2019,0,12,7.8,5.7,4.6,4.8,20.6,-0.436021311904445,-0.217847796341286,0.484911682449922
"270-2007-1-001",2007,"dmp",2020,0,13,10.1,6.2,0.3,0,22,-0.239698191133765,-0.0644792916054265,1.27372539901793
"270-2007-1-001",2007,"dmp",2021,0,14,7,7.8,4.5,2.7,19.8,-0.548205952344833,0.426299923549323,0.210541694078443
"270-2007-1-001",2007,"dmp",2022,0,15,NA,NA,NA,NA,NA,NA,NA,NA
"270-2007-1-006",2007,"dmp",2008,1,1,4.1,5.6,8.4,1.5,19.4,-0.604298272565028,-0.248521497288458,-0.78404951376817
"270-2007-1-006",2007,"dmp",2009,1,2,9.7,8.6,7.4,2.4,33.2,1.33088677503167,0.671689531126697,1.13654040483219
"270-2007-1-006",2007,"dmp",2010,1,3,2.5,1.5,5.7,0,11.1,-1.76821391713406,-1.5061432361225,-1.33278949051113
