"zero_indices","animal_id","birth_year","bs","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
FALSE,"270-2007-1-001",2007,"dmp",1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
FALSE,"270-2007-1-003",2007,"dmp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2007-1-006",2007,"dmp",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
FALSE,"270-2007-1-007",2007,"dmp",1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
FALSE,"270-2007-1-009",2007,"dmp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2007-1-010",2007,"dmp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2007-1-011",2007,"dmp",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
FALSE,"270-2007-1-012",2007,"dmp",1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0
FALSE,"270-2007-1-013",2007,"dmp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2007-1-051",2007,"dmp",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
FALSE,"270-2007-1-053",2007,"dmp",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2007-1-056",2007,"dmp",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
FALSE,"270-2007-1-057",2007,"dmp",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
FALSE,"270-2007-1-058",2007,"dmp",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2007-1-061",2007,"dmp",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2007-1-062",2007,"dmp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2007-1-065",2007,"dmp",1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0
FALSE,"270-2007-1-066",2007,"dmp",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
FALSE,"270-2008-1-003",2008,"dmp",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2008-1-006",2008,"dmp",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2008-1-008",2008,"dmp",0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0
FALSE,"270-2008-1-011",2008,"dmp",0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
FALSE,"270-2008-1-012",2008,"dmp",0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
FALSE,"270-2008-1-013",2008,"dmp",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
FALSE,"270-2008-1-014",2008,"dmp",0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
FALSE,"270-2008-1-016",2008,"dmp",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2008-1-017",2008,"dmp",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
FALSE,"270-2008-1-018",2008,"dmp",0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0
FALSE,"270-2008-1-019",2008,"dmp",0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0
FALSE,"270-2008-1-020",2008,"dmp",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2008-1-022",2008,"dmp",0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
FALSE,"270-2008-1-025",2008,"dmp",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2008-1-027",2008,"dmp",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2008-1-028",2008,"dmp",0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
FALSE,"270-2009-1-002",2009,"dmp",0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
FALSE,"270-2009-1-005",2009,"dmp",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2009-1-008",2009,"dmp",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2009-1-009",2009,"dmp",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2009-1-010",2009,"dmp",0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0
FALSE,"270-2009-1-011",2009,"dmp",0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0
FALSE,"270-2009-1-012",2009,"dmp",0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
FALSE,"270-2009-1-013",2009,"dmp",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2009-1-020",2009,"dmp",0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
FALSE,"270-2009-1-021",2009,"dmp",0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
FALSE,"270-2009-1-022",2009,"dmp",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2009-1-023",2009,"dmp",0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
FALSE,"270-2009-1-024",2009,"dmp",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2009-1-029",2009,"dmp",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2009-1-032",2009,"dmp",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2009-1-033",2009,"dmp",0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
FALSE,"270-2009-1-038",2009,"dmp",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
FALSE,"270-2010-1-001",2010,"dmp",0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2010-1-003",2010,"dmp",0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
FALSE,"270-2010-1-004",2010,"dmp",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2010-1-005",2010,"dmp",0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2010-1-006",2010,"dmp",0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0
FALSE,"270-2010-1-007",2010,"dmp",0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0
