"category","year","value","pasture"
"TOTAL BUCKS",2007,80,"East Yana"
"TOTAL BUCKS",2008,55,"East Yana"
"TOTAL BUCKS",2009,72,"East Yana"
"TOTAL BUCKS",2010,49,"East Yana"
"TOTAL BUCKS",2011,84,"East Yana"
"TOTAL BUCKS",2012,69,"East Yana"
"TOTAL BUCKS",2013,75,"East Yana"
"TOTAL BUCKS",2014,89,"East Yana"
"TOTAL BUCKS",2015,109,"East Yana"
"TOTAL BUCKS",2016,53,"East Yana"
"TOTAL BUCKS",2017,34,"East Yana"
"TOTAL BUCKS",2018,41,"East Yana"
"TOTAL BUCKS",2019,34,"East Yana"
"TOTAL BUCKS",2020,40,"East Yana"
"TOTAL BUCKS",2021,37,"East Yana"
"DOES",2007,41,"East Yana"
"DOES",2008,38,"East Yana"
"DOES",2009,55,"East Yana"
"DOES",2010,53,"East Yana"
"DOES",2011,86,"East Yana"
"DOES",2012,69,"East Yana"
"DOES",2013,44,"East Yana"
"DOES",2014,79,"East Yana"
"DOES",2015,91,"East Yana"
"DOES",2016,45,"East Yana"
"DOES",2017,35,"East Yana"
"DOES",2018,29,"East Yana"
"DOES",2019,51,"East Yana"
"DOES",2020,44,"East Yana"
"DOES",2021,56,"East Yana"
"FAWNS",2007,35,"East Yana"
"FAWNS",2008,42,"East Yana"
"FAWNS",2009,38,"East Yana"
"FAWNS",2010,34,"East Yana"
"FAWNS",2011,30,"East Yana"
"FAWNS",2012,51,"East Yana"
"FAWNS",2013,46,"East Yana"
"FAWNS",2014,70,"East Yana"
"FAWNS",2015,68,"East Yana"
"FAWNS",2016,26,"East Yana"
"FAWNS",2017,13,"East Yana"
"FAWNS",2018,9,"East Yana"
"FAWNS",2019,33,"East Yana"
"FAWNS",2020,33,"East Yana"
"FAWNS",2021,31,"East Yana"
"TOTAL DEER",2007,156,"East Yana"
"TOTAL DEER",2008,135,"East Yana"
"TOTAL DEER",2009,165,"East Yana"
"TOTAL DEER",2010,136,"East Yana"
"TOTAL DEER",2011,200,"East Yana"
"TOTAL DEER",2012,189,"East Yana"
"TOTAL DEER",2013,165,"East Yana"
"TOTAL DEER",2014,238,"East Yana"
"TOTAL DEER",2015,268,"East Yana"
"TOTAL DEER",2016,124,"East Yana"
"TOTAL DEER",2017,82,"East Yana"
"TOTAL DEER",2018,79,"East Yana"
"TOTAL DEER",2019,118,"East Yana"
"TOTAL DEER",2020,117,"East Yana"
"TOTAL DEER",2021,124,"East Yana"
"Number of Feeders",2007,12,"East Yana"
"Number of Feeders",2008,12,"East Yana"
"Number of Feeders",2009,12,"East Yana"
"Number of Feeders",2010,12,"East Yana"
"Number of Feeders",2011,12,"East Yana"
"Number of Feeders",2012,12,"East Yana"
"Number of Feeders",2013,12,"East Yana"
"Number of Feeders",2014,12,"East Yana"
"Number of Feeders",2015,12,"East Yana"
"Number of Feeders",2016,12,"East Yana"
"Number of Feeders",2017,12,"East Yana"
"Number of Feeders",2018,12,"East Yana"
"Number of Feeders",2019,12,"East Yana"
"Number of Feeders",2020,12,"East Yana"
"Number of Feeders",2021,12,"East Yana"
"Doe Harvest",2007,0,"East Yana"
"Doe Harvest",2008,0,"East Yana"
"Doe Harvest",2009,-16,"East Yana"
"Doe Harvest",2010,0,"East Yana"
"Doe Harvest",2011,-15,"East Yana"
"Doe Harvest",2012,-10,"East Yana"
"Doe Harvest",2013,-16,"East Yana"
"Doe Harvest",2014,-46,"East Yana"
"Doe Harvest",2015,-98,"East Yana"
"Doe Harvest",2016,-4,"East Yana"
"Doe Harvest",2017,0,"East Yana"
"Doe Harvest",2018,-1,"East Yana"
"Doe Harvest",2019,0,"East Yana"
"Doe Harvest",2020,-16,"East Yana"
"Doe Harvest",2021,NA,"East Yana"
