"birth_year","bs","animal_id","year","status","ageclass","sum.jun.jul.aug","sum.march.apr.may","sum.sept.oct","oct","cy.rain","annual.sc","sum.march.apr.may.sc","sum.jun.jul.aug.sc","weight","bcsin","weightkg","bcscm","by.rain","by.rain.sc","cy.rain.one.prior","by.rain.one.prior","cy.rain.one.prior.sc","by.rain.one.prior.sc"
2007,"dmp","270-2007-1-001",2008,1,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,131,68,59.55,172.72,38.35,1.50791429652727,38.35,13.6,1.57151720327785,-1.23205983721598
2007,"dmp","270-2007-1-001",2009,1,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,165,100.625,75,255.59,38.35,1.50791429652727,20.3,13.6,-0.529427177464986,-1.23205983721598
2007,"dmp","270-2007-1-001",2010,1,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,172,117.875,78.18,299.4,38.35,1.50791429652727,20.4,13.6,-0.517787596408239,-1.23205983721598
2007,"dmp","270-2007-1-001",2011,1,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,189,130.75,85.91,332.11,38.35,1.50791429652727,31.8,13.6,0.80912464406092,-1.23205983721598
2007,"dmp","270-2007-1-001",2012,1,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,205,142.25,93.18,361.32,38.35,1.50791429652727,14.1,13.6,-1.2510812029833,-1.23205983721598
2007,"dmp","270-2007-1-001",2013,1,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,212,137.875,96.36,350.2,38.35,1.50791429652727,15.8,13.6,-1.0532083250186,-1.23205983721598
2007,"dmp","270-2007-1-001",2014,1,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,NA,NA,NA,NA,38.35,1.50791429652727,34.5,13.6,1.12339333259309,-1.23205983721598
2007,"dmp","270-2007-1-001",2015,0,8,4.4,12.4,5,0.3,29.1,0.793773991,1.917244761,-0.745472608,NA,NA,NA,NA,38.35,1.50791429652727,22.1,13.6,-0.31991471844354,-1.23205983721598
2007,"dmp","270-2007-1-001",2016,1,9,4.5,7.9,1.3,0,20.2,-0.475747497,0.495198941,-0.714407543,191,138.5,86.82,351.79,38.35,1.50791429652727,29.1,13.6,0.494855955528751,-1.23205983721598
2007,"dmp","270-2007-1-001",2017,0,10,5.6,4.6,10.81,0,24.61,0.153307533,-0.54763466,-0.372691834,NA,NA,NA,NA,38.35,1.50791429652727,20.2,13.6,-0.541066758521733,-1.23205983721598
2007,"dmp","270-2007-1-001",2018,0,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA,38.35,1.50791429652727,24.61,13.6,-0.0277612339191902,-1.23205983721598
2007,"dmp","270-2007-1-001",2019,0,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA,38.35,1.50791429652727,29.1,13.6,0.494855955528751,-1.23205983721598
2007,"dmp","270-2007-1-001",2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA,38.35,1.50791429652727,12,13.6,-1.49551240517499,-1.23205983721598
2007,"dmp","270-2007-1-001",2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA,38.35,1.50791429652727,23.1,13.6,-0.20351890787607,-1.23205983721598
2007,"dmp","270-2007-1-001",2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA,38.35,1.50791429652727,19.4,13.6,-0.634183406975709,-1.23205983721598
2007,"dmp","270-2007-1-006",2008,1,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,125,34.125,56.82,86.68,38.35,1.50791429652727,38.35,13.6,1.57151720327785,-1.23205983721598
2007,"dmp","270-2007-1-006",2009,1,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,161,87.25,73.18,221.62,38.35,1.50791429652727,20.3,13.6,-0.529427177464986,-1.23205983721598
2007,"dmp","270-2007-1-006",2010,1,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,201,122.75,91.36,311.79,38.35,1.50791429652727,20.4,13.6,-0.517787596408239,-1.23205983721598
2007,"dmp","270-2007-1-006",2011,1,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,191,118.875,86.82,301.94,38.35,1.50791429652727,31.8,13.6,0.80912464406092,-1.23205983721598
2007,"dmp","270-2007-1-006",2012,1,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,207,149.875,94.09,380.68,38.35,1.50791429652727,14.1,13.6,-1.2510812029833,-1.23205983721598
2007,"dmp","270-2007-1-006",2013,1,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,228,142.625,103.64,362.27,38.35,1.50791429652727,15.8,13.6,-1.0532083250186,-1.23205983721598
2007,"dmp","270-2007-1-006",2014,1,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,217,149.125,98.64,378.78,38.35,1.50791429652727,34.5,13.6,1.12339333259309,-1.23205983721598
2007,"dmp","270-2007-1-006",2015,1,8,4.4,12.4,5,0.3,29.1,0.793773991,1.917244761,-0.745472608,204,159.125,92.73,404.18,38.35,1.50791429652727,22.1,13.6,-0.31991471844354,-1.23205983721598
2007,"dmp","270-2007-1-006",2016,1,9,4.5,7.9,1.3,0,20.2,-0.475747497,0.495198941,-0.714407543,191,149.5,86.82,379.73,38.35,1.50791429652727,29.1,13.6,0.494855955528751,-1.23205983721598
2007,"dmp","270-2007-1-006",2017,1,10,5.6,4.6,10.81,0,24.61,0.153307533,-0.54763466,-0.372691834,178,146,80.91,370.84,38.35,1.50791429652727,20.2,13.6,-0.541066758521733,-1.23205983721598
2007,"dmp","270-2007-1-006",2018,0,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA,38.35,1.50791429652727,24.61,13.6,-0.0277612339191902,-1.23205983721598
2007,"dmp","270-2007-1-006",2019,0,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA,38.35,1.50791429652727,29.1,13.6,0.494855955528751,-1.23205983721598
2007,"dmp","270-2007-1-006",2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA,38.35,1.50791429652727,12,13.6,-1.49551240517499,-1.23205983721598
2007,"dmp","270-2007-1-006",2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA,38.35,1.50791429652727,23.1,13.6,-0.20351890787607,-1.23205983721598
2007,"dmp","270-2007-1-006",2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA,38.35,1.50791429652727,19.4,13.6,-0.634183406975709,-1.23205983721598
2007,"dmp","270-2007-1-007",2008,1,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,147,68.5,66.82,173.99,38.35,1.50791429652727,38.35,13.6,1.57151720327785,-1.23205983721598
2007,"dmp","270-2007-1-007",2009,1,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,173,109.375,78.64,277.81,38.35,1.50791429652727,20.3,13.6,-0.529427177464986,-1.23205983721598
2007,"dmp","270-2007-1-007",2010,1,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,210,126,95.45,320.04,38.35,1.50791429652727,20.4,13.6,-0.517787596408239,-1.23205983721598
2007,"dmp","270-2007-1-007",2011,1,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,209,129.75,95,329.57,38.35,1.50791429652727,31.8,13.6,0.80912464406092,-1.23205983721598
2007,"dmp","270-2007-1-007",2012,1,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,215,143.25,97.73,363.86,38.35,1.50791429652727,14.1,13.6,-1.2510812029833,-1.23205983721598
2007,"dmp","270-2007-1-007",2013,0,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,NA,NA,NA,NA,38.35,1.50791429652727,15.8,13.6,-1.0532083250186,-1.23205983721598
2007,"dmp","270-2007-1-007",2014,1,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,238,142.25,108.18,361.32,38.35,1.50791429652727,34.5,13.6,1.12339333259309,-1.23205983721598
2007,"dmp","270-2007-1-007",2015,1,8,4.4,12.4,5,0.3,29.1,0.793773991,1.917244761,-0.745472608,206,139.375,93.64,354.01,38.35,1.50791429652727,22.1,13.6,-0.31991471844354,-1.23205983721598
2007,"dmp","270-2007-1-007",2016,0,9,4.5,7.9,1.3,0,20.2,-0.475747497,0.495198941,-0.714407543,NA,NA,NA,NA,38.35,1.50791429652727,29.1,13.6,0.494855955528751,-1.23205983721598
2007,"dmp","270-2007-1-007",2017,0,10,5.6,4.6,10.81,0,24.61,0.153307533,-0.54763466,-0.372691834,NA,NA,NA,NA,38.35,1.50791429652727,20.2,13.6,-0.541066758521733,-1.23205983721598
2007,"dmp","270-2007-1-007",2018,0,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA,38.35,1.50791429652727,24.61,13.6,-0.0277612339191902,-1.23205983721598
2007,"dmp","270-2007-1-007",2019,0,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA,38.35,1.50791429652727,29.1,13.6,0.494855955528751,-1.23205983721598
2007,"dmp","270-2007-1-007",2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA,38.35,1.50791429652727,12,13.6,-1.49551240517499,-1.23205983721598
2007,"dmp","270-2007-1-007",2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA,38.35,1.50791429652727,23.1,13.6,-0.20351890787607,-1.23205983721598
2007,"dmp","270-2007-1-007",2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA,38.35,1.50791429652727,19.4,13.6,-0.634183406975709,-1.23205983721598
2007,"dmp","270-2007-1-011",2008,0,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,NA,NA,NA,NA,38.35,1.50791429652727,38.35,13.6,1.57151720327785,-1.23205983721598
2007,"dmp","270-2007-1-011",2009,1,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,165,54.25,75,137.8,38.35,1.50791429652727,20.3,13.6,-0.529427177464986,-1.23205983721598
2007,"dmp","270-2007-1-011",2010,1,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,190,104.75,86.36,266.07,38.35,1.50791429652727,20.4,13.6,-0.517787596408239,-1.23205983721598
2007,"dmp","270-2007-1-011",2011,1,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,196,116.75,89.09,296.55,38.35,1.50791429652727,31.8,13.6,0.80912464406092,-1.23205983721598
2007,"dmp","270-2007-1-011",2012,1,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,NA,NA,NA,NA,38.35,1.50791429652727,14.1,13.6,-1.2510812029833,-1.23205983721598
2007,"dmp","270-2007-1-011",2013,1,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,198,118.625,90,301.31,38.35,1.50791429652727,15.8,13.6,-1.0532083250186,-1.23205983721598
2007,"dmp","270-2007-1-011",2014,1,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,208,123.75,94.55,314.33,38.35,1.50791429652727,34.5,13.6,1.12339333259309,-1.23205983721598
2007,"dmp","270-2007-1-011",2015,0,8,4.4,12.4,5,0.3,29.1,0.793773991,1.917244761,-0.745472608,NA,NA,NA,NA,38.35,1.50791429652727,22.1,13.6,-0.31991471844354,-1.23205983721598
