"animal_id","cap_year","birth_year","age","bs","status","status_cam","status_nocam","adult_density","pmdi_annual","pmdi_spring","pmdi_summer","pmdi_fall","pmdi_winter"
"270-2007-1-001",2007,2007,0.5,"dmp","Captured",1,1,10,3.04,1.62333333333333,6,4.53666666666667,-1.56666666666667
"270-2007-1-001",2008,2007,1.5,"dmp","Captured",1,1,10.91,-2.125,-2.54666666666667,-2.20666666666667,-2.32666666666667,0.0366666666666666
"270-2007-1-001",2009,2007,2.5,"dmp","Captured",1,1,15.45,-3.89916666666667,-3.96,-5.08666666666667,-3.69666666666667,-3.27
"270-2007-1-001",2010,2007,3.5,"dmp","Captured",1,1,13.64,1.1,2.23,1.45666666666667,0.513333333333333,0.123333333333333
"270-2007-1-001",2011,2007,4.5,"dmp","Captured",1,1,28.86,-3.3625,-3.19333333333333,-4.41333333333333,-4.20666666666667,-1.53333333333333
"270-2007-1-001",2012,2007,5.5,"dmp","Captured",1,1,28.86,-0.763333333333333,1.29,-0.876666666666667,-1.53333333333333,-1.67333333333333
"270-2007-1-001",2013,2007,6.5,"dmp","Captured",1,1,36.82,-1.95083333333333,-3.10666666666667,-2.17666666666667,-1.04333333333333,-2.49333333333333
"270-2007-1-001",2014,2007,7.5,"dmp","Alive-Cuddy",1,0,42.5,-1.2175,-0.98,-2.16333333333333,-1.51333333333333,0.00666666666666666
"270-2007-1-001",2015,2007,8.5,"dmp","not_detected",0,0,48.41,1.83166666666667,2.94333333333333,3.56666666666667,0.42,0.223333333333333
"270-2007-1-001",2016,2007,9.5,"dmp","Captured",1,1,25.45,-0.574166666666667,-0.553333333333333,-0.816666666666667,-0.986666666666667,-0.183333333333333
"270-2007-1-001",2017,2007,10.5,"dmp","not_detected",0,0,20.91,-0.921666666666667,-0.983333333333333,-1.73,-0.536666666666667,-0.11
"270-2007-1-001",2018,2007,11.5,"dmp","not_detected",0,0,19.77,-0.465,-1.89,-2.77666666666667,2.41333333333333,-0.356666666666667
"270-2007-1-001",2019,2007,12.5,"dmp","not_detected",0,0,23.86,-1.40833333333333,-0.516666666666667,-1.77,-2.95333333333333,1.45
"270-2007-1-001",2020,2007,13.5,"dmp","not_detected",0,0,40.91,-3.4025,-3.32,-3.52,-3.33,-3.37666666666667
"270-2007-1-001",2021,2007,14.5,"dmp","not_detected",0,0,25.91,-1.8125,-3.27666666666667,-0.343333333333333,-0.893333333333333,-3.17
"270-2007-1-001",2022,2007,15.5,"dmp","not_detected",0,0,16.82,-1.96083333333333,-3.23,-2.95666666666667,0.08,-2.33
"270-2007-1-003",2007,2007,0.5,"dmp","Captured",1,1,10,3.04,1.62333333333333,6,4.53666666666667,-1.56666666666667
"270-2007-1-003",2008,2007,1.5,"dmp","not_detected",0,0,10.91,-2.125,-2.54666666666667,-2.20666666666667,-2.32666666666667,0.0366666666666666
"270-2007-1-003",2009,2007,2.5,"dmp","not_detected",0,0,15.45,-3.89916666666667,-3.96,-5.08666666666667,-3.69666666666667,-3.27
"270-2007-1-003",2010,2007,3.5,"dmp","not_detected",0,0,13.64,1.1,2.23,1.45666666666667,0.513333333333333,0.123333333333333
"270-2007-1-003",2011,2007,4.5,"dmp","not_detected",0,0,28.86,-3.3625,-3.19333333333333,-4.41333333333333,-4.20666666666667,-1.53333333333333
"270-2007-1-003",2012,2007,5.5,"dmp","not_detected",0,0,28.86,-0.763333333333333,1.29,-0.876666666666667,-1.53333333333333,-1.67333333333333
"270-2007-1-003",2013,2007,6.5,"dmp","not_detected",0,0,36.82,-1.95083333333333,-3.10666666666667,-2.17666666666667,-1.04333333333333,-2.49333333333333
"270-2007-1-003",2014,2007,7.5,"dmp","not_detected",0,0,42.5,-1.2175,-0.98,-2.16333333333333,-1.51333333333333,0.00666666666666666
"270-2007-1-003",2015,2007,8.5,"dmp","not_detected",0,0,48.41,1.83166666666667,2.94333333333333,3.56666666666667,0.42,0.223333333333333
"270-2007-1-003",2016,2007,9.5,"dmp","not_detected",0,0,25.45,-0.574166666666667,-0.553333333333333,-0.816666666666667,-0.986666666666667,-0.183333333333333
"270-2007-1-003",2017,2007,10.5,"dmp","not_detected",0,0,20.91,-0.921666666666667,-0.983333333333333,-1.73,-0.536666666666667,-0.11
"270-2007-1-003",2018,2007,11.5,"dmp","not_detected",0,0,19.77,-0.465,-1.89,-2.77666666666667,2.41333333333333,-0.356666666666667
"270-2007-1-003",2019,2007,12.5,"dmp","not_detected",0,0,23.86,-1.40833333333333,-0.516666666666667,-1.77,-2.95333333333333,1.45
"270-2007-1-003",2020,2007,13.5,"dmp","not_detected",0,0,40.91,-3.4025,-3.32,-3.52,-3.33,-3.37666666666667
"270-2007-1-003",2021,2007,14.5,"dmp","not_detected",0,0,25.91,-1.8125,-3.27666666666667,-0.343333333333333,-0.893333333333333,-3.17
"270-2007-1-003",2022,2007,15.5,"dmp","not_detected",0,0,16.82,-1.96083333333333,-3.23,-2.95666666666667,0.08,-2.33
"270-2007-1-006",2007,2007,0.5,"dmp","Captured",1,1,10,3.04,1.62333333333333,6,4.53666666666667,-1.56666666666667
"270-2007-1-006",2008,2007,1.5,"dmp","Captured",1,1,10.91,-2.125,-2.54666666666667,-2.20666666666667,-2.32666666666667,0.0366666666666666
"270-2007-1-006",2009,2007,2.5,"dmp","Captured",1,1,15.45,-3.89916666666667,-3.96,-5.08666666666667,-3.69666666666667,-3.27
"270-2007-1-006",2010,2007,3.5,"dmp","Captured",1,1,13.64,1.1,2.23,1.45666666666667,0.513333333333333,0.123333333333333
"270-2007-1-006",2011,2007,4.5,"dmp","Captured",1,1,28.86,-3.3625,-3.19333333333333,-4.41333333333333,-4.20666666666667,-1.53333333333333
"270-2007-1-006",2012,2007,5.5,"dmp","Captured",1,1,28.86,-0.763333333333333,1.29,-0.876666666666667,-1.53333333333333,-1.67333333333333
"270-2007-1-006",2013,2007,6.5,"dmp","Captured",1,1,36.82,-1.95083333333333,-3.10666666666667,-2.17666666666667,-1.04333333333333,-2.49333333333333
"270-2007-1-006",2014,2007,7.5,"dmp","Captured",1,1,42.5,-1.2175,-0.98,-2.16333333333333,-1.51333333333333,0.00666666666666666
"270-2007-1-006",2015,2007,8.5,"dmp","Captured",1,1,48.41,1.83166666666667,2.94333333333333,3.56666666666667,0.42,0.223333333333333
"270-2007-1-006",2016,2007,9.5,"dmp","Captured",1,1,25.45,-0.574166666666667,-0.553333333333333,-0.816666666666667,-0.986666666666667,-0.183333333333333
"270-2007-1-006",2017,2007,10.5,"dmp","Captured",1,1,20.91,-0.921666666666667,-0.983333333333333,-1.73,-0.536666666666667,-0.11
"270-2007-1-006",2018,2007,11.5,"dmp","not_detected",0,0,19.77,-0.465,-1.89,-2.77666666666667,2.41333333333333,-0.356666666666667
"270-2007-1-006",2019,2007,12.5,"dmp","not_detected",0,0,23.86,-1.40833333333333,-0.516666666666667,-1.77,-2.95333333333333,1.45
"270-2007-1-006",2020,2007,13.5,"dmp","not_detected",0,0,40.91,-3.4025,-3.32,-3.52,-3.33,-3.37666666666667
"270-2007-1-006",2021,2007,14.5,"dmp","not_detected",0,0,25.91,-1.8125,-3.27666666666667,-0.343333333333333,-0.893333333333333,-3.17
"270-2007-1-006",2022,2007,15.5,"dmp","not_detected",0,0,16.82,-1.96083333333333,-3.23,-2.95666666666667,0.08,-2.33
"270-2007-1-007",2007,2007,0.5,"dmp","Captured",1,1,10,3.04,1.62333333333333,6,4.53666666666667,-1.56666666666667
"270-2007-1-007",2008,2007,1.5,"dmp","Captured",1,1,10.91,-2.125,-2.54666666666667,-2.20666666666667,-2.32666666666667,0.0366666666666666
"270-2007-1-007",2009,2007,2.5,"dmp","Captured",1,1,15.45,-3.89916666666667,-3.96,-5.08666666666667,-3.69666666666667,-3.27
"270-2007-1-007",2010,2007,3.5,"dmp","Captured",1,1,13.64,1.1,2.23,1.45666666666667,0.513333333333333,0.123333333333333
"270-2007-1-007",2011,2007,4.5,"dmp","Captured",1,1,28.86,-3.3625,-3.19333333333333,-4.41333333333333,-4.20666666666667,-1.53333333333333
"270-2007-1-007",2012,2007,5.5,"dmp","Captured",1,1,28.86,-0.763333333333333,1.29,-0.876666666666667,-1.53333333333333,-1.67333333333333
"270-2007-1-007",2013,2007,6.5,"dmp","not_detected",0,0,36.82,-1.95083333333333,-3.10666666666667,-2.17666666666667,-1.04333333333333,-2.49333333333333
"270-2007-1-007",2014,2007,7.5,"dmp","Captured",1,1,42.5,-1.2175,-0.98,-2.16333333333333,-1.51333333333333,0.00666666666666666
"270-2007-1-007",2015,2007,8.5,"dmp","Captured",1,1,48.41,1.83166666666667,2.94333333333333,3.56666666666667,0.42,0.223333333333333
"270-2007-1-007",2016,2007,9.5,"dmp","not_detected",0,0,25.45,-0.574166666666667,-0.553333333333333,-0.816666666666667,-0.986666666666667,-0.183333333333333
"270-2007-1-007",2017,2007,10.5,"dmp","not_detected",0,0,20.91,-0.921666666666667,-0.983333333333333,-1.73,-0.536666666666667,-0.11
"270-2007-1-007",2018,2007,11.5,"dmp","not_detected",0,0,19.77,-0.465,-1.89,-2.77666666666667,2.41333333333333,-0.356666666666667
"270-2007-1-007",2019,2007,12.5,"dmp","not_detected",0,0,23.86,-1.40833333333333,-0.516666666666667,-1.77,-2.95333333333333,1.45
"270-2007-1-007",2020,2007,13.5,"dmp","not_detected",0,0,40.91,-3.4025,-3.32,-3.52,-3.33,-3.37666666666667
"270-2007-1-007",2021,2007,14.5,"dmp","not_detected",0,0,25.91,-1.8125,-3.27666666666667,-0.343333333333333,-0.893333333333333,-3.17
"270-2007-1-007",2022,2007,15.5,"dmp","not_detected",0,0,16.82,-1.96083333333333,-3.23,-2.95666666666667,0.08,-2.33
"270-2007-1-009",2007,2007,0.5,"dmp","Captured",1,1,10,3.04,1.62333333333333,6,4.53666666666667,-1.56666666666667
"270-2007-1-009",2008,2007,1.5,"dmp","not_detected",0,0,10.91,-2.125,-2.54666666666667,-2.20666666666667,-2.32666666666667,0.0366666666666666
"270-2007-1-009",2009,2007,2.5,"dmp","not_detected",0,0,15.45,-3.89916666666667,-3.96,-5.08666666666667,-3.69666666666667,-3.27
"270-2007-1-009",2010,2007,3.5,"dmp","not_detected",0,0,13.64,1.1,2.23,1.45666666666667,0.513333333333333,0.123333333333333
"270-2007-1-009",2011,2007,4.5,"dmp","not_detected",0,0,28.86,-3.3625,-3.19333333333333,-4.41333333333333,-4.20666666666667,-1.53333333333333
"270-2007-1-009",2012,2007,5.5,"dmp","not_detected",0,0,28.86,-0.763333333333333,1.29,-0.876666666666667,-1.53333333333333,-1.67333333333333
"270-2007-1-009",2013,2007,6.5,"dmp","not_detected",0,0,36.82,-1.95083333333333,-3.10666666666667,-2.17666666666667,-1.04333333333333,-2.49333333333333
"270-2007-1-009",2014,2007,7.5,"dmp","not_detected",0,0,42.5,-1.2175,-0.98,-2.16333333333333,-1.51333333333333,0.00666666666666666
"270-2007-1-009",2015,2007,8.5,"dmp","not_detected",0,0,48.41,1.83166666666667,2.94333333333333,3.56666666666667,0.42,0.223333333333333
"270-2007-1-009",2016,2007,9.5,"dmp","not_detected",0,0,25.45,-0.574166666666667,-0.553333333333333,-0.816666666666667,-0.986666666666667,-0.183333333333333
"270-2007-1-009",2017,2007,10.5,"dmp","not_detected",0,0,20.91,-0.921666666666667,-0.983333333333333,-1.73,-0.536666666666667,-0.11
"270-2007-1-009",2018,2007,11.5,"dmp","not_detected",0,0,19.77,-0.465,-1.89,-2.77666666666667,2.41333333333333,-0.356666666666667
"270-2007-1-009",2019,2007,12.5,"dmp","not_detected",0,0,23.86,-1.40833333333333,-0.516666666666667,-1.77,-2.95333333333333,1.45
"270-2007-1-009",2020,2007,13.5,"dmp","not_detected",0,0,40.91,-3.4025,-3.32,-3.52,-3.33,-3.37666666666667
"270-2007-1-009",2021,2007,14.5,"dmp","not_detected",0,0,25.91,-1.8125,-3.27666666666667,-0.343333333333333,-0.893333333333333,-3.17
"270-2007-1-009",2022,2007,15.5,"dmp","not_detected",0,0,16.82,-1.96083333333333,-3.23,-2.95666666666667,0.08,-2.33
"270-2007-1-010",2007,2007,0.5,"dmp","Captured",1,1,10,3.04,1.62333333333333,6,4.53666666666667,-1.56666666666667
"270-2007-1-010",2008,2007,1.5,"dmp","not_detected",0,0,10.91,-2.125,-2.54666666666667,-2.20666666666667,-2.32666666666667,0.0366666666666666
"270-2007-1-010",2009,2007,2.5,"dmp","not_detected",0,0,15.45,-3.89916666666667,-3.96,-5.08666666666667,-3.69666666666667,-3.27
"270-2007-1-010",2010,2007,3.5,"dmp","not_detected",0,0,13.64,1.1,2.23,1.45666666666667,0.513333333333333,0.123333333333333
"270-2007-1-010",2011,2007,4.5,"dmp","not_detected",0,0,28.86,-3.3625,-3.19333333333333,-4.41333333333333,-4.20666666666667,-1.53333333333333
