year,birthsite,sum.jun.jul.aug,sum.march.apr.may,sum.sept.oct,oct,annual
2002,ey,9,2.7,9.4,5.4,22.2
2002,wy,6.8,3.2,8.5,3,20.4
2003,ey,7.9,3.6,13,5.1,29.1
2003,wy,9.3,6,11.2,6,28.8
2004,ey,9.2,8.2,7.6,2.5,34.2
2004,wy,8.9,10.9,6.8,0.2,33.6
2005,ey,5.5,4.5,7.4,0.1,21.8
2005,wy,6.6,3,7.2,4.1,20.3
2006,ey,3.8,3.5,6.5,0,16.4
2006,wy,2.6,3.4,5.6,5.7,13.6
2007,ey,18,17.2,6.85,0,48.65
2007,wy,13.25,13.7,5.3,5.8,38.35
2008,ey,11.8,4.8,0.7,0.5,18.3
2008,wy,13.2,5.6,1,3,20.3
2009,ey,3.9,5.6,7.3,0,19.1
2009,wy,4.1,5.6,8.4,1.5,20.4
2010,ey,9.9,8.8,7.9,3.3,34.6
2010,wy,9.7,8.6,7.4,2.4,31.8
2011,ey,2.4,2.3,5.7,0,15.3
2011,wy,2.5,1.5,5.7,0,14.1
2012,ey,1.5,11,4.1,3.8,19.1
2012,wy,1.5,8.6,3.5,6,15.8
2013,ey,9.1,4.6,9.3,5.8,27.6
2013,wy,12,7.8,10,5,34.5
2014,ey,5.2,3.1,8.9,6.2,21.1
2014,wy,7.7,2.9,6.7,2.4,22.1
2015,ey,5.5,14.9,8.6,0.5,41.8
2015,wy,4.4,12.4,5,0.3,29.1
2016,ey,9.6,11.2,1.9,4.1,33.1
2016,wy,4.5,7.9,1.3,0,20.2
2017,ey,5.2,4.6,10.2,5.6,23.5
2017,wy,5.6,4.6,10.81,0,24.61
2018,ey,7,2.9,21.5,5.8,36.2
2018,wy,4.8,2.3,17.7,0.9,29.1
2019,ey,6.8,3.3,6.3,5.4,17.2
2019,wy,4.7,3.4,3,0.3,12
2020,ey,5.6,8.6,2.4,1,20.8
2020,wy,7.8,5.7,4.6,4.8,23.1
2021,ey,11.3,6.1,0.03,4.6,19.53
2021,wy,10.1,6.2,0.3,0,19.4
2022,ey,10.3,8.5,3.7,0,25
2022,wy,7,7.8,4.5,2.7,21.7
2002,dmp,6.8,3.2,8.5,3,20.4
2003,dmp,9.3,6,11.2,6,28.8
2004,dmp,8.9,10.9,6.8,0.2,33.6
2005,dmp,6.6,3,7.2,4.1,20.3
2006,dmp,2.6,3.4,5.6,5.7,13.6
2007,dmp,13.25,13.7,5.3,5.8,38.35
2008,dmp,13.2,5.6,1,3,20.3
2009,dmp,4.1,5.6,8.4,1.5,20.4
2010,dmp,9.7,8.6,7.4,2.4,31.8
2011,dmp,2.5,1.5,5.7,0,14.1
2012,dmp,1.5,8.6,3.5,6,15.8
2013,dmp,12,7.8,10,5,34.5
2014,dmp,7.7,2.9,6.7,2.4,22.1
2015,dmp,4.4,12.4,5,0.3,29.1
2016,dmp,4.5,7.9,1.3,0,20.2
2017,dmp,5.6,4.6,10.81,0,24.61
2018,dmp,4.8,2.3,17.7,0.9,29.1
2019,dmp,4.7,3.4,3,0.3,12
2020,dmp,7.8,5.7,4.6,4.8,23.1
2021,dmp,10.1,6.2,0.3,0,19.4
2022,dmp,7,7.8,4.5,2.7,21.7
