"year","month","avgtemp","maxtemp","maxtempC","avgtempC"
"2007","01",50,59.5,15.2777777777778,10
"2007","02",57.8,70.5,21.3888888888889,14.3333333333333
"2007","03",68.2,79.4,26.3333333333333,20.1111111111111
"2007","04",69.2,81.2,27.3333333333333,20.6666666666667
"2007","05",77.1,87.3,30.7222222222222,25.0555555555556
"2007","06",81,90.9,32.7222222222222,27.2222222222222
"2007","07",80.9,89.3,31.8333333333333,27.1666666666667
"2007","08",84,94.3,34.6111111111111,28.8888888888889
"2007","09",81,91,32.7777777777778,27.2222222222222
"2007","10",73.8,88.1,31.1666666666667,23.2222222222222
"2007","11",65.1,77.2,25.1111111111111,18.3888888888889
"2007","12",57.4,72.1,22.2777777777778,14.1111111111111
"2008","01",53.2,67.3,19.6111111111111,11.7777777777778
"2008","02",63,80.1,26.7222222222222,17.2222222222222
"2008","03",67,83.7,28.7222222222222,19.4444444444444
"2008","04",73.9,88.5,31.3888888888889,23.2777777777778
"2008","05",81.3,93.8,34.3333333333333,27.3888888888889
"2008","06",87.6,100.4,38,30.8888888888889
"2008","07",83.7,94.6,34.7777777777778,28.7222222222222
"2008","08",85.2,96.5,35.8333333333333,29.5555555555556
"2008","09",79.2,91.3,32.9444444444444,26.2222222222222
"2008","10",72.1,86.8,30.4444444444444,22.2777777777778
"2008","11",63.2,78.3,25.7222222222222,17.3333333333333
"2008","12",55.7,69.7,20.9444444444444,13.1666666666667
"2009","01",56.6,72.1,22.2777777777778,13.6666666666667
"2009","02",62.3,79.5,26.3888888888889,16.8333333333333
"2009","03",67.6,82.1,27.8333333333333,19.7777777777778
"2009","04",73.8,89.3,31.8333333333333,23.2222222222222
"2009","05",82.5,95.8,35.4444444444444,28.0555555555556
"2009","06",87.1,100.7,38.1666666666667,30.6111111111111
"2009","07",90,103.3,39.6111111111111,32.2222222222222
"2009","08",89,103,39.4444444444444,31.6666666666667
"2009","09",80.2,90.7,32.6111111111111,26.7777777777778
"2009","10",73,84.5,29.1666666666667,22.7777777777778
"2009","11",62.1,75.5,24.1666666666667,16.7222222222222
"2009","12",49.3,57.5,14.1666666666667,9.61111111111111
"2010","01",51.4,63.2,17.3333333333333,10.7777777777778
"2010","02",52.1,63,17.2222222222222,11.1666666666667
"2010","03",61.5,76.8,24.8888888888889,16.3888888888889
"2010","04",70.8,82.6,28.1111111111111,21.5555555555556
"2010","05",79.4,91.5,33.0555555555556,26.3333333333333
"2010","06",85.8,97.1,36.1666666666667,29.8888888888889
