"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0
NA,NA,0,NA,0,0,0,NA,NA,NA,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0
NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0
NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
NA,0,0,NA,NA,0,0,NA,0,NA,0,0,0,0,0
NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0
NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0
NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0
NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0
NA,NA,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0
NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0
NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0
NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
NA,NA,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0
NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
NA,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0
NA,NA,NA,0,NA,0,NA,NA,0,NA,0,0,0,0,0
NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0
NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0
NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,NA,0,0
