row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,NA,NA,NA,NA,NA,NA,7,8,NA,10,11,12,13,14,15
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,13,14,15
3,NA,NA,NA,NA,NA,6,NA,NA,9,10,11,12,13,14,15
4,1,NA,NA,NA,5,NA,NA,8,9,10,11,12,13,14,15
5,NA,NA,3,NA,5,6,7,NA,NA,NA,11,12,13,14,15
6,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,11,12,13,14,15
7,NA,NA,3,4,5,6,7,8,9,10,11,12,13,14,15
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,12,13,14,15
9,NA,NA,NA,NA,NA,NA,7,NA,9,NA,11,12,13,14,15
10,NA,NA,3,4,5,6,7,8,9,10,11,12,13,14,15
11,NA,2,3,4,5,6,7,8,9,10,11,12,13,14,15
12,1,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,12,13,14,15
14,NA,NA,3,NA,5,6,7,8,9,10,11,12,13,14,15
15,NA,2,3,4,NA,NA,NA,NA,NA,10,11,12,13,14,15
16,NA,NA,3,NA,NA,NA,7,8,9,10,11,12,13,14,15
17,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
18,NA,NA,3,NA,NA,NA,NA,8,9,10,11,12,13,14,15
19,NA,NA,3,4,5,6,7,8,9,10,11,12,13,14,15
20,NA,NA,3,4,5,6,7,8,9,10,11,12,13,14,15
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,12,13,14,15
22,NA,2,NA,NA,5,6,NA,8,9,10,11,12,13,14,15
23,NA,NA,3,NA,NA,NA,7,NA,NA,NA,11,12,13,14,15
24,NA,NA,3,NA,NA,6,NA,8,NA,10,11,12,13,14,15
25,1,NA,NA,NA,NA,NA,NA,8,9,10,11,12,13,14,15
26,NA,2,3,NA,NA,6,7,NA,9,NA,11,12,13,14,15
27,NA,NA,3,NA,5,NA,7,NA,NA,NA,11,12,13,14,15
28,1,NA,NA,4,5,NA,7,8,NA,NA,11,12,13,14,15
29,1,NA,3,4,5,6,7,8,9,10,11,12,13,14,15
30,1,NA,3,4,NA,NA,NA,8,9,10,11,12,13,14,15
31,1,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,13,14,15
32,1,NA,NA,NA,NA,NA,NA,NA,9,NA,11,12,13,14,15
33,1,NA,NA,NA,NA,6,NA,NA,NA,NA,11,12,13,14,15
34,1,NA,NA,4,NA,NA,NA,NA,9,10,11,12,13,14,15
35,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,13,14,15
36,1,NA,NA,4,NA,6,7,NA,NA,10,NA,12,13,14,15
37,1,NA,NA,4,5,6,NA,8,9,10,11,12,13,14,15
38,1,NA,3,NA,NA,NA,7,NA,NA,10,11,12,13,14,15
39,1,2,NA,NA,NA,6,7,8,9,10,11,12,13,14,15
40,1,NA,NA,NA,NA,6,7,8,9,10,11,12,13,14,15
41,1,NA,NA,NA,5,NA,NA,NA,NA,NA,11,12,13,14,15
42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,13,14,15
43,1,NA,3,NA,NA,NA,NA,8,NA,NA,11,12,13,14,15
44,1,NA,3,NA,NA,NA,NA,NA,NA,10,11,12,13,14,15
45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,13,14,15
46,1,NA,NA,NA,NA,6,7,8,9,10,11,12,13,14,15
47,1,NA,NA,NA,NA,NA,NA,NA,NA,10,11,12,13,14,15
48,1,NA,NA,4,5,NA,NA,NA,NA,NA,11,12,13,14,15
49,1,NA,NA,NA,NA,NA,NA,8,9,10,11,12,13,14,15
50,1,NA,NA,4,NA,6,NA,8,NA,10,11,12,13,14,15
51,1,NA,NA,4,NA,NA,NA,NA,NA,10,11,12,13,14,15
52,1,NA,3,4,NA,NA,7,NA,9,10,11,12,13,14,15
53,1,2,NA,4,NA,6,NA,NA,9,NA,11,12,13,14,15
54,1,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15
55,1,2,NA,NA,NA,6,NA,NA,NA,NA,11,12,13,14,15
56,1,2,NA,NA,NA,NA,NA,NA,9,NA,11,NA,NA,14,15
57,1,2,NA,NA,NA,NA,NA,8,9,10,11,12,13,14,15
58,1,2,NA,NA,NA,NA,NA,NA,9,10,11,12,13,14,15
59,1,2,3,NA,NA,NA,NA,NA,NA,NA,11,12,13,14,15
60,1,2,NA,4,5,6,7,8,9,10,11,12,13,14,15
61,1,2,NA,NA,NA,NA,NA,NA,9,10,11,12,13,14,15
62,1,2,NA,NA,NA,6,NA,8,9,10,11,12,13,14,15
63,1,2,NA,NA,NA,NA,7,NA,NA,NA,11,12,13,14,15
