"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.11030371258457,0.245655801364605,2.63092025502223,2.94799953103186,3.10492787119676,3.27056304342836,3.61845735095498,1.01299165148102,193,0,1
"site.beta[1]",0,0,0,0,0,0,0,NA,1,1,1
"site.beta[2]",0.0415159027424739,0.154787917977735,-0.254444938871767,-0.0667454851423318,0.0430611717156143,0.148299407833721,0.335765619855685,1.0018671386167,1008,1,0.602
"site.beta[3]",-0.300802150310495,0.199815205520806,-0.694880703592012,-0.436603826897188,-0.299976096816472,-0.167093646269698,0.087982896636822,1.00146412610472,1299,1,0.935333333333333
"age.beta[1]",0,0,0,0,0,0,0,NA,1,1,1
"age.beta[2]",-0.162206790646168,0.32371197103066,-0.805289689898378,-0.379019035536948,-0.163813325295976,0.0544709189139638,0.472943947862945,1.00853663354819,259,1,0.692833333333333
"age.beta[3]",-0.0547631752485739,0.351615797809056,-0.720086792682638,-0.294699706218395,-0.0586153803104091,0.189798728182785,0.632309562567994,1.00533185427632,453,1,0.563666666666667
"age.beta[4]",-0.59386188811654,0.315217017684558,-1.20888669364495,-0.811759337698551,-0.591847782499632,-0.381489998888037,0.0175109604845255,1.00584292677581,341,1,0.972
"age.beta[5]",-0.236530624124347,0.360973552822094,-0.934543452470747,-0.475333798436785,-0.238320356097935,-0.00393784435313954,0.486627538651947,1.00596201817373,356,1,0.754
"age.beta[6]",-0.741360955717436,0.340955150594321,-1.41667972672231,-0.973725999710171,-0.747246254023904,-0.515176006129956,-0.0677600690055204,1.00398206183989,483,0,0.9845
"age.beta[7]",-1.78958816155882,0.288147363744112,-2.35850835611082,-1.98188088753365,-1.78721623818283,-1.58989972340124,-1.23091509785808,1.00640600220513,402,0,1
"age.beta[8]",-1.44103411692565,0.343945614702275,-2.10464586627852,-1.67036035280765,-1.45094801102412,-1.21429584594717,-0.759071434247844,1.00748643833897,317,0,1
"age.beta[9]",-2.06611170787368,0.328425793651595,-2.71861183425448,-2.29097653998833,-2.06745691453742,-1.83715426938234,-1.42177464228106,1.00797769453466,252,0,1
"age.beta[10]",-2.73204681491862,0.353003659404091,-3.42555943586178,-2.97188328958676,-2.73784027455376,-2.49095727937214,-2.03819801486546,1.0043577715851,473,0,1
"age.beta[11]",-3.69180297448686,0.513988036639766,-4.72903664166003,-4.04104294032355,-3.68707226322507,-3.33425474252177,-2.69664538924285,1.00436251662108,444,0,1
"age.beta[12]",-10.705153521543,5.65136309443349,-23.8043349767827,-13.9469832533226,-9.51588833815632,-6.49084005005039,-3.14276525409305,1.00002736244632,6000,0,0.997833333333333
"age.beta[13]",0.0901592452441162,9.71134743395538,-18.7442249581009,-6.46282442355046,-0.0170157876929269,6.65849976355385,19.5351096287703,1.00100756484603,3935,1,0.498666666666667
"age.beta[14]",-0.0896215754607632,9.90901678509809,-19.6138573552765,-6.81524192358038,-0.0248604209056147,6.71692833501275,19.0080028132497,1.00061987138485,3469,1,0.500833333333333
"p",0.957656047004754,0.00463308290139938,0.948179330137965,0.954644948011056,0.957766027127876,0.960879186391836,0.966282626970784,1.00148689597342,1379,0,1
"survival_diff[1,1]",0,0,0,0,0,0,0,NA,1,1,1
"survival_diff[2,1]",-0.00169035072006196,0.00645086454169959,-0.014617724658826,-0.00573541182076096,-0.00168039474647591,0.00262230434866759,0.0108710645498798,1.0015453762513,1525,1,0.602
"survival_diff[3,1]",0.014714527671457,0.01060385114288,-0.00393585274560617,0.00757134135296797,0.0138125279579656,0.0212239224139273,0.0374761440810394,1.00172725616036,1096,1,0.935333333333333
"survival[1,1]",0.956190680152116,0.0102265733821673,0.932825237007041,0.950168855483779,0.957095557865227,0.963405027246238,0.973876706943934,1.01145692085761,195,0,1
"survival[2,1]",0.957881030872178,0.00989888701958383,0.935744328620788,0.951822731903341,0.958785901182583,0.964966535937451,0.974396957629792,1.01040280420223,205,0,1
"survival[3,1]",0.941476152480659,0.0146939789150646,0.908635330796559,0.932485449242633,0.943090244169068,0.951875091325365,0.966585662233396,1.00880715822767,249,0,1
"survival[1,2]",0.948953328329327,0.0114634277480666,0.923919249453348,0.941732077823111,0.949589167963899,0.957026385199494,0.969190672868722,1.00110149769392,1785,0,1
"survival[2,2]",0.950990349474105,0.0107694652573624,0.926972292925552,0.944318235366899,0.951762663118561,0.958653377935501,0.969447199040083,1.00042714805033,6000,0,1
"survival[3,2]",0.932055417377366,0.0162662622265211,0.895956202347634,0.922233277846404,0.933427163693257,0.943699610231973,0.959641167059668,1.00019549268355,6000,0,1
"survival[1,3]",0.953466759552195,0.0123512875807727,0.926274841628695,0.945903415014212,0.954197416572879,0.962326020780062,0.97445552721254,1.00110815104782,2321,0,1
"survival[2,3]",0.955327405337206,0.011616500401186,0.930550109773689,0.947722670591561,0.956349296822463,0.963832660809841,0.97518748579425,1.00069091517089,6000,0,1
"survival[3,3]",0.938037053633976,0.0168784950322549,0.901347190385161,0.927615495660795,0.939051106577728,0.950243532160864,0.966663292708377,1.0003461710886,6000,0,1
"survival[1,4]",0.923716221332886,0.0161771956211015,0.888909854748332,0.913538813802472,0.924856438218176,0.935131214699646,0.952128678546157,1.0001458405641,6000,0,1
"survival[2,4]",0.926678562964934,0.0150985143198618,0.894452583104833,0.91709937459509,0.927294312908469,0.937525470743457,0.953462262821797,1.00087561214796,6000,0,1
"survival[3,4]",0.899440116769323,0.0223272103663001,0.851878818254477,0.885227806919889,0.901022408545048,0.915141719446169,0.938773629054193,1.00018730151897,6000,0,1
"survival[1,5]",0.944634586996139,0.0149579861870589,0.911764859023853,0.935273283495401,0.945807325621161,0.955302459882204,0.970279129839468,1.00081996352296,2193,0,1
"survival[2,5]",0.946764114403194,0.0143580353680702,0.915376734268053,0.937964520670977,0.947977782288344,0.956827230514106,0.97178206268416,0.999954339976758,6000,0,1
"survival[3,5]",0.926448694655527,0.020692920082199,0.880414311040298,0.913824154221453,0.928513264222179,0.941049444265581,0.961147862245021,0.999912445174295,6000,0,1
"survival[1,6]",0.912075523532747,0.0212032688287849,0.86669889152857,0.898853735599288,0.913208309753554,0.926999180016432,0.949323686028254,1.00096281163397,2661,0,1
"survival[2,6]",0.915397241074342,0.0203237904852184,0.870340086411281,0.902578867642406,0.916838684816052,0.929872476152824,0.950532702246631,1.0000076807595,6000,0,1
"survival[3,6]",0.884557756354396,0.0290042427111843,0.821770813480985,0.865932907669959,0.886723063003547,0.904827923794873,0.934761632355944,1.0000761311272,6000,0,1
"survival[1,7]",0.787375482613544,0.0334042386255946,0.717035866139362,0.765952961152771,0.788927614522362,0.810693230394524,0.848206287303307,1.00039854857936,3738,0,1
"survival[2,7]",0.794286687420768,0.0317830413113791,0.727779785389056,0.773243806772075,0.795755129233498,0.816477871907778,0.853123768520255,1.00121131054851,1497,0,1
"survival[3,7]",0.732475725489799,0.0453003665103367,0.639592074856757,0.702225262329412,0.733878339548878,0.763748769920399,0.816211233763151,1.00130869615867,1585,0,1
"survival[1,8]",0.838361702362394,0.0349088470044908,0.766059360122327,0.815557128452276,0.839908055965821,0.863040412962027,0.902057747632404,1.00022694332857,6000,0,1
"survival[2,8]",0.843748127974467,0.0345504054642703,0.772606284947377,0.820793738061965,0.844921927646723,0.868720689049054,0.90551691515194,1.00148296135444,1483,0,1
"survival[3,8]",0.792937448569452,0.0478457192433887,0.691477670268182,0.76122914476215,0.795068830467779,0.827054436472816,0.877663001719264,1.00173611673453,1598,0,1
"survival[1,9]",0.736815151990902,0.0478488132737566,0.636454339708637,0.705867178782983,0.738670385763901,0.770301705245936,0.823593538035459,1.00194005712928,1290,0,1
"survival[2,9]",0.744725589251951,0.0468337968024207,0.646594410384561,0.714321708505618,0.747721753051719,0.77778582868691,0.828463601574071,1.00138662080413,3406,0,1
"survival[3,9]",0.674720684150656,0.060731561807237,0.548748778717549,0.636429344981574,0.675973471402668,0.716545029277915,0.78873790075323,1.00051788093884,4830,0,1
"survival[1,10]",0.591692080940611,0.0668122907388504,0.463509564778826,0.546248666725401,0.592572367306444,0.637764295842144,0.717990378535465,1.0003932692632,3243,0,1
"survival[2,10]",0.601487072198626,0.0664710381254428,0.471114123445443,0.556349771774646,0.602115252011672,0.647221110103879,0.727422706270734,0.999784046664795,6000,0,1
"survival[3,10]",0.518844870885287,0.0776986026398955,0.368367149871431,0.464919009510474,0.517860503010709,0.572113718294941,0.674475990888064,0.99977805642074,6000,0,1
"deviance",847.166708510243,32.5541548108987,788.942256468716,823.027398074419,846.933047477178,866.706114561101,916.342427453118,1.0010244807305,1665,0,1
