"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.84317197016074,0.348015371522614,3.22058385664885,3.59836344560006,3.82434884115562,4.0606734103973,4.5526251002136,1.00475264830342,1296,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta1[2]",-0.440434989372246,0.411372348768268,-1.27305245511409,-0.712238262161669,-0.433472233674712,-0.163445626507808,0.327963632169915,1.00073243791871,1500,1,0.861333333333333
"beta1[3]",-0.401192842338154,0.428206849175246,-1.20611115778677,-0.68849270478349,-0.392230276060104,-0.125875804909992,0.475377222842197,1.00266159318282,1500,1,0.837333333333333
"beta1[4]",-1.07207288871568,0.389142083216512,-1.88105911409584,-1.32503655325109,-1.05111841900872,-0.814415247652463,-0.32503183568429,1.00227168819249,1500,0,0.997333333333333
"beta1[5]",-0.674335733151199,0.459958885524394,-1.56637254015667,-0.97128641986758,-0.682250362142067,-0.383726187934453,0.219633648923469,1.00174510926051,1500,1,0.932666666666667
"beta1[6]",-1.31595370991363,0.452821675609844,-2.19336264609261,-1.62941451695846,-1.30988011006308,-1.02817091918774,-0.454218848878928,1.00223129819239,1500,0,0.994666666666667
"beta1[7]",-2.62117809005755,0.388781010873683,-3.43334708696657,-2.86455640082884,-2.62049723137159,-2.34441506048828,-1.9135716207821,1.00126520650309,1500,0,1
"beta1[8]",-2.27302820796231,0.443604948201832,-3.14695056195142,-2.56781098552513,-2.28103449023943,-1.98127505455715,-1.40915423845419,1.00104153684207,1500,0,1
"beta1[9]",-2.97087128573608,0.444585618427819,-3.89554289843941,-3.25507688309652,-2.96444052465954,-2.67494644601634,-2.11426108598018,0.999997470376212,1500,0,1
"beta1[10]",-3.86075086837617,0.489334895150137,-4.85910085916701,-4.17766410536451,-3.83263329738999,-3.53792455083328,-2.9111549716494,1.00269525293814,906,0,1
"beta1[11]",-4.86895536833069,0.65334841672174,-6.16291494615787,-5.30302137088353,-4.84519401129251,-4.4320529007912,-3.59772414241895,1.00355916222922,1051,0,1
