"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.24849414487063,0.272231737601742,2.74812175609646,3.05217663367801,3.23395868969381,3.43235975185694,3.81907692729311,1.00694656808092,271,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta1[2]",-0.169869682507036,0.330366752178155,-0.814344984994778,-0.381120519743389,-0.171409238091137,0.0469257934623355,0.486425074860393,1.0033640690623,492,1,0.699166666666667
"beta1[3]",-0.0979221539518079,0.357788410826896,-0.828675051719814,-0.337687434671402,-0.0889125947872764,0.140083659739105,0.579950614981808,1.00415993983808,455,1,0.5975
"beta1[4]",-0.640794229095459,0.322932117361465,-1.3001481286178,-0.855133449511599,-0.638511611472032,-0.416063668015065,-0.0455365297872546,1.00395483783035,399,0,0.9825
"beta1[5]",-0.247945701654506,0.378457728721382,-0.964585551348013,-0.50673245437021,-0.244504932617817,0.006502398101115,0.510418866557439,1.00135529837856,1160,1,0.745833333333333
"beta1[6]",-0.799497242055609,0.348861747147541,-1.46651932557911,-1.03867830011917,-0.808469602958162,-0.575956076678953,-0.0969771478165011,1.00352373852217,426,0,0.9875
"beta1[7]",-1.88949948287844,0.305395533592781,-2.50009095589331,-2.08255993554699,-1.87662015798597,-1.68814938204998,-1.29903570982481,1.004060729765,429,0,1
"beta1[8]",-1.58641727552184,0.347813641660702,-2.27915863684807,-1.81833200246211,-1.59632955838539,-1.35578631447186,-0.897047483507543,1.00480816802483,396,0,1
"beta1[9]",-2.28286084652075,0.359806909279991,-3.00096005136786,-2.52486849747681,-2.27923085083527,-2.04902205968853,-1.58550689420432,1.00057408999079,1200,0,1
"beta1[10]",-3.05147057642217,0.399872725933991,-3.82732122236348,-3.32821154536621,-3.04961025656886,-2.779708157292,-2.26124147225044,1.00055860088126,1172,0,1
"beta1[11]",-4.05129683810811,0.58145172816518,-5.23298460106417,-4.43078787403861,-4.03030339468627,-3.64424164127135,-2.97502927850944,0.99982796358538,1200,0,1
"beta1[12]",-10.9125497895552,5.66250180129423,-23.5177133922881,-14.0630998912369,-9.66756600969344,-6.75532883718762,-3.21988604335653,1.00063238633641,1200,0,0.995833333333333
"beta1[13]",-0.19599121201819,10.3174534928647,-19.6647362296446,-7.31350681234681,-0.612089831902109,7.36585841211732,19.3786211003089,0.999591071810519,1200,1,0.53
"beta1[14]",0.265350691128828,10.0572513125779,-19.4270091612347,-6.40030944568992,0.634432741607641,6.93097734836983,19.4781940672134,1.00235651540683,1200,1,0.520833333333333
"beta1[15]",0.282545222302527,10.02079487782,-20.0392036791592,-6.24781262256408,0.417260980811566,6.81926141877506,19.9188355896956,1.000622863661,1200,1,0.516666666666667
"beta2[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta2[2]",-0.156418847242983,0.149599084724839,-0.433468718974446,-0.257763904462095,-0.158817081710107,-0.0576602887268186,0.135320802361754,1.00078873614421,1200,1,0.8525
"beta3",0.00192211122518001,0.0915153082234746,-0.174741292387425,-0.0570542762653528,0.000891282830735349,0.063242688705595,0.18162568619819,1.00370445578609,759,1,0.503333333333333
"beta4",0.0621096092876356,0.08680950878711,-0.103670541251911,0.00193196270919507,0.0605625373743375,0.121728187904228,0.230565089198441,1.0031068492301,1046,1,0.7575
"eps1[1]",0,0,0,0,0,0,0,NA,1,0,1
"eps1[2]",-0.118638675078559,0.216009209256118,-0.535135555612556,-0.260629535687425,-0.120251418761279,0.0259602477886593,0.3093228183091,1.00087838416988,1143,1,0.704166666666667
"eps1[3]",0.234158355187229,0.234908431521345,-0.180060452777528,0.0742123558009404,0.214629229817953,0.385065301199048,0.745960744056749,1.00197510964409,1200,1,0.845833333333333
"eps1[4]",0.47612930175915,0.240760736886801,0.0333807882147194,0.305939210090526,0.469870902708012,0.631387011057555,0.963536935135218,1.00367304097247,1040,0,0.984166666666667
"eps1[5]",0.336513286889052,0.216597176149501,-0.0559669829523961,0.184161523325437,0.329200369903777,0.480763172271181,0.776307708405919,1.00106056720193,1200,1,0.945
"eps1[6]",-0.117333419013905,0.201467487008123,-0.522221365475088,-0.252618507131916,-0.120263532963362,0.0204971647248311,0.276112492626418,1.00405329217475,1200,1,0.719166666666667
"eps1[7]",-0.341857704070482,0.215161271834959,-0.785168270432941,-0.479384334922939,-0.333362223427547,-0.189331932499153,0.0463939533615264,0.998898017133356,1200,1,0.951666666666667
"eps1[8]",-0.22174196403884,0.236671586581557,-0.709982157512837,-0.380789468930719,-0.208990529033376,-0.0640504815019748,0.235663730708613,0.999341698662461,1200,1,0.8375
"eps1[9]",-0.32318853319637,0.275642283453467,-0.894548220096417,-0.50652381819082,-0.311845970831435,-0.126710004091585,0.1807211726654,1.00525360963149,826,1,0.888333333333333
"eps1[10]",-0.279817451726981,0.281238243208086,-0.846236982470981,-0.468599949730355,-0.261071181734472,-0.0864769007353955,0.229237061080662,0.998963426533816,1200,1,0.848333333333333
"eps1[11]",0.276367360616047,0.355512034568088,-0.331564522539229,0.024812858404175,0.243353047683568,0.480096328910253,1.04836273497301,1.00137714076482,1001,1,0.785
"eps1[12]",0.0523308149956353,0.356120957222277,-0.643613715314411,-0.176316637284371,0.0379905722374428,0.270839220213813,0.82019403034753,1.00097115267663,1200,1,0.553333333333333
"eps1[13]",-0.257116973160684,0.38601572141004,-1.09885364870818,-0.489228276020311,-0.220002128502664,0.00412728509056175,0.446465623241982,1.00124513781043,1200,1,0.7475
"eps1[14]",-0.0867829267640701,0.432624715385629,-1.01834395829569,-0.329783725391117,-0.0661716255718214,0.171371217361706,0.793775316182977,0.999096112898082,1200,1,0.576666666666667
"deviance",840.976581520623,31.7495873713736,782.511815830886,817.546302724341,840.643952452386,861.026989730934,903.71639138994,1.00085732193699,1200,0,1
