"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.37574672009087,0.173299854951029,2.04460211665937,2.25978417377179,2.37232408243415,2.48494035352836,2.72575772708217,0.999797593802999,2100,0,1
"beta1",-1.20515166743605,0.0985081820408541,-1.40766210633092,-1.27132264409716,-1.20607893787721,-1.136265516376,-1.01417796192481,1.00100438499703,2100,0,1
"beta2",-0.458324520073595,0.109941106913551,-0.673488160621285,-0.533882546722862,-0.455760675461019,-0.385161808234974,-0.249536615046473,1.00166462845139,2100,0,1
"beta3[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta3[2]",-0.126184798066535,0.143812933853521,-0.409653153527028,-0.223736579973726,-0.127451638803816,-0.0272782083095488,0.15421239436939,1.00031526484426,2100,1,0.807619047619048
"phi.age[1,1]",0.958704421557146,0.00887816299636062,0.940050236343638,0.95309455477406,0.959430302820072,0.96521675360324,0.974168819189493,1.000170430115,2100,0,1
"phi.age[2,1]",0.953476340003187,0.00965862157409107,0.933184211246429,0.94717628452883,0.954142418460027,0.9603838678652,0.970015076468696,1.00388587972396,956,0,1
"phi.age[1,2]",0.957575166003656,0.00754474502623065,0.941818359971005,0.952872489534912,0.957934582627666,0.962749686046647,0.971278154675793,1.00018535722189,2100,0,1
"phi.age[2,2]",0.952209860324746,0.00807371497901883,0.935532133277007,0.94689346887463,0.95262306311992,0.957709931919853,0.966688018525832,1.00365442281012,933,0,1
"phi.age[1,3]",0.952924240986127,0.00768632947546992,0.936339113682018,0.948255481992463,0.953209283227703,0.958086734390058,0.966682410367212,0.99999582150134,2100,0,1
"phi.age[2,3]",0.947001037791667,0.00816660159982776,0.929751320505625,0.942030384796524,0.94729443330357,0.952590508496751,0.962180173510003,1.00166326681896,1114,0,1
"phi.age[1,4]",0.943792910848639,0.00903848531103636,0.924862893816502,0.9381351424339,0.944140327777328,0.949794923958094,0.960233608396452,0.999825109906066,2100,0,1
"phi.age[2,4]",0.936793269341699,0.00962122293202393,0.915890157613,0.930870554118044,0.93710042939428,0.943368786182432,0.954453799123618,1.00078996297537,1415,0,1
"phi.age[1,5]",0.928095474226497,0.0114897085053249,0.903984858629247,0.920954488934075,0.928612019399794,0.935610026472401,0.948807642374542,0.999793081499381,2100,0,1
"phi.age[2,5]",0.91930234605891,0.0122561116231669,0.892722970326213,0.911819417127514,0.919822723807932,0.927584389289165,0.94193481571119,1.00101292956462,1663,0,1
"phi.age[1,6]",0.90198952890035,0.0151226455863467,0.869546727702453,0.892387327681715,0.902601882622857,0.912088041707884,0.929957621537543,0.999812146755012,2100,0,1
"phi.age[2,6]",0.89037174941166,0.0160899699634368,0.855858294217384,0.880582982928184,0.891063434624676,0.901283432211483,0.919631332685933,1.00125426773296,1762,0,1
"phi.age[1,7]",0.858896057088492,0.0202408351425579,0.816447214195574,0.84614956616837,0.859791562815194,0.872487248093696,0.896555197399857,0.99984812098967,2100,0,1
"phi.age[2,7]",0.843043770654376,0.0213592965129027,0.797841293389773,0.829908030407416,0.844081261339235,0.857496962323042,0.882045520925571,1.00117044304009,1716,0,1
"phi.age[1,8]",0.788707564618164,0.027615425062389,0.730449756000161,0.771232240936569,0.789710341822252,0.806824557446347,0.839831073116942,0.999865461112034,2100,0,1
"phi.age[2,8]",0.767088956445045,0.0287781142367566,0.708142071705069,0.749606303550347,0.767818941511269,0.785899626291966,0.821420059793051,1.00088350470573,1609,0,1
"phi.age[1,9]",0.679684440856001,0.038791720120501,0.597770416064781,0.65527270701226,0.681741006258704,0.706204973517629,0.752194266773433,0.999821314735905,2100,0,1
"phi.age[2,9]",0.651842510442345,0.0397765530082566,0.570465294508805,0.626786512593282,0.653755013628846,0.677118910723117,0.72695510417125,1.00066400252585,1635,0,1
"phi.age[1,10]",0.528400398049474,0.0536135302302617,0.419107467926356,0.492219541487342,0.530089585453617,0.563844187199427,0.631024636950768,1.00004439107579,2100,0,1
"phi.age[2,10]",0.497244169147425,0.0535858181892132,0.389026348772865,0.461138109500133,0.49898721152553,0.531990799468495,0.60140688139254,1.00041792472186,1941,0,1
"phi.age[1,11]",0.356089880240655,0.064304427823865,0.233798277999217,0.310834534291814,0.354924776597156,0.397710133674179,0.490307435770671,1.00086999021971,2100,0,1
"phi.age[2,11]",0.328218347502911,0.0620106127467183,0.213766534808035,0.285473559444498,0.326135631547903,0.368638553560142,0.455528972711882,1.00055771168774,2100,0,1
