,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff,overlap0,f
int,2.943486209,0.280457855,2.411171695,2.75528244,2.932259078,3.13023453,3.520621454,1.068222211,37,0,1
site.beta[1],0,0,0,0,0,0,0,NA,1,0,1
site.beta[2],0.84934366,0.335183915,0.211771968,0.624839485,0.839838337,1.079414478,1.521536275,1.009869015,207,0,0.997166667
site.beta[3],-0.400530496,0.410687554,-1.231183087,-0.682166108,-0.394904478,-0.110098809,0.373094831,1.019388975,111,1,0.8305
age.beta[1],0,0,0,0,0,0,0,NA,1,0,1
age.beta[2],-0.122882149,0.31689204,-0.73970237,-0.339856192,-0.125046576,0.091468362,0.488733546,1.020757677,111,1,0.646
age.beta[3],-0.015801766,0.342613404,-0.692463706,-0.236139841,-0.019790575,0.204947196,0.673177405,1.022932739,101,1,0.525166667
age.beta[4],-0.526623855,0.315625469,-1.148131535,-0.731728293,-0.527227981,-0.321688047,0.103562475,1.033627556,69,1,0.949666667
age.beta[5],-0.130690069,0.380666132,-0.853857324,-0.392035804,-0.138107881,0.115334069,0.64623019,1.038456624,63,1,0.644833333
age.beta[6],-0.622973057,0.364931474,-1.32524487,-0.874921932,-0.62010199,-0.387801816,0.107933043,1.028931994,85,1,0.951333333
age.beta[7],-1.637040934,0.340895482,-2.322439916,-1.869776192,-1.63558157,-1.404098268,-0.972755172,1.047791894,49,0,1
age.beta[8],-1.271746122,0.391888295,-2.071253845,-1.534909554,-1.265240092,-1.005079693,-0.513239744,1.037227507,60,0,1
age.beta[9],-1.885587948,0.400706239,-2.689218912,-2.148950345,-1.881386148,-1.614663885,-1.113963026,1.033099293,70,0,1
age.beta[10],-2.543707371,0.445090806,-3.424172882,-2.840662912,-2.542670585,-2.232468874,-1.692140762,1.028539907,75,0,1
age.beta[11],-3.42237206,0.589572392,-4.611823854,-3.814008235,-3.406358801,-3.016582865,-2.299086864,1.021784885,101,0,1
