p2.5,site
0.860991843,1
0.861045869,1
0.861099877,1
0.86115406,1
0.861208513,1
0.861279335,1
0.861355512,1
0.861431654,1
0.86150776,1
0.861583832,1
0.861660244,1
0.86173725,1
0.86181422,1
0.861891153,1
0.861968051,1
0.862044912,1
0.862121738,1
0.862202979,1
0.862296115,1
0.862389199,1
0.862482229,1
0.862573796,1
0.862621674,1
0.862669539,1
0.86273155,1
0.8628069,1
0.862882906,1
0.862962324,1
0.863084569,1
0.863206721,1
0.863328782,1
0.86345075,1
0.863572627,1
0.863686811,1
0.863779141,1
0.863871546,1
0.863964725,1
0.864048862,1
0.864123104,1
0.864197313,1
0.864271486,1
0.864345626,1
0.86441973,1
0.86452287,1
0.864640397,1
0.864757871,1
0.864876149,1
0.864934402,1
0.864987296,1
0.865077735,1
0.865185752,1
0.86528533,1
0.865347719,1
0.865410892,1
0.86547404,1
0.865537163,1
0.865610675,1
0.865709804,1
0.865809166,1
0.865910617,1
0.866054498,1
0.866146871,1
0.866210443,1
0.866309186,1
0.86639792,1
0.866464779,1
0.866533061,1
0.866659561,1
0.866786883,1
0.866902713,1
0.867001158,1
0.867099541,1
0.867197863,1
0.867296123,1
0.867394321,1
0.867492457,1
0.867590532,1
0.867679281,1
0.867695019,1
0.867710754,1
0.867726486,1
0.867742215,1
0.867788848,1
0.867888769,1
0.867988626,1
0.868088417,1
0.868189405,1
0.868290381,1
0.868391291,1
0.86849215,1
0.868594391,1
0.868696566,1
0.868769507,1
0.868809134,1
0.86884875,1
0.868881922,1
0.868927488,1
0.868964674,1
0.869001851,1
0.86903902,1
0.86907618,1
0.86911379,1
0.869171153,1
0.869270649,1
0.869370081,1
0.869425314,1
0.869424441,1
0.869424195,1
0.869505468,1
0.869628402,1
0.869751238,1
0.869873976,1
0.869943656,1
0.870052857,1
0.870120081,1
0.870174019,1
0.870227939,1
0.870282365,1
0.870337073,1
0.870391762,1
0.870474141,1
0.870632987,1
0.87068008,1
0.870694864,1
0.870740966,1
0.870876602,1
0.871044219,1
0.871143963,1
0.87116471,1
0.871185454,1
0.871278288,1
0.871379207,1
0.871478842,1
0.871577156,1
0.871637785,1
0.871671504,1
0.871705215,1
0.87178258,1
0.871956903,1
0.872131077,1
0.8722733,1
0.87237271,1
0.87247253,1
0.872572475,1
0.872672352,1
0.872772162,1
0.872871905,1
0.872971582,1
0.873071192,1
0.873170734,1
0.87327021,1
0.87336962,1
0.873468962,1
0.873568238,1
0.873674732,1
0.873765741,1
0.873852273,1
0.873954342,1
0.874020345,1
0.874051191,1
0.874082031,1
0.874122579,1
0.874196476,1
0.874322367,1
0.874448148,1
0.874546704,1
0.874545865,1
0.874545133,1
0.874637554,1
0.874735309,1
0.874832998,1
0.874901429,1
0.874990868,1
0.87508396,1
0.875174899,1
0.875264696,1
0.875354438,1
0.875387309,1
0.875419545,1
0.87545267,1
0.875485787,1
0.875561111,1
0.875649388,1
0.875687126,1
0.875716512,1
0.875746472,1
0.875786583,1
0.875910342,1
0.876013891,1
0.876142678,1
0.876266033,1
0.876315232,1
0.876358168,1
0.876375663,1
0.876431961,1
0.876474264,1
0.876538721,1
0.876606466,1
0.876654274,1
0.876702066,1
0.876749842,1
0.876797784,1
0.876847677,1
0.876924078,1
0.876962973,1
0.876992893,1
0.877058234,1
0.877110894,1
0.877154706,1
0.877184157,1
0.877230191,1
0.877277871,1
0.87732747,1
0.87737205,1
0.877414264,1
0.877458777,1
0.877503275,1
0.87754776,1
0.877591321,1
0.877617486,1
0.877632504,1
0.87764752,1
0.877662534,1
0.877677547,1
0.877692559,1
0.877707569,1
0.877722577,1
0.877737583,1
0.877752588,1
0.877767723,1
0.877801269,1
0.877852959,1
0.877906209,1
0.877959556,1
0.878041229,1
0.878123199,1
0.878205122,1
0.878286997,1
0.878368915,1
0.878451707,1
0.87853445,1
0.878562549,1
0.878596861,1
0.878674306,1
0.878718241,1
0.878762586,1
0.87884,1
0.878849208,1
0.878903969,1
0.878971707,1
0.879039413,1
0.879107086,1
0.879174726,1
0.879210585,1
0.879217391,1
0.879224705,1
0.879284775,1
0.879350244,1
0.879401324,1
0.879415796,1
0.879430267,1
0.879452232,1
0.879494937,1
0.879538136,1
0.879581321,1
0.879625907,1
0.879665809,1
0.879678381,1
0.879747207,1
0.879812816,1
0.879891631,1
0.879942084,1
0.879993694,1
0.88000306,1
0.880009146,1
0.880030208,1
0.880092693,1
0.880085366,1
0.880087958,1
0.880161969,1
0.880194107,1
0.880245737,1
0.880335752,1
0.880394175,1
0.880437263,1
0.880480396,1
0.880538451,1
0.880598661,1
0.880636863,1
0.880703771,1
0.880779135,1
0.880839425,1
0.880882859,1
0.880940437,1
0.881007447,1
0.881050383,1
0.88104096,1
0.881018828,1
0.881033993,1
0.881075236,1
0.881031781,1
0.881032314,1
0.881048265,1
0.881064214,1
0.88108127,1
0.881144016,1
0.881157532,1
0.881132059,1
0.881147269,1
0.881162477,1
0.881177682,1
0.881192885,1
0.881209376,1
0.881227116,1
0.881235242,1
0.881231109,1
0.881246643,1
