"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",1.75146383060811,0.221686214427283,1.33357112221773,1.59870935279617,1.74971934167029,1.90092204338591,2.19834670602724,1.03103360701041,84,0,1
"site.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"site.beta[2]",0.0498246631147417,0.229319017162922,-0.3942881168376,-0.101074000806235,0.0457565961326247,0.198492613931351,0.512060055102306,1.02347396203709,191,1,0.572333333333333
"site.beta[3]",-0.282940005208528,0.314039155113323,-0.90837712479896,-0.495431003348001,-0.281636795628367,-0.0695256237098858,0.347012703434399,1.04792459206886,53,1,0.814666666666667
"rain.beta",-0.135455716479274,0.145499641866549,-0.428898188603118,-0.229112157377722,-0.134171503983024,-0.0411699119473545,0.148058657470267,1.01019886107324,198,1,0.835333333333333
"rain.site.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"rain.site.beta[2]",0.375466378042283,0.183903064573071,0.0128598304813006,0.257080465964302,0.367426648487765,0.491136876963669,0.751684886814632,1.01519012168105,137,0,0.978666666666667
"rain.site.beta[3]",0.552455515310677,0.256169730644239,0.0599419542937193,0.375216528184842,0.545213701935984,0.722952712995335,1.05956098196473,1.01599482756747,127,0,0.988333333333333
"p",0.957927969829905,0.00457918454761638,0.948470406027923,0.954919218046708,0.958063442776897,0.961135703338575,0.966525882844506,1.00233215740024,1626,0,1
"survival_diff_rain1[1]",0,0,0,0,0,0,0,NA,1,0,1
"survival_diff_rain1[2]",0.0747657323903695,0.052238627237203,-0.0255100410204393,0.0403281712190885,0.0745181730294849,0.107525554302891,0.180584293666393,1.01521799580549,174,1,0.925
"survival_diff_rain1[3]",0.193504473787784,0.0865427572960829,0.0414982564023269,0.132675150889222,0.18757951850794,0.250036076835711,0.375903289235036,1.05200776167026,45,0,0.994666666666667
"survival_diff_rain500[1]",0,0,0,0,0,0,0,NA,1,0,1
"survival_diff_rain500[2]",-0.0278652129790946,0.0296443364211772,-0.0873659404705891,-0.0465579045925288,-0.027021279617823,-0.00871903970430851,0.0295462894914728,1.00683727697454,335,1,0.844
"survival_diff_rain500[3]",0.00469802407827984,0.0479282547317135,-0.0874046943513659,-0.0281025452858546,0.0027980877423654,0.036701038912911,0.0998118750116365,1.02482492737143,99,1,0.523333333333333
"survival_diff_rain1000[1]",0,0,0,0,0,0,0,NA,1,0,1
"survival_diff_rain1000[2]",-0.121141077441927,0.0704439339955061,-0.277159300952464,-0.162842173058694,-0.114761480776835,-0.0722824195511686,-0.00107811015764996,1.0132827379054,200,0,0.976666666666667
