"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.07403089844017,0.274761428993648,2.57134803531374,2.88097358922912,3.05911253996355,3.23975819540563,3.66754703238537,1.07000647461012,50,0,1
"site.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"site.beta[2]",0.0121475261340326,0.156652576870046,-0.294932365249421,-0.0954264412892977,0.011641032382175,0.12544975355985,0.306137089615651,1.00570868817589,328,1,0.530666666666667
"site.beta[3]",-0.20321325810629,0.21767290082727,-0.604541264032054,-0.354225496760205,-0.216805789447131,-0.0662157689041879,0.252784891076873,0.999914881675237,1500,1,0.826
"rain.beta",-0.182168301309876,0.131669324327998,-0.443854465934635,-0.273822303493149,-0.184977973816123,-0.0943843077696117,0.072879577400925,1.01462025676859,148,1,0.913333333333333
"age.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"age.beta[2]",-0.150886430941256,0.345788516934916,-0.857209005779681,-0.361839221515364,-0.14076442808808,0.0639468291096305,0.51125580467256,1.03578226441945,90,1,0.676666666666667
"age.beta[3]",-0.0153046080078916,0.371295592221668,-0.761685696777438,-0.261685535679421,-0.0100144394876734,0.226911436227622,0.734659326929671,1.02340317238594,111,1,0.510666666666667
"age.beta[4]",-0.574162044483141,0.327918986676053,-1.25826220391122,-0.794663579737629,-0.56385675121057,-0.346820429240878,0.0410584837974832,1.04475568127297,67,1,0.966
"age.beta[5]",-0.170123848377686,0.364885076659881,-0.926784225721238,-0.409322631051198,-0.153639767435897,0.0758361379732982,0.541098495433273,1.03719510967106,98,1,0.682666666666667
"age.beta[6]",-0.723503974332797,0.360227525685765,-1.46349374780908,-0.951100834489075,-0.729508027812378,-0.485270771295794,-0.00773154649889583,1.04672591856269,71,0,0.975333333333333
"age.beta[7]",-1.76350636791115,0.320570782223445,-2.41448979840353,-1.96725036377266,-1.7600079259475,-1.54423996504901,-1.17578585906964,1.06205319229744,52,0,1
"age.beta[8]",-1.39963761449817,0.364120774028619,-2.14706849025588,-1.63035358242412,-1.39280301433338,-1.15520819045419,-0.72632641876193,1.04999121897806,61,0,1
"age.beta[9]",-2.09351965302481,0.342819274423349,-2.814604725518,-2.30733846410996,-2.08309186785045,-1.86308304306342,-1.45157045806742,1.04563730256268,64,0,1
"age.beta[10]",-2.66362597884493,0.376849655349786,-3.40978056631068,-2.91418840730414,-2.65404976446241,-2.40932227052331,-1.95246385989897,1.02632943431987,118,0,1
"age.beta[11]",-3.6260047403102,0.519093017570713,-4.70743273739236,-3.97029527109481,-3.60739979676453,-3.26504879236808,-2.6713235918507,1.01443704922065,135,0,1
"age.beta[12]",-11.0254892949639,5.74660888967124,-25.6879456499295,-14.462754852985,-9.71031126261836,-6.73558859780482,-3.32675292815178,1.00265026117829,756,0,1
"age.beta[13]",0.299159347704204,9.89661189206435,-19.8723703369052,-6.56947618737019,0.383060815327722,7.4698091522417,19.342629834908,1.0152783466094,205,1,0.514666666666667
"age.beta[14]",0.0316499143155951,9.87847123306541,-18.4508827696816,-6.56623932085401,-0.442924410305352,6.75097807073437,19.7826718023174,1.0064002015598,377,1,0.487333333333333
"rain.site.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"rain.site.beta[2]",0.3633575677662,0.164651706703687,0.0498904463283936,0.245272404700877,0.366112494374057,0.473530829881709,0.676431891956285,1.01628752020137,128,0,0.986
"rain.site.beta[3]",0.466712909491401,0.236895219283655,-0.00702981276801454,0.314349887660662,0.475694685259258,0.62622337181022,0.920433019013273,1.0118489745514,162,1,0.971333333333333
"p",0.958092684317644,0.00440800489035801,0.949311432390375,0.955108376136007,0.958215913982509,0.961137189787806,0.96633691809728,1.00413339068463,564,0,1
"survival_diff_rain1[1]",0,0,0,0,0,0,0,NA,1,0,1
"survival_diff_rain1[2]",0.0252435742347635,0.0150838816410914,-0.000940277847241347,0.014972588151781,0.0240305895512403,0.0340442023092049,0.0586230766479174,1.00777904630589,354,1,0.969333333333333
"survival_diff_rain1[3]",0.0528777698915659,0.0285047334438635,0.00790271053227047,0.0326773699193512,0.0495668262473405,0.0689682302280337,0.116813276757506,1.02983886966346,79,0,0.991333333333333
"survival_diff_rain500[1]",0,0,0,0,0,0,0,NA,1,0,1
"survival_diff_rain500[2]",-0.00814019600250319,0.00807953977329902,-0.0260643307975372,-0.0129452015968996,-0.00771095946731315,-0.00265457319177267,0.00621061863024213,1.01601546669372,153,1,0.856
"survival_diff_rain500[3]",-0.000403691726244489,0.0126851070763871,-0.0250643976867024,-0.00856109054469961,-0.000400094524459771,0.00758857264771737,0.0247063339539081,1.00329401823108,749,1,0.512
"survival_diff_rain1000[1]",0,0,0,0,0,0,0,NA,1,0,1
"survival_diff_rain1000[2]",-0.0448549505781541,0.028000362366832,-0.112273579364744,-0.0600411344800403,-0.0411233781574531,-0.0252042227908065,-0.00277402343701294,1.02704152670978,106,0,0.984
"survival_diff_rain1000[3]",-0.0428274715508415,0.0335637669779198,-0.117129636345641,-0.0605344543493921,-0.0415018509276702,-0.0226200244294343,0.0220676023475241,1.02246662163982,96,1,0.918
"deviance",841.356445426881,30.4081432279559,785.150294356825,821.317984732307,840.581856587994,860.686591348698,903.402218095167,1.0014908362213,966,0,1
