"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.86574578151111,0.362373157214813,3.16677599275198,3.62208184233631,3.85599464676991,4.09001711757199,4.6211203498136,1.00303150396662,656,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta1[2]",-0.48650531950067,0.42267205696367,-1.37884310601978,-0.756681918901723,-0.483078823421696,-0.209808383870329,0.326733566627875,1.00555005705289,360,1,0.874
"beta1[3]",-0.450274270322483,0.433107311406411,-1.23569022589831,-0.748181187336872,-0.468262668260406,-0.169392401908213,0.429448140891018,0.999556383407036,1500,1,0.846666666666667
"beta1[4]",-1.11704552740067,0.393891225555048,-1.93693161215905,-1.36385479267144,-1.1081084316773,-0.856741482837951,-0.346225454584603,0.999620110967214,1500,0,1
"beta1[5]",-0.687908695636502,0.47737672680862,-1.62186158291608,-1.00527269204374,-0.692413510976261,-0.379162976759701,0.297393477890176,0.999432260633396,1500,1,0.931333333333333
"beta1[6]",-1.3466366042376,0.454301362381765,-2.23047189946762,-1.64823457900895,-1.34698812165797,-1.04582755320794,-0.504708238901325,1.00634255991706,307,0,0.996
"beta1[7]",-2.65248631527148,0.414085610044895,-3.50116338723264,-2.91565068391393,-2.65117574203647,-2.38778566452936,-1.86848851630806,1.00473501237242,374,0,1
"beta1[8]",-2.29935766194457,0.459060906281419,-3.24284479322747,-2.59962965852496,-2.28926344703827,-2.00243109690448,-1.42388321684367,1.00114814447791,1142,0,1
"beta1[9]",-2.97552877284817,0.457136402015512,-3.93166494682391,-3.27482936453603,-2.96593620049345,-2.68471206158815,-2.09659695317052,1.00505368681261,470,0,1
"beta1[10]",-3.84525468942822,0.509267724544101,-4.8806352364099,-4.18351024002508,-3.84314005471882,-3.49512598920069,-2.90025643117192,1.00368773747236,649,0,1
"beta1[11]",-4.79116913184529,0.651214734594005,-6.10459650843755,-5.23457094924189,-4.78759473426356,-4.35906975294101,-3.5318848354507,1.00120867446909,1500,0,1
"beta1[12]",-11.6088388081675,5.41222560825183,-24.5944580621378,-14.628950680822,-10.6461645259868,-7.60023557328067,-3.94654756612209,1.00045160065755,1500,0,0.998666666666667
"beta1[13]",-0.109925885416552,10.0179650125436,-20.1365350774874,-6.7599789683314,-0.272622704032967,6.92583334666924,18.4221464695344,0.999196049816522,1500,1,0.510666666666667
"beta1[14]",0.137185487861813,10.0071989279518,-21.3737695388924,-6.44315169693124,0.240386948721228,7.03151997868433,18.297095714195,1.00089465439155,1398,1,0.512666666666667
"beta1[15]",0.217890239787149,10.1540829685451,-19.8046657677699,-6.57753745597697,0.180932593710622,7.04650440785959,20.2710469299792,1.00131863759123,1500,1,0.504666666666667
"beta3",0.0762440877458883,0.106965767253286,-0.118926775105594,-0.000274436043833419,0.0765535779810374,0.146601633861362,0.291253992892903,1.00250345769259,863,1,0.749333333333333
"beta4",0.210255240455947,0.0336676613397616,0.148361355294047,0.186681455782438,0.209279222938199,0.232245580075388,0.280851744357725,1.00477819265349,404,0,1
"eps1[1]",0,0,0,0,0,0,0,NA,1,1,1
"eps1[2]",-0.113971390575316,0.250873815005849,-0.611191930224181,-0.282473293433851,-0.10947422808998,0.0551069994661213,0.38104576510911,1.00043218715257,1469,1,0.670666666666667
"eps1[3]",0.234898466315188,0.256881431125745,-0.252733577652558,0.0464986930056471,0.228985995950018,0.410526476975772,0.741718472718957,1.00392774874725,485,1,0.81
"eps1[4]",0.556746914071607,0.285420046930022,0.0102417484225902,0.358561119892123,0.546313993715177,0.748541903468844,1.09906268045769,1.00189523931051,1025,0,0.978
"eps1[5]",0.45275774520962,0.26053159003438,-0.00309191606693073,0.27388371969598,0.443318445133596,0.621532857814154,0.986077466335576,1.00205180281675,666,1,0.972
"eps1[6]",-0.0797467445126881,0.235764899829367,-0.540573843827059,-0.232829073282103,-0.0724959586346228,0.071416085684819,0.35034031863063,0.999617045079034,1500,1,0.620666666666667
"eps1[7]",-0.373792149099001,0.249387859590709,-0.885686517923847,-0.538009065323339,-0.367296232490912,-0.192127007439229,0.0780767840622789,1.00065031871049,1500,1,0.944
"eps1[8]",-0.207395004864898,0.259096534911733,-0.718477324636752,-0.378778535093434,-0.199279957349897,-0.0312754527349631,0.311981616842023,1.00004924382755,1500,1,0.798666666666667
"eps1[9]",-0.290986525922455,0.296222540817149,-0.925745776989789,-0.477185144328296,-0.284186656409199,-0.0816070028898903,0.267135351050717,0.999498686484342,1500,1,0.844
"eps1[10]",-0.297774182666569,0.32034431520357,-0.974830199335353,-0.503414396947006,-0.292497740854818,-0.0686792904198335,0.28834200748333,1.00493686649078,358,1,0.821333333333333
"eps1[11]",0.294350947969236,0.397225274702219,-0.391454372420925,0.0143904720829431,0.274331900469947,0.52348290764339,1.20888878841278,0.999957461989451,1500,1,0.765333333333333
"eps1[12]",0.0215652378930194,0.384718815201249,-0.708666921709413,-0.220800442814069,0.00705158926045275,0.245333151212385,0.811866081437479,1.00057769548324,1500,1,0.510666666666667
"eps1[13]",-0.16468089310665,0.394385852328982,-1.00090049695802,-0.39391737551148,-0.146852861060331,0.0940542160605049,0.586587536341713,1.00145862016796,1500,1,0.664666666666667
"eps1[14]",-0.119655990567065,0.460957574308341,-1.08657882686705,-0.392496172043101,-0.095847985418192,0.161976726986161,0.823927770363669,1.00092287476816,1500,1,0.608666666666667
"phi.age[1]",0.978213191621155,0.00769560327619571,0.959564659805855,0.973968756891791,0.979285608731603,0.98353663227594,0.990254086230515,1.00479371978334,535,0,1
"phi.age[2]",0.965537125026128,0.0103161879130336,0.943893655851934,0.958798555690668,0.966481382379529,0.973172394492465,0.983405533594716,1.0017663695659,790,0,1
"phi.age[3]",0.966451070537418,0.0108553909908258,0.943169859505432,0.959820538831216,0.96771036114798,0.973983335953964,0.985033352609053,1.00205329451038,931,0,1
"phi.age[4]",0.937937529223716,0.0159030221638589,0.903604851190618,0.92873531431181,0.939050060513595,0.948949767713669,0.965495976008387,1.00134024578321,1500,0,1
"phi.age[5]",0.957244071527842,0.0154503325794537,0.921417551516824,0.947632148116713,0.958958216820297,0.968224044076376,0.983264839354246,1.0014472543156,1500,0,1
"phi.age[6]",0.922140960337628,0.0236973641603736,0.866344852889531,0.90831288454393,0.924565413172907,0.938405719514519,0.962452260682307,1.00289822171316,667,0,1
"phi.age[7]",0.767941203349852,0.0442862231528334,0.67223724677056,0.740121973817469,0.771321002260993,0.797679449714899,0.846364818724687,1.00562551851735,437,0,1
"phi.age[8]",0.822806871633723,0.0442138079665448,0.731333495388193,0.795278510661198,0.824998708064926,0.854661766337448,0.902626338190914,1.0000632562591,1500,0,1
"phi.age[9]",0.70496894496823,0.0635847285999706,0.572483677560149,0.662533867827364,0.710689491741377,0.750575509637814,0.817156714242063,1.00060147015642,1500,0,1
"phi.age[10]",0.504927757569811,0.085568612530592,0.338370854402133,0.445306938620058,0.506465550030489,0.562911352143611,0.676299388244014,1.00039793805667,1500,0,1
"phi.age[11]",0.296512527920575,0.111766739713873,0.115792430399023,0.217123955548617,0.285075918400325,0.3622652255427,0.540702984758447,1.00028306029187,1500,0,1
"phi.age[12]",0.0486513514738597,0.129142506283401,7.99553133994713e-10,2.14692993922035e-05,0.00114442113796299,0.0226539502292889,0.480684813123583,1.00368915386606,1488,0,1
"phi.age[13]",0.646210041341026,0.437686805668638,8.0781370484141e-08,0.0528261034030794,0.975864596087859,0.999981026703302,0.999999999776054,0.999095167335101,1500,0,1
"phi.age[14]",0.663091637460346,0.435672151049335,3.01790211087586e-08,0.0674094162272051,0.984808998263999,0.999981275089802,0.999999999812432,1.00150165361112,944,0,1
"phi.age[15]",0.659913497266199,0.43396219077103,1.44190377931933e-07,0.0558955891450464,0.980096263992538,0.999981926936878,0.999999999956033,1.00038174244267,1500,0,1
"deviance",901.806789259349,41.1879228290948,827.760461136929,872.773830869723,898.207803868767,928.183548264308,989.529791049892,1.0005039746933,1500,0,1
