"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.16240533830092,0.271349546767562,2.67345009161815,2.97868175017439,3.14943733106838,3.33325097602576,3.72315653143509,1.01148765985279,193,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta1[2]",-0.161277152073332,0.338736696604716,-0.868476794859703,-0.386128244016034,-0.151914725742816,0.0639670571051442,0.47845062290828,1.00098218942603,1102,1,0.680666666666667
"beta1[3]",-0.0689979989899772,0.350997016469035,-0.738321795820305,-0.305044183172046,-0.0643381994808052,0.157548230226075,0.625895842207165,1.00747278322916,252,1,0.572666666666667
"beta1[4]",-0.616008225261662,0.317823731859435,-1.25360545591584,-0.808329813200768,-0.608434880966104,-0.397955602005847,-0.0280376648336863,1.00472990820552,376,0,0.98
"beta1[5]",-0.241034777166388,0.357160807416684,-0.938040514103721,-0.468979987613554,-0.242960150575273,-0.0098373612031691,0.466672131424211,1.00302397743663,557,1,0.762666666666667
"beta1[6]",-0.785079241342545,0.352166517354784,-1.46663873178668,-1.01820964351153,-0.782041973092896,-0.557224233723339,-0.0801388951922282,1.00437783718162,391,0,0.984666666666667
"beta1[7]",-1.88467537446751,0.301198781012345,-2.48910779846784,-2.08987247611755,-1.87625531074306,-1.67990080558632,-1.30214519591722,1.01084101705295,184,0,1
"beta1[8]",-1.57890669025774,0.370435957359904,-2.30030544157002,-1.82724402609799,-1.57682109040916,-1.33197426807429,-0.858049131930365,1.00661044881712,285,0,1
"beta1[9]",-2.28289656846537,0.367348231063244,-3.01442990096052,-2.52786395060239,-2.27966367610145,-2.02337668615664,-1.55260292209716,1.00317286402416,561,0,1
"beta1[10]",-3.06200174036515,0.414403116037888,-3.91412371790013,-3.32691589565714,-3.05732723007993,-2.77008034992047,-2.31806578217345,1.00274508860118,644,0,1
"beta1[11]",-4.03250461634193,0.57493161771779,-5.18615096356776,-4.41943227372716,-4.03406310273044,-3.61862562199254,-2.97114249381852,1.00089434523766,1141,0,1
"beta1[12]",-10.6813275655141,5.27930998569901,-23.4495810397591,-13.7879312268654,-9.44312577050719,-6.73506537679718,-3.53194548856113,1.00134296045947,1500,0,0.999333333333333
"beta1[13]",-0.115365424642638,10.0168285105318,-19.7506583810085,-6.8944890028449,-0.109523897619002,6.76478802204602,18.9048447810105,1.00010306499079,1500,1,0.504
"beta1[14]",0.402112620171691,9.97176727056003,-19.2659053133276,-6.09819200491287,0.169276436899634,7.10822388920018,20.2554861712223,1.00006138873355,1500,1,0.508
"beta1[15]",0.0230346897978382,9.90108800342673,-19.5305323073609,-6.33380232097649,-0.186625097304788,6.49288880722178,19.5421242659028,1.00103451294945,1500,1,0.492666666666667
"beta3",0.0205100050950686,0.089225955780594,-0.14954113093345,-0.0399541863968094,0.0211492084943738,0.077753112623603,0.204301248772864,1.00174246032503,1500,1,0.584666666666667
"phi.age[1]",0.958096577641229,0.010642395901767,0.935441600215685,0.951601692273945,0.958886545226726,0.965552065033218,0.976412224022891,1.01149511682863,176,0,1
"phi.age[2]",0.951265887495088,0.0116688741023132,0.926979760956679,0.943485545989608,0.951887272977006,0.959236473672318,0.97221828385329,1.00145241606421,872,0,1
"phi.age[3]",0.955110989446714,0.0119664328585375,0.92831338387171,0.947961598392917,0.956126936876805,0.963666489968698,0.975552683087488,0.99946163789418,1500,0,1
"phi.age[4]",0.925734771086112,0.0159413974707307,0.892368266351191,0.915219116762838,0.927059011101425,0.936587679878977,0.954308589921405,1.00213296270007,1353,0,1
"phi.age[5]",0.946931811436462,0.0148081334516537,0.916446816008231,0.937758631647182,0.948395460128156,0.957546184178785,0.972688182371139,1.00293051033534,685,0,1
"phi.age[6]",0.91264140918126,0.0215786877262468,0.86598612966982,0.898801015298138,0.913298626594142,0.928156493692337,0.949870231899495,1.00140405244156,1500,0,1
"phi.age[7]",0.779863394396256,0.0366696265676083,0.704314673416823,0.755572376204354,0.783126894959899,0.805264020023305,0.846142844922272,1.00211677542101,1500,0,1
"phi.age[8]",0.826359637054982,0.0382847128703615,0.742198621072276,0.802484376272478,0.828829489781297,0.853697252044098,0.893288865662321,1.0034257030038,1368,0,1
"phi.age[9]",0.703443988377793,0.0575621796407047,0.577131633995977,0.665815642505071,0.705861107697699,0.743589533512703,0.805033409648008,1.00028233997791,1500,0,1
"phi.age[10]",0.524523558728379,0.0770332430173921,0.369389424271814,0.473908781432805,0.523624709500975,0.576745143526494,0.667630960013806,0.999903537950338,1500,0,1
"phi.age[11]",0.306014552792483,0.105748238157755,0.127744912850418,0.226870942745122,0.299085906551204,0.373041969334783,0.537913551354011,1.00067788436314,1201,0,1
"phi.age[12]",0.0461506778429904,0.111523640375511,1.40789152192295e-09,2.35293551031404e-05,0.00186463341527042,0.0262383680166694,0.417914226221861,1.00177637062732,1500,0,1
"phi.age[13]",0.618499272078094,0.444594469053306,7.61219365747715e-08,0.021402917397802,0.952077928487846,0.99995207954968,0.999999999743642,0.999827032025442,1500,0,1
"phi.age[14]",0.644342679691649,0.437221328781841,1.12525442518299e-07,0.0498985290235767,0.965691526116611,0.99996625004407,0.999999999936059,0.999373047508191,1500,0,1
"phi.age[15]",0.628776217180805,0.439028054319782,8.51838323827159e-08,0.0412663175166298,0.952498192406681,0.999931284904101,0.999999999873224,0.999547368322379,1500,0,1
"deviance",839.520771516073,30.5498573348479,783.446018477209,818.955584717687,840.467069612108,859.574743777376,907.319212712012,1.00296930662714,710,0,1
