p97.5,site
0.937901815,1
0.937834816,1
0.937767593,1
0.937695408,1
0.937623145,1
0.937550803,1
0.937478383,1
0.937405885,1
0.937333308,1
0.937260653,1
0.937187919,1
0.937115107,1
0.937042216,1
0.936969245,1
0.936896196,1
0.936823069,1
0.936764524,1
0.936710202,1
0.936655837,1
0.936601428,1
0.936546975,1
0.93648341,1
0.936415472,1
0.936347467,1
0.936279394,1
0.936211253,1
0.936143044,1
0.936074767,1
0.936013405,1
0.935969938,1
0.935926443,1
0.935882633,1
0.93583869,1
0.935794718,1
0.935726763,1
0.935656876,1
0.935586918,1
0.935516872,1
0.93544647,1
0.935375493,1
0.935304443,1
0.93523332,1
0.935162125,1
0.935090857,1
0.935019516,1
0.934948103,1
0.934876616,1
0.934805056,1
0.934733423,1
0.934661716,1
0.934596463,1
0.934561835,1
0.934498663,1
0.934422897,1
0.934347049,1
0.934271119,1
0.934212815,1
0.934199198,1
0.934184918,1
0.934170635,1
0.934094181,1
0.934013862,1
0.93393345,1
0.933852945,1
0.933770692,1
0.933695526,1
0.93363739,1
0.933579206,1
0.933520975,1
0.933462695,1
0.933404368,1
0.933345992,1
0.933286607,1
0.933216543,1
0.933167621,1
0.933114965,1
0.933057534,1
0.93300282,1
0.932949383,1
0.932895906,1
0.932841804,1
0.932775027,1
0.932710747,1
0.932652853,1
0.932594914,1
0.932536928,1
0.932478896,1
0.932420818,1
0.932362693,1
0.932304522,1
0.932246305,1
0.932188041,1
0.932129467,1
0.932069931,1
0.931981791,1
0.931898731,1
0.931839849,1
0.931780921,1
0.931721945,1
0.931662922,1
0.931603852,1
0.931544735,1
0.93148557,1
0.931426357,1
0.931367098,1
0.931307791,1
0.931248436,1
0.931189034,1
0.931129585,1
0.931070087,1
0.931010543,1
0.93095095,1
0.93089131,1
0.930849242,1
0.930810116,1
0.93077097,1
0.930712497,1
0.930653427,1
0.930594311,1
0.930534684,1
0.930473662,1
0.930376122,1
0.930292282,1
0.930232116,1
0.930171902,1
0.930111407,1
0.930049877,1
0.929953273,1
0.92992531,1
0.929869221,1
0.929808752,1
0.929747567,1
0.929668149,1
0.929582323,1
0.929496401,1
0.929410374,1
0.929323227,1
0.929234863,1
