"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.91240052045813,0.21799599071301,2.5116088210646,2.76133262622548,2.90274768014691,3.05448655304344,3.36486021909884,1.00569287334513,437,0,1
"age.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"age.beta[2]",-0.339874708450333,0.465481055275669,-1.26752186815553,-0.654941165081048,-0.328438622739464,-0.0332145227890541,0.563714694993139,1.00551040818971,386,1,0.773433333333333
"age.beta[3]",-2.88374397840647,0.566661842021225,-4.01021496719853,-3.25504634968757,-2.87725967773466,-2.50666301563241,-1.74854904913787,1.01154310473954,182,0,1
"bs.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"bs.beta[2]",0.186011872267419,0.222295430545526,-0.256267157110988,0.0367311621012684,0.187703952763083,0.336002179947798,0.621096338525532,1.00875679807866,237,1,0.800266666666667
"bs.beta[3]",0.145380132377764,0.375267526311032,-0.577887066504958,-0.107656841270252,0.14452486910161,0.391959626979586,0.890925786948519,1.00848883535521,244,1,0.652933333333333
"age.bs.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"age.bs.beta[2]",-0.297133116954514,0.233971274725714,-0.759657275996615,-0.453298146629421,-0.297058011775207,-0.137332534683536,0.15610696724668,1.00609200329842,345,1,0.8988
"age.bs.beta[3]",0.178732097275419,0.311255123218452,-0.448041416795074,-0.0272201845428183,0.177639095925098,0.385643036536716,0.801921076200785,1.01372003909121,152,1,0.721466666666667
"survival[1,1]",0.947422823251859,0.0106927365675932,0.924951644980032,0.940550192283902,0.947982097536318,0.95497582907435,0.966588096600295,1.0042694276055,518,0,1
"survival[2,1]",0.905671370992607,0.0155307471415813,0.873489655086226,0.895680477512371,0.906469315076745,0.91627680939628,0.934120513796885,1.00024214940041,14472,0,1
"survival[3,1]",0.550959538372033,0.0581892453807712,0.433724479574817,0.5120318852966,0.551770511000018,0.59062606267026,0.661777982508772,1.00146932225248,1331,0,1
"survival[1,2]",0.956234571038036,0.00738819102365043,0.940596616268383,0.95151951603276,0.956659637863901,0.961412036282995,0.969468586409894,1.00092058074925,2087,0,1
"survival[2,2]",0.896175192111782,0.0138757940922904,0.867428556623335,0.887325303766879,0.896767562888964,0.905701284041298,0.921803334130743,1.00056007700326,3286,0,1
"survival[3,2]",0.637758264800107,0.050002614621249,0.535209985027291,0.604777925767196,0.639428668480316,0.672719281921064,0.730938135042463,1.00093404140486,2361,0,1
"survival[1,3]",0.953485504489887,0.0126877610222185,0.925257545691274,0.945754104905491,0.954702505539603,0.962599891291979,0.974767712928703,1.00436402818152,474,0,1
"survival[2,3]",0.859382035909324,0.0256182071282882,0.805496659514833,0.842896675638123,0.860728019287507,0.877271730779583,0.905618905751143,0.999976594674412,30000,0,1
"survival[3,3]",0.66388946176243,0.092419302915737,0.469060093246798,0.6036637393208,0.669518732080103,0.730805297718206,0.828227148809879,1.00454979028887,451,0,1
"surv_diff[1,1]",-0.0417514522592515,0.0173947441507511,-0.0767911782656204,-0.0531032887369984,-0.041341842052699,-0.0300113067104556,-0.00845141680426595,1.00194274754636,1085,0,0.991933333333333
"surv_diff[2,1]",-0.354711832620574,0.057924753260907,-0.469999927808438,-0.393616652725632,-0.354360720718163,-0.315261637734414,-0.242211738175046,1.00151977506476,1317,0,1
"surv_diff[1,2]",-0.060059378926254,0.0123946495571132,-0.0857310933072579,-0.0680180060713134,-0.0595684399288722,-0.0515430555089444,-0.0369989686027733,1.00013050363499,12579,0,1
"surv_diff[2,2]",-0.258416927311675,0.047804356197853,-0.35564509155125,-0.290092141981162,-0.256816960989943,-0.225355089929939,-0.168943557729728,1.00138936848268,1464,0,1
"surv_diff[1,3]",-0.0941034685805624,0.0257409831887154,-0.147360065241039,-0.11087314202765,-0.0930477784535216,-0.0763199087022201,-0.0466972519998456,1.00135482205578,1591,0,1
"surv_diff[2,3]",-0.195492574146894,0.0905231453081984,-0.385537535938668,-0.254755233989745,-0.19026921628853,-0.130657104711622,-0.0342241471844235,1.00470363182137,446,0,0.993366666666667
"site_diff[1,1]",0,0,0,0,0,0,0,NA,1,0,1
"site_diff[2,1]",0,0,0,0,0,0,0,NA,1,0,1
"site_diff[3,1]",0,0,0,0,0,0,0,NA,1,0,1
"site_diff[1,2]",-0.00881174778617751,0.0104605372624827,-0.0303696339285521,-0.0155158691348258,-0.00840948889182597,-0.00159649567263639,0.0106075330291709,1.00750279360662,275,1,0.800266666666667
"site_diff[2,2]",0.00949617888082498,0.0167784045533718,-0.0230764910473407,-0.00185945110323024,0.00958831530313775,0.0208130864008381,0.0419566590059863,1.00039238069222,8098,1,0.7144
"site_diff[3,2]",-0.086798726428074,0.0615053395723671,-0.208171362479485,-0.128449327846484,-0.0871316812315745,-0.0448201304152478,0.0338703314229605,1.00376582763494,555,1,0.919333333333333
"site_diff[1,3]",-0.0060626812380281,0.0171854921058554,-0.0388021682286018,-0.0175424610216288,-0.00657678557016073,0.00503553775336352,0.0292597675906562,1.00804285351259,267,1,0.652933333333333
"site_diff[2,3]",0.0462893350832828,0.0290571556744577,-0.00810096356011531,0.0263578439189429,0.0454890827142846,0.0651515485839279,0.106333882446788,1.00008497202916,30000,1,0.950433333333333
"site_diff[3,3]",-0.112929923390397,0.115626819950037,-0.326333173732021,-0.193272742238559,-0.117236644140335,-0.036274508584513,0.126661615510096,1.00541855493976,381,1,0.833133333333333
"deviance",851.600599361483,31.9907841796173,791.631917459263,828.327021751622,850.302178527618,872.374978895847,916.88163572982,1.00028987068137,9078,0,1
