,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff,overlap0,f
int,3.101510719,0.356792578,2.455481801,2.855406599,3.082302076,3.327998652,3.849988885,1.00141992,1858,0,1
age.beta[1],0,0,0,0,0,0,0,NA,1,0,1
age.beta[2],-0.03354708,0.9029177,-1.846775394,-0.627028239,-0.016053286,0.578896754,1.694332548,1.000184618,9341,1,0.507533333
age.beta[3],-0.874532872,0.91639042,-2.740404933,-1.478651766,-0.852513466,-0.249745814,0.883400976,1.000393539,10122,1,0.8318
age.beta[4],-0.274901599,0.826555863,-1.93271379,-0.825228553,-0.272193767,0.269985492,1.338731633,1.001630248,1375,1,0.631533333
age.beta[5],1.650141,1.156686318,-0.459099458,0.843800918,1.6059096,2.388571826,4.085669877,1.001279987,30000,1,0.9327
age.beta[6],-0.400849865,0.905544813,-2.178366551,-1.006154184,-0.401056592,0.203635644,1.398593542,1.001131055,3451,1,0.674866667
age.beta[7],-0.974746467,0.770689238,-2.502839993,-1.48644292,-0.966498788,-0.450524304,0.505343319,1.000968034,2126,1,0.8992
age.beta[8],-2.46665077,0.901499527,-4.287166402,-3.054637519,-2.442202132,-1.85932958,-0.750778029,1.00003202,30000,0,0.997933333
age.beta[9],-2.330050722,0.887418644,-4.108942554,-2.927470294,-2.320550153,-1.715809244,-0.631289802,1.00175558,3316,0,0.997233333
age.beta[10],-3.409254379,0.989536713,-5.39842849,-4.082788036,-3.386280779,-2.718103063,-1.567209785,1.000469124,5583,0,0.999666667
age.beta[11],-4.582372668,1.726943502,-8.062976568,-5.713713867,-4.564496807,-3.429724598,-1.237831418,1.002673977,1089,0,0.996533333
age.beta[12],-5.963554604,8.257732698,-22.86067186,-11.34109813,-5.677228048,-0.281400242,9.533519973,1.001264129,1542,1,0.7619
age.beta[13],-0.091893809,9.978930452,-19.69970029,-6.730378093,-0.116085969,6.579850778,19.48811295,1.000113763,13873,1,0.504566667
age.beta[14],-0.035470329,10.00038718,-19.71337938,-6.794359651,-0.09053251,6.705558211,19.61158853,1.00004474,30000,1,0.503433333
age.beta[15],0.017084475,10.01278219,-19.50152297,-6.707804596,-0.061566408,6.775512903,19.8193206,1.000173136,14416,1,0.497333333
bs.beta[1],0,0,0,0,0,0,0,NA,1,0,1
bs.beta[2],0.088020571,0.328956083,-0.583930735,-0.129215072,0.095790562,0.312397169,0.711662049,1.00034921,30000,1,0.617266667
bs.beta[3],0.083759286,0.594608187,-1.110490059,-0.308286068,0.089148485,0.487304107,1.220476483,1.000269473,30000,1,0.562133333
age.bs.beta[1],0,0,0,0,0,0,0,NA,1,0,1
age.bs.beta[2],-0.063676751,0.454669042,-0.919319608,-0.377848228,-0.0696125,0.24066023,0.846853041,1.000091644,28926,1,0.561266667
age.bs.beta[3],0.47352771,0.506480329,-0.454083646,0.127753788,0.44941348,0.792343251,1.543033384,1.000766864,2778,1,0.8261
age.bs.beta[4],-0.183167176,0.405363217,-0.972663469,-0.458401885,-0.180710784,0.089588653,0.624173979,1.001258075,1846,1,0.6729
age.bs.beta[5],-0.905688109,0.504101904,-1.917179289,-1.23952588,-0.892981139,-0.563952329,0.05507458,1.001096687,30000,1,0.966133333
age.bs.beta[6],-0.206294729,0.452753003,-1.083842128,-0.511814134,-0.208132617,0.092405537,0.687185356,1.001612277,2099,1,0.682633333
age.bs.beta[7],-0.495503989,0.382109556,-1.230908382,-0.755112104,-0.496694787,-0.238003192,0.259235061,1.000917898,2082,1,0.901366667
age.bs.beta[8],0.584120338,0.52264241,-0.395618113,0.227536718,0.56541794,0.925941924,1.650711014,1.000411964,7769,1,0.8721
age.bs.beta[9],0.039276719,0.471238204,-0.861152515,-0.284196917,0.034843102,0.355991319,0.987431236,1.001127823,7630,1,0.530133333
age.bs.beta[10],0.250783545,0.560678009,-0.803446832,-0.139498247,0.241701501,0.625813907,1.377972113,1.000333714,12075,1,0.6629
age.bs.beta[11],0.365674257,1.03054059,-1.639124274,-0.314922875,0.366877908,1.054865483,2.415604203,1.002739383,931,1,0.643133333
age.bs.beta[12],-8.268730068,7.341522234,-23.5000458,-13.0585628,-7.78266288,-3.06306526,4.518295348,1.010081273,217,1,0.877533333
age.bs.beta[13],-0.13822098,9.996250198,-19.80461758,-6.775398105,-0.083645101,6.533515548,19.42035611,1.000152466,30000,1,0.503066667
age.bs.beta[14],0.033819656,9.916610675,-19.31749104,-6.685334341,-0.018040086,6.675121947,19.51837675,1.000849154,2387,1,0.499266667
age.bs.beta[15],0.034443962,9.971221128,-19.66381883,-6.732425394,0.156178055,6.749081198,19.43998131,1.00007695,18387,1,0.506666667
"survival[1,1]",0.954595756,0.014985893,0.920961401,0.945597485,0.956156791,0.965376938,0.979163429,1.002354684,1703,0,1
"survival[2,1]",0.94987302,0.017617093,0.909719365,0.939532144,0.951856436,0.962376658,0.97819818,1.000124945,30000,0,1
