"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.1273359350273,0.259423176330491,2.64678860602557,2.93661120286107,3.12549170197989,3.3017686154696,3.64618900526019,1.00390891865377,492,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta1[2]",-0.133238958470587,0.322313484894027,-0.790924816466994,-0.351612237130516,-0.12784639856341,0.0791818546308207,0.480391301759093,1.00415691830212,453,1,0.658333333333333
"beta1[3]",-0.0454401515671816,0.3557368576579,-0.708978095814804,-0.290842819138877,-0.0581400547503555,0.17737516434334,0.687866007482851,0.9991814082246,1200,1,0.5675
"beta1[4]",-0.584749332552221,0.31549008363775,-1.19782246664432,-0.798016282676112,-0.590879897562917,-0.376817921381719,0.0362237086534907,1.00134511483679,947,1,0.963333333333333
"beta1[5]",-0.209483925307713,0.363073584082278,-0.928054061959623,-0.44566330687691,-0.219009089440306,0.0376020670160525,0.548995920562266,1.00224108549604,1200,1,0.715833333333333
"beta1[6]",-0.772553003850646,0.350279373255625,-1.46585003760554,-1.0055195478129,-0.769252552962234,-0.531230602708988,-0.104146910501329,1.00929566238236,196,0,0.988333333333333
"beta1[7]",-1.85073757841042,0.30926978086127,-2.47671001942069,-2.06954427674276,-1.84963782239345,-1.64369170402178,-1.24245479213331,1.00187612085744,724,0,1
"beta1[8]",-1.55463800617914,0.365236933884766,-2.23899073110491,-1.80084923921278,-1.56459552152078,-1.31964870921837,-0.790860100907719,1.00375274583943,1200,0,1
"beta1[9]",-2.24698252520002,0.363389281374576,-2.93238115869567,-2.50219678550745,-2.2474868009913,-2.01704449176333,-1.50591037659055,1.00248687098545,634,0,1
"beta1[10]",-3.00358079248008,0.394139773529557,-3.79340502308217,-3.25364065318276,-2.98285065250995,-2.75273026449439,-2.20633149397322,1.00599666179246,355,0,1
"beta1[11]",-4.01912200883814,0.567803278857186,-5.16998461840071,-4.39838215540468,-4.00775824404827,-3.62607360895836,-2.94706757146367,1.00957928288484,237,0,1
"beta1[12]",-10.7531605543172,5.56224961072073,-24.7322916682171,-13.7892083862583,-9.69441660377204,-6.53765050741423,-3.21448380466128,1.00100200080266,1200,0,0.999166666666667
"beta1[13]",-0.329656703317868,10.1266272557741,-21.4331269421731,-7.24304676615692,-0.411467448143886,6.58928646313051,19.2963060501073,1.00029259344782,1200,1,0.51
"beta1[14]",0.0209970212608997,9.85751969114866,-18.6841733426798,-6.75084326840599,-0.316835683540848,6.6813900485259,19.8751567709679,1.00040883214355,1200,1,0.4825
"beta1[15]",0.0508074605333087,10.1063237960725,-20.1635922692446,-6.70351725551344,0.245860436345009,6.64530254825306,20.5767880034487,1.00096604262991,1032,1,0.51
"beta2",0.0127795221735136,0.0898356195873193,-0.165195941320026,-0.0464239134346482,0.0128797369632906,0.0735129145512705,0.188764303352231,1.00460675930525,548,1,0.556666666666667
