"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.78887453014456,0.444960580676971,2.94279268560037,3.4903669318174,3.77163794989329,4.06828667846987,4.73792739689921,1.00248650663728,779,0,1
"age.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"age.beta[2]",0.439305240142247,1.24026260384456,-1.86332385729636,-0.403060939746079,0.365894743821877,1.21840696388762,3.06057933485449,1.01652091470324,142,1,0.621133333333333
"age.beta[3]",-1.27124175909629,1.23164489491251,-3.63898004064196,-2.06946078168544,-1.29630765109624,-0.511067601643453,1.23718074767634,1.00602520119044,1339,1,0.850933333333333
"age.beta[4]",-0.379650975879707,1.08548115635398,-2.57480376559829,-1.08015662901962,-0.399770209625313,0.31497759585806,1.84043891992265,1.00353745996278,7976,1,0.645
"age.beta[5]",2.33386835306578,1.67120961226845,-0.569734281516532,1.19003668825351,2.21142454930377,3.27534524930274,6.05621626316513,1.01748684524799,183,1,0.937466666666667
"age.beta[6]",-0.0407450531392035,1.31706225141978,-2.47788200065059,-0.908114798062498,-0.109952664349335,0.74063101595839,2.82851223759677,1.02334541860777,114,1,0.536066666666667
"age.beta[7]",-1.41020680301057,0.970851747391437,-3.25687576221831,-2.08525262556186,-1.43536064139858,-0.763958265533347,0.497893627752491,1.00533113267712,874,1,0.9208
"age.beta[8]",-3.01043245743511,1.08172338772769,-5.10280774224311,-3.7304743493125,-3.00729424682626,-2.29329856503159,-0.849308961148098,1.00608402096345,341,0,0.996733333333333
"age.beta[9]",-2.64934376917606,1.09778994983271,-4.68089062498955,-3.42038370057953,-2.66664911816928,-1.92582710986103,-0.388382153622518,1.00268225270402,1285,0,0.989133333333333
"age.beta[10]",-3.84448185241135,1.21326763031178,-6.16515540711791,-4.67687179540459,-3.88801035898238,-3.03077194842395,-1.40230016567816,1.0012044979932,6647,0,0.9994
"age.beta[11]",-5.6070889102843,1.94711471212718,-9.53834622563034,-6.87710280437623,-5.54922844906049,-4.32477137464522,-1.75430178069252,1.00287599512427,704,0,0.998466666666667
"age.beta[12]",-6.18527169896684,8.37256860495406,-23.0382775179625,-11.8106101874985,-5.95958164289021,-0.321857645282114,9.48757579506938,1.00199660678985,2151,1,0.764
"age.beta[13]",-0.010354972688909,9.99583243896994,-19.7348196090682,-6.77139993975855,-0.000117270271700054,6.7707043184524,19.6434528850048,1.00026960984882,9865,1,0.5
"age.beta[14]",-0.0634981042586487,9.92613207553924,-19.5986735930753,-6.80511102748945,-0.0491436322418597,6.67440208930868,19.2686307401622,1.00116020588783,2296,1,0.5014
"age.beta[15]",-0.0644295093286529,9.97528525973719,-19.7078417813769,-6.86884506818521,0.0576985884887222,6.65340129742344,19.5531419464086,0.99996168523111,15000,1,0.497466666666667
"bs.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"bs.beta[2]",0.222150533844049,0.460701714774419,-0.627678571138368,-0.0903668594925822,0.192134433789896,0.499460916801959,1.20151262883165,1.00950619077299,297,1,0.677
"bs.beta[3]",0.751831055863866,0.918280862775726,-0.894689631040822,0.132328955937543,0.651252840941533,1.27641687573144,2.76446029746099,1.01024985247939,293,1,0.8032
"age.bs.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"age.bs.beta[2]",-0.509890301788847,0.639825416951568,-1.86484235736017,-0.909429374099951,-0.464739410990375,-0.0622984929810214,0.635627554500338,1.01588268224033,144,1,0.782133333333333
"age.bs.beta[3]",0.489967632021199,0.763894684240103,-0.961661928318412,0.00412098547753623,0.466088221867569,0.937594322869665,2.12121277330026,1.00963180729921,688,1,0.751333333333333
"age.bs.beta[4]",-0.464081971050418,0.576359486121794,-1.67145463979386,-0.818875777850841,-0.43866497005733,-0.0911173616168322,0.662491592407353,1.00393833134956,9709,1,0.8022
"age.bs.beta[5]",-1.50217241605278,0.750663048430324,-3.12820385326354,-1.9677122653583,-1.45582054090665,-0.978995025597796,-0.127144257918714,1.01516590998836,155,0,0.986
"age.bs.beta[6]",-0.750281660032525,0.681738810198859,-2.2085340370203,-1.14861136045201,-0.710489876492863,-0.31739546484169,0.501593215068603,1.01983187335979,123,1,0.8834
"age.bs.beta[7]",-0.7772657423005,0.535083794325495,-1.8968008060271,-1.113455277679,-0.736019273619898,-0.410926646547937,0.209426693940565,1.00883619845493,523,1,0.9408
"age.bs.beta[8]",0.435133957465294,0.673617336165894,-0.884023585287574,-0.00970555774032333,0.440113755492947,0.871261237158399,1.76521402165422,1.00684756471939,298,1,0.745266666666667
"age.bs.beta[9]",-0.277987882248225,0.616298440001062,-1.5873140389063,-0.665450479203965,-0.266820938234755,0.14657268760001,0.875695360323439,1.00483537139273,704,1,0.670466666666667
"age.bs.beta[10]",-0.0699349958155648,0.740240674057699,-1.56317939473644,-0.558799868414543,-0.0458070936395981,0.443456986766735,1.30481433489606,1.00063054018712,3481,1,0.522466666666667
