,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff,overlap0,f
int,2.876270405,0.339170651,2.247444539,2.64635631,2.8598883,3.087677333,3.589107827,1.021329211,101,0,1
age.beta[1],0,0,0,0,0,0,0,NA,1,0,1
age.beta[2],-0.065527208,1.009222223,-2.05525764,-0.739943605,-0.067981208,0.598598012,1.950206451,1.02495616,89,1,0.527633333
age.beta[3],-0.717075244,1.054218099,-2.757458161,-1.438292252,-0.734331031,-0.002130612,1.374058495,1.017934465,118,1,0.7505
age.beta[4],0.820946975,1.126038819,-1.320078435,0.068394878,0.779765278,1.558993082,3.103115255,1.021243874,106,1,0.769733333
age.beta[5],2.964243024,1.915154848,-0.048618864,1.688600868,2.707418084,3.889613539,7.867716491,1.027381411,308,1,0.972766667
age.beta[6],0.433870616,1.223970661,-1.765880688,-0.419012664,0.378984339,1.207530124,3.002822579,1.038810473,59,1,0.626033333
age.beta[7],0.318192116,1.042831223,-1.636026655,-0.407970344,0.302214256,0.97482601,2.478787862,1.034484581,64,1,0.613966667
age.beta[8],-1.717131064,1.008717133,-3.631199543,-2.402185338,-1.733139715,-1.05133264,0.335243981,1.023161627,94,1,0.951766667
age.beta[9],-0.809428239,1.214704294,-3.030211084,-1.566446421,-0.868818153,-0.105320946,1.527786389,1.037075665,88,1,0.777166667
age.beta[10],-2.615588392,1.155721726,-4.847230831,-3.400823099,-2.641429687,-1.809073623,-0.336037949,1.00769358,326,0,0.986966667
age.beta[11],-3.91622342,1.754447746,-7.48059397,-5.071778955,-3.861980455,-2.710378176,-0.596712717,1.012871205,163,0,0.991433333
age.beta[12],-5.934789144,8.26581311,-22.70891587,-11.39105766,-5.612549842,-0.254460822,9.683161939,1.000747849,3109,1,0.760033333
age.beta[13],-0.036719825,9.892870865,-19.52033752,-6.700253011,-0.115042512,6.686474951,19.33570811,1.000261118,16459,1,0.504466667
age.beta[14],0.022833855,10.04051375,-19.58744888,-6.838022882,-0.004777039,6.823502005,19.60663046,1.000100875,21986,1,0.4998
age.beta[15],0.002215893,9.997501483,-19.36733861,-6.711684223,-0.108648668,6.76266242,19.73398404,1.00005288,20740,1,0.495566667
bs.beta[1],0,0,0,0,0,0,0,NA,1,0,1
bs.beta[2],0.544672546,0.439343206,-0.302282482,0.244651556,0.536943151,0.834194009,1.453776673,1.044068296,53,1,0.8973
age.bs.beta[1],0,0,0,0,0,0,0,NA,1,0,1
age.bs.beta[2],-0.066170549,0.630648238,-1.323230568,-0.482952997,-0.059481725,0.358535642,1.173606151,1.027065736,84,1,0.54
age.bs.beta[3],0.420424977,0.684709969,-0.920140735,-0.045420003,0.428043337,0.876909433,1.775783655,1.018423337,116,1,0.729733333
age.bs.beta[4],-0.892260901,0.665137851,-2.255737968,-1.327612149,-0.861288614,-0.444065684,0.374402714,1.023652752,93,1,0.917466667
age.bs.beta[5],-1.855499237,1.009870829,-4.319183424,-2.389484564,-1.749362106,-1.172907306,-0.17379433,1.018656504,534,0,0.986366667
age.bs.beta[6],-0.774914264,0.722220693,-2.250638075,-1.23831567,-0.74936831,-0.270185505,0.547823943,1.040189348,56,1,0.862
age.bs.beta[7],-1.361559889,0.619364906,-2.686840003,-1.752247309,-1.339784339,-0.926596098,-0.227084925,1.038975657,59,0,0.9907
age.bs.beta[8],0.103884488,0.65124496,-1.202865988,-0.328442039,0.114989729,0.545476203,1.346858298,1.023723655,93,1,0.567033333
age.bs.beta[9],-0.939221397,0.710709987,-2.338814234,-1.371819927,-0.907346741,-0.483138243,0.39313813,1.032194856,87,1,0.920466667
age.bs.beta[10],-0.288812472,0.722845361,-1.718804485,-0.787302099,-0.277719346,0.211484482,1.102621397,1.00862944,294,1,0.6458
age.bs.beta[11],-0.106851439,1.070140401,-2.16953755,-0.839833875,-0.121540941,0.604467653,2.049021096,1.013863006,152,1,0.546633333
age.bs.beta[12],-8.210083271,7.267542008,-23.89887534,-12.81575455,-7.582708741,-2.959200858,4.227712589,1.004446092,501,1,0.881233333
age.bs.beta[13],0.051687121,10.01993761,-19.52878883,-6.740130359,0.072976933,6.980188768,19.48894897,1.000079239,30000,1,0.503166667
age.bs.beta[14],0.051322419,9.971253023,-19.35802793,-6.698136797,0.064010329,6.804549328,19.71249274,1.000225278,29116,1,0.502333333
age.bs.beta[15],-0.037546386,9.935264491,-19.37991663,-6.718639081,-0.105872885,6.674761237,19.59113125,1.000032315,30000,1,0.504366667
"survival[1,1]",0.944098815,0.017529444,0.904429878,0.933786058,0.945827577,0.956381576,0.973119554,1.027723487,90,0,1
"survival[2,1]",0.93642275,0.020797711,0.890325225,0.923700788,0.938500833,0.95144421,0.970960284,1.000674942,3062,0,1
"survival[3,1]",0.925630551,0.025060918,0.869289014,0.910344313,0.928234517,0.943816286,0.966834644,1.001177817,2109,0,1
"survival[4,1]",0.938762358,0.023343822,0.885659196,0.925078072,0.941515592,0.955554778,0.976086891,1.000712184,3470,0,1
"survival[5,1]",0.975281257,0.017158768,0.933487196,0.966226037,0.978485085,0.987896478,0.998416466,1.009740026,297,0,1
