"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.26063612695476,0.271165992472248,2.75849945887943,3.06783583676065,3.25371903270974,3.43963059756697,3.80346954205581,1.00432714192098,499,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta1[2]",-0.179290022167731,0.338071124664464,-0.816415877655792,-0.41935539617788,-0.170315768996979,0.059440357170099,0.49020652415646,1.00374661938763,427,1,0.700833333333333
"beta1[3]",-0.0974170504424872,0.360677959408846,-0.757542236066324,-0.357825729281797,-0.105819094445191,0.154367629562636,0.630170040806486,1.00187745276814,1110,1,0.604166666666667
"beta1[4]",-0.625227996110975,0.323552795836031,-1.28335840732708,-0.830381022738662,-0.619275002003195,-0.386534743494096,-0.0552640106910858,1.0003690859572,1200,0,0.9825
"beta1[5]",-0.246307189414257,0.364884907851155,-0.959815156700737,-0.492856107874678,-0.261383520032897,0.00045419568454888,0.493654870241305,1.00366538025813,534,1,0.749166666666667
"beta1[6]",-0.791707027715973,0.354550253183327,-1.50254814613821,-1.02961243199738,-0.791318474795251,-0.550191216468368,-0.125646437868745,1.00497946881662,338,0,0.9875
"beta1[7]",-1.89864266453866,0.302215507412116,-2.50532409583443,-2.10326927568607,-1.87911457036978,-1.6901971626688,-1.32945561309492,1.00734784252729,360,0,1
"beta1[8]",-1.57941419209521,0.359701807567341,-2.29965097922232,-1.81953565987174,-1.57715131413345,-1.32388939133105,-0.865224470192166,1.00331938599082,547,0,1
"beta1[9]",-2.29279286049783,0.363844635548031,-2.99729044887267,-2.53393235347559,-2.29040792670443,-2.06166309437643,-1.58990608684362,1.00123495693147,1200,0,1
"beta1[10]",-3.05310681176108,0.391901050842208,-3.81846077535912,-3.30311263608078,-3.04177696965811,-2.79429513872714,-2.32469126618576,0.999792623585852,1200,0,1
"beta1[11]",-4.02056649836852,0.547910422253942,-5.10904150382905,-4.369278786457,-4.03159705327847,-3.63922920388263,-2.97056979148661,1.00501552502252,568,0,1
"beta1[12]",-10.9670315791791,5.34493846035592,-23.6272392593347,-14.263297303272,-10.0254810077867,-6.95840281604741,-3.58951669897,0.99985820773855,1200,0,0.998333333333333
"beta1[13]",0.554499337897767,9.65434146394895,-18.5001936511302,-5.9191835715639,0.73546210813422,7.01373747632644,19.902014211686,1.00725411863273,260,1,0.529166666666667
"beta1[14]",0.229464190170098,9.49645447336351,-17.870097874124,-6.08620159483328,-0.0846073225126993,6.83815908175409,18.3185633004408,1.00146643328925,1200,1,0.499166666666667
"beta1[15]",-0.126919690451441,9.88954693207698,-20.5532712724849,-6.755868728775,-0.221622324225116,6.36683085825129,20.4481495896918,1.00280535926924,845,1,0.505
"beta2",0.00708654371799244,0.0924359593478516,-0.16947777256793,-0.0576451518882322,0.00624162651385226,0.0687057557891084,0.190975713469616,1.00028116353422,1200,1,0.5275
"beta3[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta3[2]",-0.169347004955254,0.151495891749508,-0.46077864618135,-0.271465955907526,-0.168816440599671,-0.0622817654877259,0.125975511846205,1.0001016059937,1200,1,0.859166666666667
"beta4",0.0598876505104353,0.0796379493182235,-0.0898520126128446,0.00575534945487974,0.0599338222370293,0.111654671051891,0.219776574528569,1.00045155267624,1200,1,0.774166666666667
"eps1[1]",0,0,0,0,0,0,0,NA,1,0,1
"eps1[2]",-0.129628733802592,0.225224000921786,-0.601064224876679,-0.281963139083891,-0.123618077094036,0.0178348855022909,0.311177585500699,1.00415057356749,512,1,0.719166666666667
"eps1[3]",0.226673286997744,0.227523241202959,-0.21079988235235,0.0727854583093333,0.214885046580273,0.369485429614902,0.695544724398816,1.00070631661497,1200,1,0.846666666666667
"eps1[4]",0.467696944684074,0.240582878866185,0.0322729963093843,0.300597358646545,0.451605502199916,0.622777960439063,0.945477930125665,0.999450494353738,1200,0,0.985833333333333
"eps1[5]",0.327376006236447,0.210683289290176,-0.0540470030329893,0.176415344263371,0.318667068419903,0.468411437934538,0.753054553123805,1.00148590277919,1200,1,0.951666666666667
"eps1[6]",-0.12577681964269,0.196738237878302,-0.521871013273819,-0.255006619692016,-0.120090068951903,-0.000159896958428433,0.263025494069211,1.00154533840346,752,1,0.75
"eps1[7]",-0.34811193029074,0.218459468096149,-0.786753709117739,-0.487060356498345,-0.343464903568903,-0.191246383485981,0.0435679067320473,1.00248241098984,563,1,0.9575
"eps1[8]",-0.220323791277685,0.229086408600527,-0.684325903359891,-0.374754963636736,-0.216601556827688,-0.0627013313479039,0.22564259782948,1.00518962905055,410,1,0.835
"eps1[9]",-0.321545045232829,0.268535599970158,-0.88992979920954,-0.495386991722798,-0.297616527738389,-0.130141406949638,0.151418024089564,1.0055933832945,530,1,0.890833333333333
"eps1[10]",-0.288949713814713,0.291546902649309,-0.898074179889367,-0.483503901459075,-0.267663885292508,-0.0922994207556751,0.237654031443856,1.00243387113012,556,1,0.8525
"eps1[11]",0.273325337836742,0.359907061975652,-0.363475924412946,0.0275826833661353,0.227790378128955,0.481349276281645,1.04983180833031,1.00301840794496,851,1,0.7825
"eps1[12]",0.0401472799668029,0.353680713946679,-0.641355745389562,-0.181948615274627,0.0197106524579226,0.262793566193781,0.814322360726777,1.00126152296774,1200,1,0.531666666666667
"eps1[13]",-0.250454720111411,0.363806096598212,-1.05514080418905,-0.449147494157129,-0.211789065877556,0.00105641228569744,0.334903688801684,0.999900056827017,1200,1,0.749166666666667
