"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.09192408956255,0.182770088752797,1.7393333537612,1.97036158537518,2.09205480662561,2.20766380678641,2.43788777349089,1.00369981122246,1500,0,1
"beta1",-1.30524575970872,0.185030233569955,-1.68590774327806,-1.42989380232904,-1.30240048388528,-1.17969820193558,-0.946801115003443,1.00164565325163,1500,0,1
"beta2",0.160498504657531,0.0386932712214275,0.0876659515309547,0.135043316457823,0.158699889137261,0.185592063647005,0.240035440219282,1.00263765945747,1391,0,1
"beta3",-0.0242990238573488,0.0995826809274149,-0.213242705973147,-0.0938307075153789,-0.0243579399295805,0.0390113378909771,0.188371559807915,1.00479834010393,407,1,0.592
"beta4[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta4[2]",-0.527225526553543,0.233232027800947,-0.975379939948829,-0.692167017507658,-0.532391237293322,-0.370210711913347,-0.0707207437104387,1.00503963122407,357,0,0.99
"beta5[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta5[2]",0.0478221104049694,0.179934001037534,-0.309947843261532,-0.0755507980704205,0.0508276119306167,0.168818015431532,0.395527345144199,1.00056170203155,1500,1,0.605333333333333
"eps2[1]",0,0,0,0,0,0,0,NA,1,1,1
"eps2[2]",-0.0562383013752798,0.246300423243202,-0.530909189301378,-0.228312730765271,-0.0622202688318863,0.104268376302013,0.440264565972443,1.00118248293265,1500,1,0.598
"eps2[3]",0.207196312693303,0.259105356843337,-0.259208536849934,0.0241048632316735,0.192471499855325,0.37229067127117,0.767708858935293,1.00064547110465,1285,1,0.787333333333333
"eps2[4]",0.474465631157199,0.261371082930516,0.0131092959980021,0.285827038062348,0.468604236796777,0.642669413411901,1.01911165552139,1.00402096830199,415,0,0.978666666666667
"eps2[5]",0.374581643690519,0.29019153998415,-0.141996886182645,0.177773009300274,0.351843462785611,0.545827214515816,1.01098854234586,1.0005060873104,1500,1,0.920666666666667
"eps2[6]",-0.122217619028563,0.268817495605259,-0.682706611455397,-0.291090350220556,-0.110933119648463,0.0449333966130859,0.412966489183692,1.00126332758164,1500,1,0.675333333333333
"eps2[7]",-0.307048054923004,0.256924209728139,-0.813117276575886,-0.474285133278426,-0.301921419746554,-0.126132736159086,0.172159761063374,1.00159279683045,1034,1,0.895333333333333
"eps2[8]",-0.374323027741309,0.301565094880602,-0.988359250215181,-0.569348038014859,-0.355573740030681,-0.16231509365767,0.153911450351669,0.999549750138373,1500,1,0.908
"eps2[9]",-0.188365468516806,0.319451583906277,-0.843775991291963,-0.392130029505887,-0.167581379934547,0.0196727781193223,0.399559507859886,1.00214283873082,1348,1,0.726
"eps2[10]",-0.317299948816757,0.346703396263177,-1.03718391382386,-0.54213273438794,-0.302293680366831,-0.070217045059569,0.278172195678594,1.00016569298907,1500,1,0.817333333333333
"eps2[11]",0.207106443452247,0.403132617872801,-0.541614001116821,-0.0441508489949688,0.183172809910689,0.429847893585778,1.10591067602907,1.00058520794149,1500,1,0.693333333333333
"eps2[12]",0.0381104326875215,0.432103854949094,-0.756469543697011,-0.221331250954951,0.00779536514982829,0.257626493735574,1.00339456807967,1.00134307992209,1500,1,0.508666666666667
"eps2[13]",-0.305871940951318,0.435019033920108,-1.30751218219271,-0.559984064578766,-0.255131579794662,-0.0150146387504502,0.453187418132084,0.999542880474178,1500,1,0.767333333333333
"eps2[14]",0.0112188783062159,0.45441804227133,-0.899957545770437,-0.245126640667014,-0.00541403879341429,0.258926072218575,0.988247012687819,1.00105945476904,1500,1,0.491333333333333
"eps2[15]",0.017994919743257,0.504346078360328,-0.97519511385098,-0.250928643143391,0.00556745049392,0.272603693322471,1.05869854264421,1.00261237882154,594,1,0.507333333333333
"surv_diff[1,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[50,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[100,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[1,2]",0.0114612180484072,0.00650269232436375,7.40436976103905e-05,0.00696155136152404,0.0108842854359759,0.0153232211929833,0.0263459593910248,1.00333314290809,614,0,0.975333333333333
"surv_diff[50,2]",-0.0480163888519914,0.0392922962950383,-0.125632702399734,-0.0742902042228799,-0.0458441958833813,-0.0216292340205843,0.0266080156036619,1.00198857862785,920,1,0.899333333333333
"surv_diff[100,2]",-0.152958354824366,0.0846629494569512,-0.350516315968018,-0.202348038029111,-0.141641795894294,-0.0962453432811212,-0.0105326244779211,1.00206327700807,1500,0,0.986
"survival[1,1]",0.977775114231757,0.00694498209922258,0.961814067126917,0.973690310070981,0.978814526324188,0.98270230979282,0.988706783563011,1.00365502251173,1049,0,1
"survival[2,1]",0.976672008896645,0.00714002134929151,0.960416614111989,0.97244014532308,0.977694619414697,0.98173575177601,0.987975246086732,1.00378947453496,1028,0,1
"survival[3,1]",0.975514260105547,0.00733901121992537,0.958892232589164,0.971120194416418,0.976582922185879,0.980709137589033,0.98718663024353,1.00392927821088,1007,0,1
"survival[4,1]",0.974299240831021,0.0075420011743053,0.957118757879655,0.969801516266011,0.975382562635853,0.979628968475215,0.986365759438763,1.00407439774841,988,0,1
"survival[5,1]",0.973024209609175,0.00774905202891302,0.955410076926842,0.968376492575162,0.974114277310207,0.978477412984978,0.985460436743949,1.00422473824014,970,0,1
"survival[6,1]",0.971686307024516,0.00796023891169745,0.953494356578283,0.966871655357548,0.972771454945327,0.977301428915231,0.98446130843045,1.0043801324178,953,0,1
"survival[7,1]",0.970282552270572,0.00817565468454129,0.951690951618181,0.965276542270056,0.971330690239068,0.975997813469833,0.983435804601276,1.00454032539591,937,0,1
"survival[8,1]",0.968809839815425,0.00839541387792634,0.94968925060034,0.963687580519223,0.969865363510386,0.974647934096414,0.982350838338925,1.00470495727813,921,0,1
"survival[9,1]",0.967264936204916,0.00861965718616602,0.947673676289562,0.962046656445751,0.968322432555287,0.973230809939746,0.981204873417442,1.00487354355807,907,0,1
"survival[10,1]",0.965644477040143,0.00884855657059651,0.945796561363232,0.960242196608037,0.966674135463699,0.971849559321757,0.980019406002604,1.00504545333726,894,0,1
"survival[11,1]",0.963944964170036,0.00908232101520639,0.943696244132147,0.958462689336636,0.965028252462016,0.970335171165657,0.978786745780682,1.00521988551687,882,0,1
"survival[12,1]",0.962162763144274,0.00932120297375865,0.941675908197221,0.956440888666111,0.96324228863058,0.968737125591987,0.977510740558627,1.00539584329869,872,0,1
"survival[13,1]",0.960294100976546,0.00956550553884341,0.939355360148773,0.954402457564983,0.961397435041683,0.967034344737858,0.976093712332561,1.00557210757857,862,0,1
"survival[14,1]",0.958335064273192,0.00981559035073075,0.93694017165016,0.952263707483971,0.959479150911456,0.965267005456617,0.974649215266586,1.00574721012769,854,0,1
"survival[15,1]",0.956281597787563,0.0100718862465394,0.934516971193439,0.950064651901028,0.957383242425719,0.963506927075775,0.973094439419322,1.00591940784452,847,0,1
"survival[16,1]",0.954129503465979,0.0103348986272337,0.931812763806533,0.947661066176018,0.955258894780648,0.961509539405205,0.971466314307524,1.00608665982948,841,0,1
"survival[17,1]",0.951874440056891,0.010605219490473,0.929064945441958,0.945243158202344,0.952949651880142,0.95934697171935,0.969741830955911,1.00624660955848,837,0,1
"survival[18,1]",0.949511923360777,0.0108835380406415,0.926318633598581,0.942805116683271,0.950509555120298,0.957180456660821,0.967936474210327,1.00639657500466,834,0,1
"survival[19,1]",0.947037327204279,0.0111706517430101,0.923383737367344,0.940197518499255,0.948033374939535,0.954898431682784,0.966082856965862,1.00653355011755,834,0,1
"survival[20,1]",0.944445885228136,0.0114674776368399,0.920255824593571,0.937484222221529,0.945447674645777,0.952447824681835,0.964141589779857,1.0066542215535,835,0,1
"survival[21,1]",0.941732693584397,0.0117750636628575,0.91662094167781,0.934595089291608,0.942726194275767,0.949916598516043,0.962045308768934,1.00675500485489,838,0,1
"survival[22,1]",0.938892714644188,0.0120945996952517,0.913050443606751,0.931557340311503,0.939874845912954,0.947340944747696,0.959885208656459,1.00683210426607,843,0,1
"survival[23,1]",0.935920781822745,0.0124274278995422,0.909260898352483,0.928276540518888,0.936821069375885,0.944595032299297,0.957544779891015,1.00688159990103,851,0,1
"survival[24,1]",0.932811605633417,0.0127750519689698,0.905319253122345,0.925161898188113,0.933704996439905,0.941690397802875,0.955042567404961,1.00689956487267,862,0,1
"survival[25,1]",0.929559781086651,0.0131391447284132,0.901100910947745,0.921747654858802,0.930486197461008,0.938684076946164,0.952444272429624,1.00688221312525,876,0,1
"survival[26,1]",0.926159796553424,0.0135215535424979,0.896740032645479,0.917988610000043,0.927093775890231,0.935529159010421,0.949758206433288,1.00682607599747,893,0,1
