"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.47202107996567,0.232365469543504,2.02815439688449,2.31944166328322,2.46460519706219,2.61208978238431,2.94927744324922,1.0024660205705,600,0,1
"beta1",-0.819094499115429,0.200666436035774,-1.20236000232526,-0.950073582543506,-0.813383014936748,-0.687800313001565,-0.421661711039458,1.00264658769153,508,0,1
"beta2",0.254818410075617,0.0470346809162157,0.17517932873106,0.222632810500999,0.248721238044256,0.285115861866868,0.354482324874734,1.00894139868986,233,0,1
"beta3",-0.197730156343077,0.165919392706449,-0.515994860780698,-0.309054812528775,-0.20820369606804,-0.0923324334541391,0.146457943756473,1.00329380760168,590,1,0.885
"beta4[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta4[2]",-0.728701702361576,0.291922916302314,-1.34066349970342,-0.92082537913421,-0.721957518116601,-0.516893226486721,-0.189453587802541,1.00523419425708,289,0,1
"beta4[3]",0.0662956304366817,0.29052686930582,-0.508311090292409,-0.122328432323212,0.0812390794145367,0.267511096287619,0.605272672521332,1.00235744554822,600,1,0.595
"beta5[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta5[2]",0.0684691965259388,0.27525546486351,-0.467471210021511,-0.125073953493203,0.0731001672271531,0.250678406015228,0.616572074004842,1.00109111849602,600,1,0.61
"beta5[3]",-0.0392090621127413,0.268152788879898,-0.570398612944834,-0.218930803711946,-0.0485214450105367,0.135400709756096,0.479738888935122,0.999167289965195,600,1,0.568333333333333
"eps2[1]",-0.00787501124924805,0.346268955654778,-0.750832826686397,-0.120331331391013,-0.00263761647897894,0.117720943948611,0.65953455244564,1.01486685367967,600,1,0.521666666666667
"eps2[2]",0.233003916438279,0.278653030605086,-0.119465593418245,0.0264814088233818,0.16220535346524,0.368649033594357,0.879770421509183,1.00534214711612,424,1,0.841666666666667
"eps2[3]",-0.0305855981247735,0.1971263625396,-0.443712537592174,-0.119235023452715,-0.0154808083762101,0.0543693443288375,0.433348173648116,1.00299699626066,600,1,0.571666666666667
