"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.46140704133776,0.235978634705249,2.02775955834602,2.31058090200546,2.45065892642928,2.60520436662716,2.96136914001178,0.999962530060465,2400,0,1
"beta1",-0.812010989686444,0.206506493450371,-1.23966110371363,-0.950856809439327,-0.807201536203376,-0.665365196548066,-0.425718601377542,1.00107362635717,2400,0,1
"beta2",0.257053032693955,0.0475531087930421,0.171105373851153,0.224908338206149,0.253824177111177,0.285725488743586,0.358736100311192,0.999796781078003,2400,0,1
"beta3",-0.195003173018515,0.167172068496164,-0.505931398501862,-0.307613246277464,-0.200337265015128,-0.0950530153331648,0.155747944771183,0.999797621765331,2400,1,0.88
"beta4[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta4[2]",-0.732919436372929,0.285419081454271,-1.31669774485604,-0.919753498690982,-0.723032353135944,-0.539729469135068,-0.196990957532789,1.00044265025021,2400,0,0.995416666666667
"beta4[3]",0.075263350045541,0.293793329949204,-0.502406055987351,-0.115013487193827,0.0636701775736512,0.27131189804375,0.650588987132622,0.99966704572978,2400,1,0.58875
"beta5[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta5[2]",0.0714487101573195,0.262102644195433,-0.441207557446939,-0.105479223182613,0.0738272538941817,0.250752448568151,0.57591016669332,1.00093530236698,2400,1,0.612916666666667
"beta5[3]",-0.0166727956841926,0.271201077586674,-0.539980814408231,-0.198356517550862,-0.0122451123921445,0.165482669515055,0.50645972982755,0.999928472464394,2400,1,0.521666666666667
"eps2[1]",0.00636898105847773,0.339171859617866,-0.72969136485751,-0.118671180717968,0.00143605158890752,0.12836740060812,0.686020865736615,1.00071143149867,2400,1,0.514166666666667
"eps2[2]",0.24585843272959,0.295909039376801,-0.138029560856665,0.0184610893398291,0.177069217762711,0.391596759982941,0.973477038137427,1.00183440782422,885,1,0.822916666666667
