"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.85425076080067,0.340648131371451,3.22834308690928,3.62369708541942,3.83778808747076,4.07660985033342,4.54982547125532,1.00210640810508,872,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta1[2]",-0.466111665735827,0.393167738171672,-1.26753810132166,-0.729808072135863,-0.461606169760627,-0.192166543074541,0.268320710517634,1.0026658691389,868,1,0.888333333333333
"beta1[3]",-0.420440221273359,0.411716083920548,-1.22021601841702,-0.695386505781171,-0.41932159176191,-0.158657923861425,0.385574460948864,1.00166618822301,1200,1,0.850833333333333
"beta1[4]",-1.07331142328887,0.369000691413473,-1.82503385322229,-1.32753269567034,-1.06658315912146,-0.808203985534253,-0.371663389466275,1.00040442313454,1200,0,0.999166666666667
"beta1[5]",-0.634136322370895,0.431678909459215,-1.49957185149175,-0.925872469614908,-0.620623654097691,-0.350552115476245,0.230800276578937,1.00021992547727,1200,1,0.926666666666667
"beta1[6]",-1.29866664831664,0.42659257654475,-2.12129693296939,-1.57853306859166,-1.2888238591799,-1.01721087681632,-0.486172176594151,1.00202572114998,1200,0,0.999166666666667
"beta1[7]",-2.53706093741585,0.372247136417592,-3.27793145612999,-2.77665377982645,-2.52751910756258,-2.28295089244281,-1.83846244600931,1.00277540931708,750,0,1
"beta1[8]",-2.23247416619665,0.441446969010221,-3.1123146685158,-2.50433141726242,-2.23789075736859,-1.9445379482624,-1.37864072420815,0.999435716713165,1200,0,1
"beta1[9]",-2.88558045339513,0.439628197335089,-3.76030605742898,-3.19303357551306,-2.87594006856924,-2.57951953584857,-2.06641433183972,1.00302522811599,829,0,1
"beta1[10]",-3.7518402213439,0.476281306264295,-4.70104313970383,-4.0771687984358,-3.7520972813326,-3.41454096159611,-2.85640346765242,1.0023890264477,896,0,1
"beta1[11]",-4.74866838821709,0.641416945785681,-6.05210618329133,-5.16548989451584,-4.73188025785128,-4.33520941963197,-3.54758352473569,0.999141918832221,1200,0,1
"beta1[12]",-11.5909317634616,5.41801390162584,-24.3010176854293,-15.0248490830071,-10.4913168109596,-7.48829839075661,-4.02880144011105,1.00249377674993,1200,0,1
"beta1[13]",-0.155418614783943,9.80876191908783,-20.0685888245212,-6.70343235978969,-0.420685135430882,6.63451402556727,19.2398967263568,1.00027394601612,1200,1,0.521666666666667
"beta1[14]",-0.0334186449752663,10.1808867985876,-19.1158341252129,-7.45866170092396,-0.0921129810919075,7.07519911235711,19.8654662195156,0.999972334847192,1200,1,0.503333333333333
"beta1[15]",0.556130423244288,9.91783868105582,-19.2281965194162,-6.006261612538,0.262966835621212,7.12692983533823,19.9856722977077,1.00009947127478,1200,1,0.513333333333333
"beta2[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta2[2]",-0.104708619410972,0.163507563600816,-0.431737043830258,-0.211286925866876,-0.107921124342343,0.000356542870239229,0.215364034030473,1.00172817298578,1200,1,0.746666666666667
"beta3",0.055379583126112,0.104025935784342,-0.143773742352018,-0.0199387630131191,0.0571141637433813,0.124760746348467,0.259057784843814,1.00309223877765,670,1,0.6875
"beta4",0.188902986510073,0.0323541967403798,0.125283892066145,0.166589870560588,0.187404992181121,0.210984648251699,0.25390787547273,0.998941334761321,1200,0,1
"eps1[1]",0,0,0,0,0,0,0,NA,1,1,1
"eps1[2]",-0.151049983452882,0.249471586852041,-0.661125436059851,-0.317771451391406,-0.144987521753684,0.0174415175226358,0.325091268137283,1.00174477921033,1200,1,0.731666666666667
"eps1[3]",0.212398962268228,0.260523106553649,-0.275589499111981,0.0312007605681465,0.196456719721927,0.371365772075463,0.776200841594594,1.00297011453118,608,1,0.800833333333333
"eps1[4]",0.532046014814876,0.270321505475528,0.0472320045733304,0.346975148458559,0.520280850242517,0.70439573217058,1.1174841128049,1.00015031483127,1200,0,0.988333333333333
