"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta1",-1.57188570532979,0.145850413514346,-1.86187820632185,-1.66614138239004,-1.56727822664906,-1.4688159595486,-1.29010039683732,1.00220436123849,671,0,1
"beta2",0.0626534294102323,0.0518236950222567,0.000597784725566977,0.015720595962273,0.0539653682305154,0.0996359365906185,0.177555259092199,1.00072403825174,1500,0,1
"beta3",-0.0409079186540801,0.115774350846669,-0.266166172825502,-0.120432516897952,-0.0393886612333144,0.0384309629700985,0.178205463577305,1.00171501961939,880,1,0.636
"beta4[1]",0.135830287400514,0.0711984441092009,0.00931418081307388,0.0826226106388956,0.139270354699761,0.186444943169008,0.267926506332482,1.00350039313808,609,0,1
"beta4[2]",0.0417674858655952,0.0423539797810013,0.000335123034776713,0.00760123558848043,0.0270072854951255,0.0657327760745913,0.148675353402915,1.0011894274343,1004,0,1
"beta5[1]",2.08207659034991,0.204863207468739,1.66816602872983,1.95375678240355,2.07393147959714,2.21358233428371,2.49063852408819,1.0011197325324,1500,0,1
"beta5[2]",2.09601044064399,0.200314282044387,1.70071734927874,1.96652349966671,2.09544174848633,2.21221622551803,2.51774733803426,1.00270147725536,676,0,1
"eps2[1]",0.121611038454773,0.311770931734771,-0.454603472363847,-0.0792706688850784,0.105500409071045,0.313767415657796,0.784838981543123,0.999934871858411,1500,1,0.644666666666667
"eps2[2]",-0.0776277444840901,0.25740626357751,-0.570530246219937,-0.243837972338008,-0.085010410469568,0.0745702632803337,0.443454966291514,1.00058217452712,1500,1,0.630666666666667
"eps2[3]",0.188049708682144,0.26840118898732,-0.315431516619664,0.0145925405544878,0.171924645841253,0.344052295544739,0.795602541602141,0.9993785533696,1500,1,0.775333333333333
"eps2[4]",0.495707436546647,0.27945634318081,0.00493603441030324,0.291232669447574,0.478609872472716,0.669014509567162,1.09400397940314,0.999989967564809,1500,0,0.976
"eps2[5]",0.413616195650757,0.285883205305263,-0.0779123897774589,0.220904093678285,0.384808004766398,0.588705054096157,1.02853569915725,1.00065940836619,1500,1,0.949333333333333
"eps2[6]",-0.125925923514819,0.262513680714091,-0.688426419860753,-0.279096674123046,-0.12529679300548,0.039707593682986,0.380264038722817,1.00236236642123,1259,1,0.689333333333333
"eps2[7]",-0.277842205407111,0.278577694289396,-0.877091451043992,-0.449027873744319,-0.266608623264995,-0.0884456711744867,0.246669062079337,1.00301008641578,586,1,0.842666666666667
"eps2[8]",-0.370206881002767,0.292692034867444,-0.982148425236695,-0.561381846881332,-0.357745236948501,-0.163609864659809,0.161468929895256,1.00033978150985,1500,1,0.909333333333333
"eps2[9]",-0.148778644965176,0.323789086117371,-0.803232273776993,-0.358312504180875,-0.131336198002448,0.0626026171075233,0.471084218105242,1.00262768221605,714,1,0.671333333333333
"eps2[10]",-0.291879589135982,0.340676942790856,-1.04008883751358,-0.508774869088099,-0.269686829603365,-0.0575267276328011,0.33461925738308,1.00014137306404,1500,1,0.803333333333333
"eps2[11]",0.22486805061866,0.406772020206618,-0.47925014136921,-0.0434637763664943,0.175187856490207,0.454006688423935,1.20013722493281,0.999215513503447,1500,1,0.704666666666667
"eps2[12]",0.0464650278459211,0.420607853155312,-0.759212995959767,-0.213588725692999,0.0310512376247147,0.293999772754998,0.915812031472526,1.0031554869629,1078,1,0.535333333333333
"eps2[13]",-0.269324684624958,0.422616243251454,-1.24655314483049,-0.509775033707498,-0.23098547494881,0.00223720355887255,0.489116091043885,1.00027885598975,1500,1,0.746
"eps2[14]",-0.0242898805123025,0.471913857955242,-0.975361813447414,-0.301142248311539,-0.0234602473231793,0.243825702965785,0.982665252173316,1.00280869222919,1239,1,0.526666666666667
"eps2[15]",0.00969045489674187,0.495216048496756,-1.02851126974439,-0.251253706892689,-0.00459746136352451,0.258759468477548,1.07088254466492,0.999834837198266,1500,1,0.494666666666667
"surv_diff[1,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[50,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[100,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[1,2]",0.0377658302506774,0.0304631583106463,-0.0164097999543939,0.0164186419188508,0.0366264717391153,0.0565061004476623,0.103112345416402,1.00054905730747,1500,1,0.893333333333333
"surv_diff[50,2]",0.0032412982838118,0.0182547354126572,-0.0332484486256988,-0.00884445581049731,0.00330970457486929,0.0149741735446131,0.0387951139577273,0.999703454847946,1500,1,0.574
"surv_diff[100,2]",-0.0161521665344027,0.0213401706370495,-0.0587974681097915,-0.0300808466491846,-0.0157319606513606,-0.00202141720320431,0.0242280659037314,1.0023033302939,628,1,0.781333333333333
"survival[1,1]",0.818403913273329,0.0330108984590005,0.743687421755718,0.800536030562756,0.822222475025335,0.839177676172909,0.875786684644256,1.00312317137682,678,0,1
"survival[2,1]",0.82000113294543,0.0326057389507492,0.74562918545718,0.802459238843711,0.823669797323497,0.840499334020099,0.876679893020292,1.00315303583514,683,0,1
"survival[3,1]",0.821586986425399,0.032207630258857,0.748292346597394,0.804222098458636,0.8251520166298,0.841766375574413,0.877654567196934,1.00318225978341,687,0,1
"survival[4,1]",0.823161489017675,0.0318165780029477,0.75090990780154,0.805959329359769,0.826502565064907,0.843036381551255,0.878588081635549,1.00321072817431,692,0,1
"survival[5,1]",0.824724657519535,0.0314325846785435,0.753009743073881,0.807598487848012,0.828202896442598,0.844392155388163,0.879467624798706,1.00323832205692,697,0,1
"survival[6,1]",0.826276510194316,0.0310556496194946,0.75485318294071,0.809159040782295,0.82964525140914,0.845913207485871,0.880341638469795,1.00326491891203,703,0,1
"survival[7,1]",0.827817066744442,0.0306857689615375,0.756687304472347,0.810830803378792,0.831229879511907,0.847282749258368,0.881223920147775,1.00329039303868,709,0,1
"survival[8,1]",0.829346348284281,0.0303229356072682,0.758932082276396,0.81253100608892,0.832778259689824,0.848663557338909,0.88228360754476,1.00331461599305,715,0,1
"survival[9,1]",0.830864377312844,0.0299671391928363,0.761200472208319,0.814402842301605,0.834205521629533,0.849767532027719,0.883347380289275,1.00333745707973,722,0,1
"survival[10,1]",0.832371177686367,0.0296183660566844,0.76373725915656,0.816120424463617,0.835571798573799,0.851003790643214,0.884449547947622,1.00335878389528,729,0,1
"survival[11,1]",0.833866774590776,0.0292765992106754,0.766877753193667,0.818085778217536,0.836946618925603,0.85238024819802,0.885496427593133,1.00337846292291,737,0,1
"survival[12,1]",0.835351194514073,0.0289418183139624,0.769775340249958,0.81942240619612,0.838273624988309,0.853515306641289,0.886495213798289,1.00339636017651,745,0,1
"survival[13,1]",0.836824465218656,0.0286139996499712,0.772736489518166,0.820738530485937,0.839628303757017,0.854914667586442,0.887387344501495,1.00341234189166,754,0,1
"survival[14,1]",0.838286615713592,0.0282931161068733,0.775081265020839,0.822371946467166,0.84096043534839,0.856212908594364,0.888160090042372,1.00342627525996,763,0,1
"survival[15,1]",0.839737676226868,0.027979137161935,0.777320606430574,0.824110531925043,0.84235635650782,0.857507884356965,0.889066120800367,1.00343802920274,772,0,1
"survival[16,1]",0.841177678177638,0.0276720288701306,0.779726705448575,0.825711387679394,0.843825756832726,0.858768605180716,0.890059363346586,1.00344747517891,782,0,1
"survival[17,1]",0.84260665414848,0.0273717538574068,0.78208541204799,0.82739999173094,0.845343563248181,0.860194977102411,0.891014171567825,1.00345448802103,793,0,1
"survival[18,1]",0.844024637857688,0.0270782713189842,0.784214935702996,0.829018505236671,0.846874566593844,0.861196923121715,0.891901707617648,1.00345894679302,805,0,1
"survival[19,1]",0.84543166413161,0.0267915370230673,0.786184936511733,0.830632998594105,0.84814041416926,0.862397645430112,0.892742218807812,1.00346073566172,817,0,1
"survival[20,1]",0.84682776887706,0.0265115033203274,0.788096768008656,0.832106908113478,0.849500193601831,0.863637872686517,0.893646763095074,1.00345974477444,829,0,1
"survival[21,1]",0.848212989053806,0.0262381191595015,0.790158363733163,0.833602039856471,0.850808704363904,0.864926522442991,0.894544575071301,1.00345587113331,843,0,1
"survival[22,1]",0.849587362647162,0.0259713301094287,0.792017414118988,0.83485834784932,0.851996283520446,0.866017674974779,0.895417205870218,1.0034490194574,857,0,1
"survival[23,1]",0.850950928640693,0.0257110783878205,0.79401584351545,0.836130548720556,0.85336970584952,0.867166456143248,0.896251840918546,1.0034391030226,872,0,1
"survival[24,1]",0.852303726989055,0.0254573028970269,0.795997911234932,0.837453437395096,0.854629132971548,0.868436724471651,0.897213649173625,1.00342604446946,888,0,1
"survival[25,1]",0.853645798590974,0.0252099392670279,0.797988075448228,0.838960402651169,0.85597203325842,0.869606828709437,0.898069199803322,1.00340977656885,905,0,1
"survival[26,1]",0.854977185262391,0.0249689199058386,0.799647953429807,0.840578908038502,0.857308463652958,0.870752922662266,0.898933875818002,1.00339024293539,923,0,1
"survival[27,1]",0.856297929709772,0.0247341740574702,0.801196468295796,0.842300389257793,0.85844756916321,0.87204987376953,0.899689163688892,1.00336739867902,941,0,1
"survival[28,1]",0.85760807550361,0.024505627867546,0.802923561465114,0.84384508392089,0.859730565846955,0.873235045443766,0.900819118108241,1.00334121098531,961,0,1
"survival[29,1]",0.858907667052118,0.0242832044566186,0.805111509521976,0.845542356281537,0.860935201395219,0.874436628808417,0.901769016794744,1.00331165961573,982,0,1
"survival[30,1]",0.860196749575142,0.0240668240011811,0.807122928574486,0.846784344625919,0.862180550046162,0.875656514184953,0.902711620583325,1.00327873732031,1004,0,1
"survival[31,1]",0.861475369078281,0.0238564038223121,0.80862251382889,0.84831100389074,0.863374063826342,0.876831291282523,0.903545673345273,1.00324245015528,1028,0,1
"survival[32,1]",0.862743572327252,0.0236518584818379,0.810492736086252,0.849725148188432,0.864683568002229,0.878121215495441,0.904373827394329,1.00320281770034,1053,0,1
"survival[33,1]",0.864001406822484,0.0234530998858366,0.812145205190547,0.850875326669482,0.865792063297637,0.879101785745287,0.905355725457436,1.00315987317057,1079,0,1
"survival[34,1]",0.865248920773977,0.0232600373952551,0.813713629540382,0.851999114163369,0.866947019441693,0.880217774560135,0.90620110501597,1.00311366342008,1107,0,1
"survival[35,1]",0.866486163076408,0.0230725779433521,0.81544322740123,0.853617776890005,0.86806119252321,0.881437121656892,0.907107496434092,1.00306424883557,1136,0,1
"survival[36,1]",0.867713183284515,0.0228906261596268,0.817151218894043,0.854929486237407,0.869264598298565,0.882504327757974,0.908028169986874,1.00301170311934,1167,0,1
"survival[37,1]",0.868930031588755,0.0227140844998407,0.818527391540919,0.856288984959698,0.87046809363242,0.883516943521595,0.908837409490161,1.00295611296344,1200,0,1
"survival[38,1]",0.87013675879125,0.0225428533816917,0.819931524148812,0.85752872468272,0.871518817470242,0.884517277279414,0.909593070155108,1.00289757761733,1235,0,1
