"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"eps1[1]",2.17762416257393,0.330982581048395,1.55845180392492,1.95988405638397,2.16908822098855,2.38151523947423,2.84971229866065,1.00467216549132,360,0,1
"eps1[2]",2.16558295977344,0.3147247097859,1.5327491318802,1.96268991637648,2.16429912613903,2.36806323262195,2.77342814994222,1.00324420396347,507,0,1
"eps1[3]",2.2811054664697,0.346736187982157,1.60826873318173,2.05769869841123,2.2762287225437,2.50511197731157,2.98728218118163,1.00626374438226,315,0,1
"beta1",-1.03601565781287,0.143718027140273,-1.32379225945879,-1.12696989442356,-1.03271314749296,-0.937578159616846,-0.767723075021957,0.999053879722543,1500,0,1
"beta2",0.0968247302315516,0.0696564280661666,0.00132844322050019,0.0339800777867853,0.0932698741456224,0.149788693277752,0.234991806128011,1.00659642400377,314,0,1
"beta3",-0.114664117633548,0.189901730288138,-0.490335186777928,-0.245956860037184,-0.11236897995914,0.013988449122453,0.264910196777308,1.00030470401265,1500,1,0.724
"beta4[1]",0.13501218940855,0.0914530749687401,0.00195381217578252,0.0580146283937135,0.128737177681833,0.200802945115342,0.327547501584597,1.00473331065694,371,0,1
"beta4[2]",0.0432337075741804,0.0491521993134103,0.000231072290519002,0.00642529393288022,0.0243550797266352,0.0646862792180288,0.177696918971096,1.00329394453429,1018,0,1
"beta4[3]",0.253887765068342,0.112719139237513,0.0413790172346079,0.177330400952661,0.250752013314282,0.325706515618935,0.47979439357395,1.00235799371514,718,0,1
"eps2[1]",-0.00327707808463717,0.711972027744091,-1.40481736042404,-0.444954759715422,0.00912974979039869,0.431595402313367,1.43374661882435,1.00316912763073,499,1,0.494666666666667
"eps2[2]",0.736358243939757,0.389348797200329,0.00292522281069135,0.481863799665108,0.72882376027622,0.980916325805975,1.51473854637614,1.01544912594822,131,0,0.975333333333333
"eps2[3]",0.168648855210833,0.361601313350741,-0.543276394158834,-0.0660380318356523,0.161870042934063,0.395648746942993,0.921670489376396,1.0047354686082,356,1,0.682
"eps2[4]",-0.0222962572815761,0.360402986999205,-0.72702450881805,-0.258285092580877,-0.0249806977982338,0.200897128963219,0.698244690345561,1.00267461062699,588,1,0.535333333333333
