"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.3854963066174,0.272939251360691,1.86557898131824,2.20192997455801,2.38023893338408,2.56398001196933,2.93834346258083,1.00513666191973,355,0,1
"beta1",-1.58892831218251,0.150095914955033,-1.88117044979724,-1.68819376337408,-1.58839434009018,-1.48906845085355,-1.29468071860999,0.99944556452257,1200,0,1
"beta2",0.168003750348589,0.0383900545807448,0.091633759895236,0.143350861428312,0.165908259566026,0.193009225290336,0.24475555390522,1.00251518050276,618,0,1
"beta3[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta3[2]",-0.50475218659158,0.306636287491477,-1.09573900686609,-0.715487597352867,-0.50601258991079,-0.310692812399372,0.116387490671152,1.00729118598982,255,1,0.950833333333333
"beta3[3]",-0.2217384405539,0.352366864187939,-0.92549573313384,-0.45849575878901,-0.2287701875422,0.0214420358899979,0.437707983599465,1.00292033457682,1095,1,0.7325
"beta4[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta4[2]",0.0260507553215411,0.210658848512035,-0.380321512031572,-0.114175962987689,0.0290482818106476,0.168923156326913,0.414365238548939,1.01336783311488,294,1,0.556666666666667
"beta4[3]",-0.0135837313329421,3.14938582233192,-6.05536798355361,-1.9756644279109,0.0173863868957938,1.97001551968934,6.36968990012569,1.00184113943748,831,1,0.4975
"beta5[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta5[2]",-0.136227062047765,0.454826515896201,-0.980063398743757,-0.438117794090354,-0.143796856941592,0.161506642683593,0.770462670538968,1.01740497666828,183,1,0.620833333333333
"eps2[1]",0,0,0,0,0,0,0,NA,1,1,1
"eps2[2]",-0.0347056208119677,0.236676617646396,-0.513504570525648,-0.188220262997867,-0.0251562888209492,0.106447403841096,0.440846693557613,1.00067957740286,1047,1,0.5525
"eps2[3]",0.132738672661146,0.238200404224075,-0.30034529784464,-0.02654718222129,0.119219765252579,0.28171793253872,0.648779278959653,1.00010682634299,1200,1,0.703333333333333
"eps2[4]",0.416346030044188,0.280983190635304,-0.0402678829339916,0.208222502268051,0.400664773233366,0.607891142205979,1.01241919277735,1.00133054503186,990,1,0.950833333333333
"eps2[5]",0.25322906541849,0.256631623329542,-0.201338993070154,0.0766201177182271,0.22699708098344,0.420357376946084,0.80239957834604,1.00079989782154,1200,1,0.849166666666667
"eps2[6]",-0.230156069180438,0.256454811310177,-0.764621111884987,-0.395245069049107,-0.202093382839193,-0.0550805023051716,0.224588298821162,1.00158470377971,1200,1,0.828333333333333
"eps2[7]",-0.179952263580135,0.259321223560755,-0.7480908639001,-0.332422028997318,-0.160565875190792,-0.0052325113074095,0.274325272864603,1.00318683973204,540,1,0.761666666666667
"eps2[8]",-0.165963106747995,0.280664369114565,-0.764268936152526,-0.348742786839583,-0.130188098672227,0.0159657522502113,0.343064800947772,1.0047283231927,557,1,0.718333333333333
"eps2[9]",-0.114192086480919,0.277420860778224,-0.68196262983096,-0.290990270011612,-0.0989113918870041,0.0468886113116875,0.420545739616675,1.00053258894757,1200,1,0.673333333333333
"eps2[10]",-0.246125204695321,0.318748296386653,-0.94270459755289,-0.442105954300275,-0.211705404902213,-0.0256795039938726,0.336059874287957,0.998851860781204,1200,1,0.785
"eps2[11]",0.230301892673635,0.375061439195597,-0.409126305590777,-0.0182266946847929,0.162971062777812,0.439865430100343,1.07388592585677,1.00240325805851,1200,1,0.7275
"eps2[12]",0.0366874076225025,0.372647362678441,-0.729826827020202,-0.176837830675882,0.0143142331321607,0.215255745049456,0.834211878785059,1.00469975000163,1200,1,0.521666666666667
"eps2[13]",-0.276519452687307,0.417386931822265,-1.20714113234718,-0.505376065343355,-0.211024012669144,-0.0160205326671533,0.451474450391932,1.00011566304981,1200,1,0.768333333333333
"eps2[14]",-0.0376051347305308,0.403026961903781,-0.828057589534728,-0.257968278177243,-0.0324700319894156,0.176740607896114,0.784141579893914,1.00162648556595,1200,1,0.553333333333333
"eps2[15]",0.000331755779488694,0.412419787533915,-0.848656571762322,-0.206775121285837,-0.00769499134914681,0.221937323712006,0.860001969458877,1.00125268512289,1200,1,0.488333333333333
"survival[1,1]",0.913329878113677,0.0216273461522189,0.865945823156258,0.900422688832667,0.915307938081262,0.928507106812626,0.949709600614265,1.00412089086087,384,0,1
"survival[2,1]",0.865330181683929,0.0273126977357086,0.804865430721305,0.849582054091339,0.866131050934728,0.884069597988996,0.917418249529999,1.00262462740644,951,0,1
"survival[3,1]",0.89509899049904,0.0211130147872633,0.851199634852212,0.88214504675233,0.896689061226129,0.909858004594465,0.931677310867691,1.00036710123217,1200,0,1
"survival[1,2]",0.905111881813477,0.0192571380387566,0.865166128079268,0.893845268880405,0.906640742490016,0.918224693555117,0.938359063912202,1.0012318901983,817,0,1
"survival[2,2]",0.854879958569483,0.0314094942966451,0.783115346457864,0.836053800999467,0.856372499826122,0.875502423099697,0.913481427350723,1.00789114886524,270,0,1
"survival[3,2]",0.889388812694745,0.0230273368396936,0.839164535904539,0.874865057849037,0.891571135023697,0.905533189215281,0.928566305157845,1.00121457912292,1126,0,1
"deviance",764.502535063054,35.3875512803217,697.313674521575,740.350369940818,764.738642627327,789.01624151989,838.947039856355,1.00569689161966,1200,0,1
