"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.92155716946715,0.361274336813867,2.28757269916584,2.66629914189545,2.90168404615909,3.13970838881771,3.70738661035373,1.02414072842693,89,0,1
"beta1",-1.10255286265163,0.160887497907703,-1.44524218197043,-1.20631851858346,-1.09953439368135,-0.990970035333965,-0.817034339524046,1.00106171359962,1200,0,1
"beta2",0.266836701230433,0.0488599288089146,0.181246818497091,0.233155017257507,0.264200735906829,0.293740019340655,0.375581121610035,1.00737237370978,324,0,1
"beta3[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta3[2]",-0.486291146472433,0.398609591474371,-1.34338640529514,-0.725754177766375,-0.480512253841757,-0.22823983282317,0.297127283697286,1.01072772670381,200,1,0.901666666666667
"beta3[3]",-0.633084895992262,0.507943133153452,-1.6342047889679,-0.96979728400975,-0.614480165068788,-0.276694772194159,0.361821522449312,1.03011550923871,72,1,0.9075
"beta4[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta4[2]",0.0135556681072629,0.303734788626699,-0.550694644712811,-0.200599633518335,0.0106132594711058,0.222666869973488,0.595597452662273,1.02425259231626,92,1,0.513333333333333
"beta4[3]",-0.136592357394653,0.323541526274678,-0.762202526053056,-0.359823775489241,-0.139973615000546,0.0792064291716649,0.5317516472114,1.03356028010726,64,1,0.678333333333333
"beta5[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta5[2]",-0.0878625802393806,0.638184936322663,-1.32724331046066,-0.510964018435553,-0.0831685144311263,0.361740843761015,1.14134133520378,1.02771756884613,80,1,0.5575
"beta5[3]",0.225626125315802,0.689802838173328,-1.21628430080576,-0.254643927853317,0.248858805006616,0.686273851133314,1.62213401804695,1.03457631877601,61,1,0.635833333333333
"eps2[1]",-0.00246140243653601,0.395651030396072,-0.823807244941258,-0.144612574908866,0.00226051099520629,0.153708157561666,0.846097360148086,1.01651181993981,1200,1,0.495
"eps2[2]",0.152688132194523,0.275378886983496,-0.330117861849045,-0.007971705548304,0.108086400673916,0.300925599957696,0.766680861282379,1.00200806802143,1200,1,0.724166666666667
"eps2[3]",-0.168166384318353,0.277003079627733,-0.856905632967174,-0.315013681463683,-0.100258871849394,0.00391516294933945,0.253039308951559,1.00525077763027,707,1,0.735
"eps2[4]",-0.0644775124900098,0.243543806367274,-0.615854690229945,-0.187647566825371,-0.0315250749954173,0.0642809919397728,0.398475024376186,1.00386351977141,1200,1,0.600833333333333
"eps2[5]",-0.025221681692766,0.256983988096346,-0.596090883579943,-0.129114903115535,-0.0168952242356593,0.0955112904312915,0.48200122034725,1.00140354194201,1200,1,0.54
"eps2[6]",0.0531586770521387,0.259059149970901,-0.475067460686732,-0.0671519424483024,0.0351314525893607,0.177041559839822,0.609581373254131,1.00294200546112,1200,1,0.580833333333333
"eps2[7]",-0.0701907718215263,0.255640964856691,-0.651229833496182,-0.19306735931448,-0.0358177234408713,0.061252008447996,0.439549070774416,1.00005849950866,1200,1,0.604166666666667
"eps2[8]",0.22206860767374,0.377122285603088,-0.28955901945184,-0.00122813664248928,0.118960925127685,0.349868044954976,1.27873111339434,1.0105624002535,352,1,0.745
"eps2[9]",0.0648707664064075,0.31507566295985,-0.555931410954369,-0.0859217810089555,0.0250019914958833,0.196461534245822,0.821113518795614,1.00567996248968,1200,1,0.573333333333333
"eps2[10]",-0.144784832053095,0.34827373510577,-1.07673619357192,-0.281509465865851,-0.0682563566505443,0.0443709420375694,0.400253164168668,1.00086858885449,1200,1,0.641666666666667
"eps2[11]",-0.0616997317629061,0.37385569079888,-1.01091028126337,-0.202509403046596,-0.0262692970831072,0.113759053425523,0.634341709329601,1.00278306175086,1200,1,0.556666666666667
"eps2[12]",-0.00280155641566249,0.382155625994721,-0.781397731088802,-0.152514043220682,-0.00344216582528249,0.148255897051135,0.854697193667988,1.00213554795596,1200,1,0.509166666666667
"survival[1,1]",0.946134269025128,0.0176109892992286,0.907842567506668,0.935008499172508,0.947929622405675,0.958501279833902,0.976046019561785,1.02475374126134,88,0,1
"survival[2,1]",0.916390908771214,0.0240521033982681,0.865590963602785,0.901767305303884,0.918922242165505,0.933027846898781,0.956581171037269,1.00191922202047,648,0,1
"survival[3,1]",0.902896808773325,0.0332879306855581,0.827439505617364,0.882575132174665,0.907707432617463,0.926093559979922,0.95872584341802,1.01039642182021,204,0,1
"survival[1,2]",0.941949107200156,0.0200472462633654,0.89613975356349,0.93109146315402,0.944019147314474,0.956095266106792,0.9750132228433,1.00220690877151,743,0,1
"survival[2,2]",0.9119821651397,0.0241529663087135,0.858424404569964,0.898420751053627,0.914371092418551,0.928984614032495,0.952429859211989,1.00036752183184,1200,0,1
"survival[3,2]",0.90024174958658,0.0285968683105715,0.839700393090116,0.882660888790228,0.902743418146391,0.919573277690816,0.94824411801213,1.00027941467661,1200,0,1
"survival[1,3]",0.949103887287203,0.020540230194754,0.900760655054811,0.937845885466235,0.951426539652327,0.964098808031797,0.982148222831814,1.00089507838659,1200,0,1
"survival[2,3]",0.91242626936436,0.0260850674222998,0.851056220464434,0.898405112512541,0.914976529596745,0.92966417028863,0.956347027366298,0.999472104094531,1200,0,1
"survival[3,3]",0.886132751765753,0.0372192726478251,0.805843835990981,0.865282748011574,0.890468003684299,0.91034447667447,0.945616987880949,1.00766631179076,384,0,1
"deviance",581.244313011805,39.3804757791063,512.507986313883,554.489008515276,577.912311083471,603.155748431183,664.265224288115,0.999045937385751,1200,0,1
