"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.4231742072802,0.188896799067528,2.08508827169517,2.29977480552104,2.40883321157247,2.5378024961437,2.81977306888499,0.99897879374025,1200,0,1
"beta1",-1.09139216175143,0.213287224279069,-1.5222535634513,-1.22510105135484,-1.08224512418284,-0.949918634928701,-0.702241197817006,1.00139969505887,1200,0,1
"beta2",0.0948732492509541,0.0786808673670282,0.00114446443152299,0.0235421458226514,0.0817977098303063,0.148368705265708,0.268009254255238,1.00356195902473,514,0,1
"beta3",0.177221650412585,0.176060756601427,-0.14833119376911,0.0568114898297072,0.173615134183658,0.293980264195298,0.530012847353676,1.00032668109613,1200,1,0.849166666666667
"survival[1]",0.898520471366899,0.0262076974484226,0.842112929402694,0.881862362985007,0.900871691184817,0.916547267290839,0.943922537626205,0.999475146192689,1200,0,1
"survival[2]",0.899237080590031,0.0255809103281491,0.844653576872283,0.883004188764166,0.901220597551304,0.91682632213884,0.943590514716278,0.99945288372711,1200,0,1
"survival[3]",0.899946476078537,0.0249678584476198,0.846475373165384,0.884165688837045,0.901906822412116,0.917159298114801,0.943389736767631,0.999430451909296,1200,0,1
"survival[4]",0.900648703317128,0.0243686371718031,0.848760439564563,0.88522648262001,0.902323143053425,0.91747701280829,0.943386585920152,0.999407811313083,1200,0,1
"survival[5]",0.901343808584899,0.0237833503161712,0.850754646276145,0.886276426287266,0.902690142977165,0.9178713087654,0.943285506809725,0.999384930284261,1200,0,1
"survival[6]",0.902031838905984,0.0232121106262381,0.852324960059589,0.887371337648515,0.903387411954837,0.918171277465088,0.942965250414427,0.999361786827444,1200,0,1
"survival[7]",0.90271284200118,0.0226550401955851,0.854293224365755,0.888383012531761,0.903919594979616,0.918437864776061,0.942876513953573,0.999338370626289,1200,0,1
"survival[8]",0.903386866240593,0.0221122708073775,0.857249629234907,0.8891725607702,0.904381776983062,0.918649065834442,0.942961405645444,0.999314685175968,1200,0,1
"survival[9]",0.904053960597357,0.0215839441822374,0.859276475298177,0.890053258408809,0.905027690298285,0.918936900812797,0.943034055400866,0.99929074999439,1200,0,1
