"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.52297964366144,0.243650217075754,2.08323816721264,2.35926265823442,2.51257406946571,2.66320396096887,3.06455526517881,1.01461994099228,133,0,1
"beta1",-0.995023949762246,0.16503242689104,-1.34232866573719,-1.093063548497,-0.983769017697194,-0.878593229193854,-0.70940948978468,1.00904106346098,252,0,1
"beta2",0.273173108881017,0.0503546598746927,0.186770345050189,0.237968216734742,0.269866559342453,0.306785435498119,0.379396545947608,1.00258075154708,539,0,1
"beta3",-0.424645763862659,0.276831751187081,-0.990748322354369,-0.608280905882326,-0.41221039907632,-0.236229319794594,0.0760695485515149,1.01502185715397,142,1,0.943333333333333
"beta4[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta4[2]",0.787833903147736,0.341053785782354,0.157477195115799,0.556591524199507,0.75878460211055,1.01149001082488,1.48357008665209,1.01022624905079,194,0,0.995
"beta4[3]",0.797865341627432,0.379147725335812,0.0326406410926571,0.54609741913701,0.768631905925259,1.0567363655191,1.58031292056918,1.00992075247348,190,0,0.98
"beta5[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta5[2]",-0.0607433965567222,0.256514205750203,-0.575087679508911,-0.225394866514202,-0.0641265527920289,0.118931717912431,0.448235709114437,1.00873592764714,213,1,0.591666666666667
"beta5[3]",0.122206966961915,0.290373430983744,-0.424536590926852,-0.0754870272280729,0.115736459954295,0.316826207989146,0.715294644497953,1.00127220822975,1093,1,0.6675
"eps2[1]",0.00699969403529923,0.435867342144571,-0.840408630560602,-0.186034159872806,0.000906147257894392,0.165681735283109,0.968063582987223,1.00572467143975,1200,1,0.500833333333333
"eps2[2]",0.349132926126597,0.312700211475463,-0.0836453712330499,0.105683192652823,0.30402466644929,0.531469372404474,1.05764361948662,0.999661435287204,1200,1,0.916666666666667
"eps2[3]",-0.0101621830489512,0.235338113695655,-0.514403044367365,-0.133064816264244,-0.0107569971091044,0.114659743361928,0.495393141448845,1.00309630433272,486,1,0.53
"eps2[4]",-0.255974818507301,0.248349918709973,-0.836208096772126,-0.409117740463839,-0.221045240781315,-0.0821557659590666,0.14451516958686,1.01422309542592,253,1,0.879166666666667
"eps2[5]",-0.0936200091054112,0.235784202101079,-0.627528866372528,-0.221019747978391,-0.0668614559227264,0.0397499183620004,0.377117492706218,1.00411577274311,381,1,0.6575
"eps2[6]",-0.0546139840842437,0.263767871898245,-0.636617794340447,-0.190808907404482,-0.0311639671080247,0.0905506413031748,0.46891381525185,1.01068840175665,235,1,0.571666666666667
"eps2[7]",-0.106061310733068,0.285957155868506,-0.758916137716707,-0.253020585274502,-0.0739338709309211,0.0577079267608943,0.418040815068424,1.01346807151317,170,1,0.648333333333333
"eps2[8]",0.27347133721904,0.374525890698525,-0.280492464645121,0.0180949668891515,0.198720345604643,0.470966111379386,1.23689619738644,1.00023982852825,1200,1,0.7825
"eps2[9]",0.0791863251225718,0.361506558439471,-0.583589599792735,-0.112677956363952,0.0421557191682773,0.23936151660648,0.920893220410146,1.00654591071637,634,1,0.573333333333333
"eps2[10]",-0.0653410350289065,0.331002686356756,-0.813301943612494,-0.226315303576605,-0.0289588422541266,0.104833162073814,0.56775760055637,1.00000904185168,1200,1,0.565833333333333
"eps2[11]",-0.0961738135791113,0.410105631865091,-1.02001395235412,-0.288300226946203,-0.0524319737887647,0.0965656247784396,0.654276997151441,1.0121895805998,166,1,0.6025
"eps2[12]",0.0003162792586325,0.476784096283434,-0.900695271198152,-0.190124611009307,-0.00394128831879688,0.182295218284544,0.911094628958803,1.01039170090239,1200,1,0.485
"surv_diff[1,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[50,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[100,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[1,2]",-0.0975883815513053,0.0494917380079657,-0.213426594701782,-0.123721381508381,-0.0920235572529929,-0.0634454535708462,-0.0188639711480081,1.00243207470076,548,0,0.989166666666667
"surv_diff[50,2]",0.021911173212463,0.0223022490037571,-0.0194608371130616,0.0066313331475352,0.0207772094544395,0.0361347926183485,0.067404920140577,1.0062555419267,303,1,0.833333333333333
"surv_diff[100,2]",0.18094854250292,0.119359920022895,0.0143656182381686,0.0945288138176984,0.154959870918867,0.249912262730357,0.471103085712019,1.00700197762217,274,0,0.990833333333333
"surv_diff[1,3]",-0.0789769696591594,0.0438319947055885,-0.178078030199316,-0.104654160784485,-0.0757638181968764,-0.0491001554023726,-0.00173707395766243,1.00385159841051,419,0,0.975833333333333
"surv_diff[50,3]",0.0318151371812264,0.0243630865552631,-0.0161441123615583,0.015927003099256,0.0315342684303513,0.0476827526111522,0.0818949645088434,1.00583220548407,511,1,0.905833333333333
"surv_diff[100,3]",0.183555872912884,0.121896608738888,0.00410056609734114,0.0935383428845065,0.159406590381644,0.252403808864423,0.474088638772522,1.00724559172239,259,0,0.975
"survival[1,1]",0.956869947612651,0.0211446880401699,0.907703368752413,0.945674553797717,0.960187894038014,0.972416262060402,0.98734811773295,1.02477049624943,110,0,1
"survival[2,1]",0.956311441987214,0.0209597219048265,0.907645367915721,0.945044584262404,0.959531502113959,0.971753051871416,0.986798626054156,1.02436727274435,109,0,1
"survival[3,1]",0.955740989433486,0.0207744585319621,0.907594821328418,0.94440097001937,0.958864794958524,0.971007546567687,0.986267003295497,1.02399360307976,109,0,1
"survival[4,1]",0.955158319030427,0.0205888880211318,0.907573254867951,0.943765159806342,0.958120475926239,0.970242001779924,0.985681156422741,1.02364884611731,108,0,1
"survival[5,1]",0.954563153434266,0.0204030146908102,0.908239113045374,0.943020096395925,0.957368910623704,0.969455407974477,0.985013962699758,1.02333229562224,107,0,1
"survival[6,1]",0.953955208746916,0.0202168591288636,0.908253966152558,0.942326534869643,0.956684463182589,0.968603309010653,0.984420689950338,1.02304317346489,106,0,1
"survival[7,1]",0.95333419438483,0.0200304604598773,0.908394698028243,0.941584339888686,0.955813484414072,0.967953998891801,0.983915066159823,1.02278062134911,106,0,1
"survival[8,1]",0.952699812948628,0.0198438788519877,0.908395702133052,0.941103158482331,0.955155893477121,0.967175632232979,0.983294164092138,1.02254369096403,105,0,1
"survival[9,1]",0.952051760093883,0.0196571982874224,0.908255720894129,0.940761095421061,0.954406538133706,0.96641128370582,0.982880630241237,1.0223313324728,104,0,1
"survival[10,1]",0.951389724403463,0.0194705296223021,0.907525308646855,0.940119335475347,0.953563955621938,0.965522759860347,0.982249627633258,1.02214238127955,104,0,1
"survival[11,1]",0.950713387261881,0.0192840139622687,0.907849472011633,0.939347556662452,0.95266354037527,0.964679806652225,0.98152374775001,1.02197554305873,103,0,1
"survival[12,1]",0.950022422732146,0.0190978263810037,0.908302332254829,0.938513753485558,0.951894613040013,0.963730779176079,0.980867144239392,1.02182937709194,102,0,1
"survival[13,1]",0.949316497435643,0.0189121800084481,0.907917401602307,0.937859581420623,0.951035893738967,0.962891180603699,0.980005386534494,1.0217022780436,102,0,1
"survival[14,1]",0.948595270435612,0.0187273305142346,0.907158910305845,0.937241070956236,0.950253103050997,0.962020152073395,0.979105667732176,1.02159245642407,101,0,1
"survival[15,1]",0.94785839312488,0.018543581009109,0.906979270241088,0.936493681283429,0.949395912026869,0.961197469774504,0.978202318315163,1.02149791814402,100,0,1
"survival[16,1]",0.947105509118498,0.0183612873824744,0.907067922916017,0.935675654845601,0.948581369889187,0.960433323859763,0.977430773551422,1.02141644376433,100,0,1
"survival[17,1]",0.946336254152053,0.0181808640870583,0.907621006934268,0.935284077236377,0.947846538419793,0.959609712277716,0.976723090721128,1.02134556829827,99,0,1
"survival[18,1]",0.945550255986435,0.0180027903713747,0.907044812565174,0.934584721229301,0.946897932395193,0.958602823516885,0.976008728030388,1.02128256273122,99,0,1
"survival[19,1]",0.94474713431995,0.0178276169463256,0.906504085722184,0.933876671083697,0.945831421816458,0.957650536616802,0.975251802640479,1.02122441878811,98,0,1
"survival[20,1]",0.943926500708691,0.0176559730530286,0.905524419925855,0.932979234337866,0.944793172572469,0.95671387426666,0.974388197322507,1.02116783889243,98,0,1
"survival[21,1]",0.94308795849621,0.0174885738738129,0.905062489306451,0.932224481486474,0.944048471896227,0.955658383250312,0.973640014378358,1.02110923370493,98,0,1
"survival[22,1]",0.942231102753557,0.0173262281962898,0.904663904010535,0.931423816899815,0.943244263929095,0.954805189190042,0.972718731406807,1.02104473006873,98,0,1
"survival[23,1]",0.941355520230879,0.017169846200653,0.904076746851243,0.930602897520701,0.942305102373245,0.953879586889077,0.971808492717393,1.02097019256328,98,0,1
"survival[24,1]",0.940460789321827,0.0170204471923152,0.903880631527291,0.929793377973939,0.941248821497584,0.952905907406227,0.970773355734615,1.02088126209819,98,0,1
"survival[25,1]",0.939546480042146,0.0168791670456661,0.902993741242459,0.928966152196025,0.940398818978644,0.951736508539417,0.969943906918228,1.0207734149425,98,0,1
"survival[26,1]",0.938612154023873,0.0167472650610146,0.902437836509211,0.928202743058506,0.939465119096241,0.950593352344412,0.96912216544018,1.02064204514455,98,0,1
"survival[27,1]",0.937657364526716,0.0166261298678697,0.901580810988729,0.927270390276741,0.938653623432336,0.949552114539073,0.967752729636218,1.02048257229292,99,0,1
"survival[28,1]",0.936681656468261,0.0165172839375982,0.900958357342745,0.926232831676216,0.937471459841911,0.948658983143188,0.966936058535989,1.02029057485233,99,0,1
"survival[29,1]",0.935684566474771,0.016422386203393,0.900661669836865,0.92521383013826,0.936485708689063,0.947447045011429,0.965861131557427,1.02006194678665,100,0,1
"survival[30,1]",0.934665622954452,0.016343232234175,0.899691738395541,0.924216911363923,0.93554737558199,0.946359226580944,0.964533992182095,1.01979307187944,101,0,1
"survival[31,1]",0.933624346195168,0.0162817513829014,0.899548931644011,0.923394785879782,0.934426382270901,0.94526141572541,0.96334565186891,1.01948100629462,103,0,1
"survival[32,1]",0.932560248488718,0.016240000342204,0.898982312250944,0.922539348772635,0.933321685990217,0.944218497579121,0.962451329395583,1.01912365595967,105,0,1
"survival[33,1]",0.931472834283871,0.0162201526055794,0.897765447994136,0.921583595497251,0.932304232860612,0.94305999175748,0.961546546538841,1.01871993205549,107,0,1
"survival[34,1]",0.9303616003705,0.0162244834633229,0.897107830496908,0.920374426671265,0.93134759957225,0.941759379463062,0.96026969546053,1.01826986623901,110,0,1
"survival[35,1]",0.929226036097252,0.016255350367289,0.894973233087239,0.919447983644334,0.930116672439096,0.940363146012754,0.959646594733516,1.01777466823035,113,0,1
"survival[36,1]",0.92806562362528,0.0163151687772511,0.893429180746912,0.918091783958974,0.929060026259781,0.939068140860325,0.958499161517043,1.01723671281848,116,0,1
"survival[37,1]",0.926879838220697,0.0164063839419506,0.892314247218899,0.91690632483833,0.927948710826737,0.937668916926595,0.957399324749854,1.01665945127951,121,0,1
"survival[38,1]",0.925668148588472,0.0165314394432574,0.891523229732293,0.91563320973553,0.926642212134591,0.936233176500853,0.956487175227654,1.01604725277279,126,0,1
"survival[39,1]",0.92443001725057,0.0166927437013439,0.889817213510407,0.914172180260149,0.925492745371129,0.935252664455503,0.955693835667608,1.01540519252171,132,0,1
"survival[40,1]",0.9231649009712,0.0168926359512381,0.888481488710361,0.912710146277658,0.924218392799326,0.934196729500492,0.954696757620272,1.01473881278715,139,0,1
"survival[41,1]",0.92187225123209,0.0171333534030702,0.88696872518655,0.91146909241433,0.922965879277676,0.933271421814478,0.953601367354506,1.01405388709269,146,0,1
"survival[42,1]",0.920551514760689,0.0174170013447846,0.884831441438745,0.909872167136467,0.921676320903018,0.932092323971644,0.952709683630157,1.01335621614834,155,0,1
"survival[43,1]",0.919202134114222,0.0177455278119539,0.882658955500794,0.908311628172734,0.920486373300916,0.930740373908204,0.951993433460448,1.01265147554027,165,0,1
"survival[44,1]",0.917823548322449,0.0181207041377381,0.880459919255886,0.906781723932305,0.919129739757727,0.929726277672999,0.951410174148145,1.01194512262421,177,0,1
"survival[45,1]",0.91641519359192,0.0185441122406828,0.878467596217832,0.904946718530187,0.917940650896582,0.928298906088329,0.950216687322123,1.01124235671,189,0,1
"survival[46,1]",0.914976504074356,0.0190171389680935,0.875735402496393,0.903066674322364,0.916717573476477,0.92731061115956,0.949678149850372,1.01054811626126,204,0,1
"survival[47,1]",0.913506912701643,0.019540977261037,0.873223870777833,0.901045731071878,0.915517417282827,0.925985564374952,0.948613204610895,1.00986709201883,219,0,1
"survival[48,1]",0.912005852089663,0.0201166334152331,0.870154351107311,0.899386182602099,0.914056921891345,0.925006560155979,0.947720360820641,1.00920373628746,236,0,1
"survival[49,1]",0.9104727555129,0.0207449393366763,0.866555014819913,0.897608189358219,0.912698626874479,0.92419042770295,0.947375121807169,1.00856225475295,255,0,1
"survival[50,1]",0.908907057951393,0.0214265684638375,0.862957462840022,0.895927180837685,0.911350054801062,0.923128316282617,0.9474742532101,1.00794657557928,275,0,1
"survival[51,1]",0.907308197211188,0.0221620539549882,0.85951769837329,0.893892442239742,0.910073452289724,0.922135066802531,0.946895832604034,1.00736029848963,295,0,1
"survival[52,1]",0.905675615118901,0.0229518078016431,0.855437166958538,0.891844140661354,0.908198840361262,0.921226219153626,0.946954630041477,1.00680663211764,317,0,1
