"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.47899006830504,0.273874120447002,1.97724898887264,2.29416704343828,2.46626584514728,2.6668135031586,3.02989133883591,1.03352474698694,67,0,1
"beta1",-1.59629925827446,0.157090574788946,-1.90308061359578,-1.70064772378909,-1.59434345245095,-1.48983281934821,-1.2954738548638,1.00610041071707,313,0,1
"beta2",0.170112696346805,0.0399777889556904,0.0928906477916831,0.144928561666218,0.171024459984567,0.196388310048976,0.246171558585992,1.00095708213259,1200,0,1
"beta3[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta3[2]",-0.312632727426571,0.24987146649844,-0.826854125805574,-0.478306462699923,-0.311156714675123,-0.150057958221222,0.183679466097863,1.02283147941829,97,1,0.9
"beta3[3]",-0.838487567454796,0.350242339701695,-1.54350053802003,-1.06716029372856,-0.832192735194632,-0.613754457451468,-0.156085947178437,1.04605934585199,52,0,0.995
"beta4[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta4[2]",0.496473454615532,0.243030942570609,0.0375841076975537,0.327587789010286,0.501461787912681,0.651190838078446,0.978055831686298,1.07666491265174,31,0,0.983333333333333
"beta5[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta5[2]",-0.963662745668714,0.530559662526045,-2.04725210332154,-1.33285989725625,-0.95325579571377,-0.595545632458938,0.0613066892793475,1.07002945610752,34,1,0.966666666666667
"eps2[1]",0,0,0,0,0,0,0,NA,1,1,1
"eps2[2]",-0.0444237357070015,0.248369443208347,-0.54757507780124,-0.19666120703648,-0.0404361088053059,0.114640150062809,0.448470889689847,1.0041069322153,756,1,0.5725
"eps2[3]",0.178066812724454,0.241614244129061,-0.255880471843052,0.00587342249727609,0.170808555586123,0.338005261294092,0.694546131986389,0.999381031058172,1200,1,0.756666666666667
"eps2[4]",0.45761687673183,0.258034400113942,-0.0120104498956516,0.275428777763838,0.447210634565217,0.633415138542994,0.982606370444639,1.00071448862031,1200,1,0.970833333333333
"eps2[5]",0.420240012797623,0.263997059072731,-0.0422625477740666,0.237993191889828,0.405181584815465,0.586188966927376,0.972976081558998,1.01422761097461,144,1,0.949166666666667
"eps2[6]",-0.114463807492368,0.244128750014424,-0.620340602616794,-0.269058461189336,-0.0992234142998227,0.0482095397945776,0.343085184202432,1.00209153914434,741,1,0.680833333333333
"eps2[7]",-0.322245969512149,0.262974843262534,-0.8498911622325,-0.499495680372204,-0.301704102104362,-0.147618188489391,0.174550555386733,1.00312848625252,490,1,0.895
"eps2[8]",-0.398336227060673,0.286461325366284,-1.00005187199606,-0.599527765978426,-0.392385074017692,-0.193572850332775,0.117402192487788,1.0011556225486,1200,1,0.9275
"eps2[9]",-0.21113157875298,0.319873260958042,-0.902502519465013,-0.410407244046487,-0.196954573628131,0.00356532322766848,0.398620406281013,1.00433025675846,424,1,0.745833333333333
"eps2[10]",-0.320123065511844,0.350514939784444,-1.08615989638333,-0.523966877959554,-0.279941733910332,-0.0741916143374759,0.268768412396211,1.00337074852116,551,1,0.831666666666667
"eps2[11]",0.260015717735502,0.408458556766547,-0.406446161098187,-0.00349306734934848,0.201863792183835,0.473025263450663,1.19256713541942,1.00536869616451,872,1,0.7475
"eps2[12]",0.0325967003808173,0.426243105718651,-0.883517509075533,-0.221765092524214,0.018765017661773,0.273989703974159,0.977178050857876,1.00054711639214,1200,1,0.5225
"eps2[13]",-0.245204210164123,0.433457543889783,-1.24993562462324,-0.482579188887922,-0.20197721326043,0.0240435993851423,0.530551165830348,1.0065693714256,344,1,0.715
"eps2[14]",-0.0367760431177966,0.483678752346033,-1.02107833836214,-0.313098972509043,-0.0338245478373123,0.240416732036773,0.931443299168004,1.00398531081086,542,1,0.528333333333333
"eps2[15]",0.00983997876179953,0.481587880732182,-0.983646677505169,-0.273296884483505,-0.00792453690702239,0.276411500619714,1.02705758345818,1.00196592443637,1200,1,0.488333333333333
"survival[1,1]",0.920415277003083,0.0198463367734924,0.87838733998739,0.908392802305345,0.921742831734789,0.935039750114883,0.95390639519114,1.02797386884528,74,0,1
"survival[2,1]",0.895459068993206,0.0204793220980973,0.849641549334339,0.883413996765068,0.897056265169642,0.909757648540844,0.929618584910651,1.00238993091184,662,0,1
"survival[3,1]",0.834921074587386,0.0330965557774797,0.764440948465413,0.814089706955839,0.836435100144711,0.857706170962245,0.894594079097187,1.01079624770496,199,0,1
"survival[1,2]",0.879681028713315,0.0257130621196043,0.825169108015738,0.864162258445214,0.881679614359062,0.898019173664907,0.92344109327623,1.00604879471189,303,0,1
"survival[2,2]",0.898335027477576,0.0187830565917228,0.857995359537929,0.886955238655982,0.899695139213648,0.911476348473379,0.93202753603453,1.00117086631489,986,0,1
"survival[3,2]",0.895202557252172,0.0215015919983965,0.851562813812653,0.880775698212814,0.896277515530674,0.910716361734447,0.931783862510837,1.0218347888946,94,0,1
"deviance",769.284903315834,36.4733690069796,703.920350338466,744.224740378144,766.020674917195,791.521302372603,845.077322875124,1.00067963432861,1200,0,1
