"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",4.03008924612496,0.498153789533569,3.17351924276046,3.67589409431898,3.9850790719841,4.33106677797405,5.12436082852524,1.01410655630293,142,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta1[2]",-0.687544214752873,0.543835746098372,-1.80839938037731,-1.01983665124682,-0.659137422806439,-0.335493611072389,0.351890440429282,1.00849531935708,268,1,0.906
"beta1[3]",-1.01436660609023,0.525964969569474,-2.09346771964224,-1.35932210039298,-0.999412384811874,-0.640515729259937,-0.0148431107706158,1.01286899612311,168,0,0.977333333333333
"beta1[4]",-1.33301776613019,0.532920565284399,-2.46175690974962,-1.69205050969843,-1.30155318701777,-0.979161345436409,-0.336831782597283,1.01660965192677,122,0,0.998666666666667
"beta1[5]",-1.21829510398338,0.570170822048663,-2.34618809688362,-1.56911999038914,-1.20178200924545,-0.844359511266803,-0.140941687250013,1.01589369473324,138,0,0.985333333333333
"beta1[6]",-1.93273225778582,0.567833805707096,-3.10932901499431,-2.29319587687072,-1.90246510193696,-1.55000171966612,-0.890024951137738,1.01002228116846,236,0,1
"beta1[7]",-2.80809640903169,0.557367448426429,-4.00424934754212,-3.17216225530317,-2.76377475521146,-2.40530121924335,-1.85994815020787,1.01524313001671,132,0,1
"beta1[8]",-2.59546109723734,0.660436468646341,-4.02884638250769,-3.01411047090311,-2.53807727962791,-2.14743090249523,-1.4208155473296,1.00668284776739,274,0,1
"beta1[9]",-2.50816159222405,0.764254984606059,-4.06115394690227,-2.96871154531308,-2.52061864410374,-1.98840168310909,-1.02369211764926,1.00979278975297,204,0,0.999333333333333
"beta1[10]",-2.79760089010262,1.07519825053109,-4.79115523944985,-3.48918123890159,-2.83956503347504,-2.17260688635464,-0.700364623191621,1.00378261119473,1500,0,0.989333333333333
"beta1[11]",1.48773788180747,30.4204412585156,-55.3398876745032,-18.9188306232535,0.167382126240607,20.6576745413683,63.4140730848232,0.999474988532475,1500,1,0.503333333333333
"beta2[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta2[2]",0.019129599630092,0.252170532701617,-0.487880907570949,-0.147725697858695,0.0221159038693972,0.17837827163777,0.508947379034229,1.00011361511196,1500,1,0.54
"beta2[3]",-0.0126027316381756,0.263060852838338,-0.505892711330438,-0.190285132824207,-0.0180783688398734,0.157730311272732,0.541712064884521,0.999303531886905,1500,1,0.525333333333333
"beta3",0.141558673340179,0.133164528487848,-0.118059326319023,0.0558752876307349,0.140676276028875,0.22725445862309,0.400267646272074,1.00021835318747,1500,1,0.854666666666667
"beta4",0.262059015244627,0.0479336342654665,0.178984650399486,0.227925602615433,0.257869857198384,0.292832265230097,0.363027384611559,1.01437816897586,141,0,1
"eps1[1]",0,0,0,0,0,0,0,NA,1,1,1
"eps1[2]",0.337770167787,0.308626243111377,-0.0821058327153367,0.0949597736613062,0.285386575854405,0.531378423390708,1.05200963796119,0.999342964485546,1500,1,0.89
"eps1[3]",-0.0300209913393524,0.223879106440243,-0.539320179779496,-0.144520465863083,-0.01837369683089,0.0938854680123443,0.39993339707106,1.00198568903534,986,1,0.551333333333333
"eps1[4]",-0.212592316151917,0.250242260048353,-0.791873393336726,-0.346470758039351,-0.171688209160574,-0.0312557509197579,0.180046664476006,1.00855287296927,580,1,0.820666666666667
"eps1[5]",-0.0568625638169972,0.234971642552813,-0.604738417642387,-0.191042789854062,-0.0262854134677608,0.0810371065048506,0.374371956151696,1.00492874533687,460,1,0.579333333333333
"eps1[6]",-0.082065286962599,0.263100550735766,-0.666060210393191,-0.224410975551672,-0.0502087996596645,0.0615281674421082,0.423821533718527,1.0049303904743,529,1,0.611333333333333
"eps1[7]",-0.140495904608801,0.274387516268098,-0.742817777818356,-0.293175218196324,-0.0994029039405669,0.0216660848613676,0.324977242178723,1.002182746661,633,1,0.696
"eps1[8]",0.264210041120374,0.385400508921004,-0.280719492163751,0.00738624761032159,0.178170781448353,0.43553780508192,1.24940844865326,1.00056152238711,1500,1,0.772666666666667
"eps1[9]",0.0626009708838349,0.32213606760073,-0.544316429694743,-0.0970507009050365,0.0313682037895619,0.20702143626226,0.793786820554599,1.00071149145674,1500,1,0.571333333333333
"eps1[10]",-0.0538617591158303,0.333706627935101,-0.780489742396786,-0.222742372290825,-0.028784323185763,0.120649534473884,0.61803648980999,1.00323537719904,1500,1,0.56
"eps1[11]",-0.0647258273031388,0.385960585812197,-0.956932844501181,-0.223205379994366,-0.0181006619147032,0.122358461287776,0.691309427077119,1.00316441700424,1393,1,0.546666666666667
"eps1[12]",-0.00068684201398729,0.393294964940326,-0.788325365402688,-0.170423206594851,0.00530991877586084,0.167947949473897,0.802177820356285,0.999495433643333,1500,1,0.484666666666667
"phi.antlers[1,1]",0.961961168505934,0.0153602398269981,0.927540250618113,0.952935796369963,0.963927348796131,0.973132075448187,0.986257960158833,1.01100554051207,200,0,1
"phi.antlers[2,1]",0.962475223530781,0.0151799771236359,0.928425676411816,0.953554230861434,0.96439967651817,0.973467413730271,0.986461814726169,1.01110858534953,198,0,1
"phi.antlers[3,1]",0.962982409307128,0.0150021985834931,0.929178737688914,0.954149988710746,0.964855377502278,0.973820851932891,0.98668748742905,1.0112111855482,196,0,1
"phi.antlers[4,1]",0.963482812145367,0.0148268653112089,0.929914438930972,0.95475331279259,0.965275496357533,0.97413877963906,0.986892811262688,1.0113133184077,194,0,1
"phi.antlers[5,1]",0.963976517478542,0.0146539389648022,0.930736492493065,0.955335211793946,0.965751706023324,0.974495490306245,0.987102492177209,1.01141496188033,192,0,1
"phi.antlers[6,1]",0.964463609864161,0.0144833817540496,0.93158569835549,0.955925145359613,0.966271500861616,0.974887019140355,0.987297745273886,1.01151609457388,190,0,1
