"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",4.19075156622725,0.522865601892558,3.27462640091415,3.82446368966099,4.14430203456856,4.52600485636018,5.31550713232082,1.01937935847886,116,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta1[2]",-0.734507777491982,0.559348253348129,-1.89188609179294,-1.07022341309161,-0.728853324261388,-0.369793162666814,0.37152496130871,1.01020545734474,206,1,0.911333333333333
"beta1[3]",-1.10856895669226,0.56610791068384,-2.34348268380295,-1.46952953114046,-1.09050592028334,-0.730253942556151,-0.0300132471999301,1.00977083186692,216,0,0.976666666666667
"beta1[4]",-1.44655350068383,0.558547751220428,-2.63627536621893,-1.80096958128768,-1.40043721474264,-1.06739235140031,-0.457426008627062,1.00750020722041,246,0,0.998
"beta1[5]",-1.31529260600685,0.572477075300482,-2.49705702139247,-1.68908005886008,-1.2952787127553,-0.946087916255902,-0.287227895344724,1.00450711273367,410,0,0.990666666666667
"beta1[6]",-2.1271299675301,0.586672150063898,-3.39473767691281,-2.49436719097841,-2.10569229954583,-1.73335926475188,-1.03438932503187,1.00884547387833,225,0,0.999333333333333
"beta1[7]",-2.97964820126699,0.582638526761731,-4.1991949536959,-3.33557664763459,-2.93296361255686,-2.57275405050166,-1.95566669407758,1.00764660910495,240,0,1
"beta1[8]",-2.86070058367731,0.662360815983189,-4.24830468872723,-3.27579146331816,-2.83314891770367,-2.41862559789967,-1.61708717430151,1.01482657477175,132,0,1
"beta1[9]",-2.68532439801435,0.822639648667764,-4.33965282891986,-3.19225062112362,-2.68304461816496,-2.15787699166905,-1.04622944019787,1.00711131458645,264,0,0.997333333333333
"beta1[10]",-3.0482375622695,1.12239818052011,-5.06644540259262,-3.78487125819546,-3.07075952526458,-2.35349214293198,-0.763418130140356,1.00577198949211,876,0,0.996
"beta1[11]",-0.559161283430046,32.4904385896533,-64.5857477537951,-21.8034205193362,-0.33679202112396,20.5985151226814,63.2447366459709,1.00389988524995,866,1,0.503333333333333
"beta2[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta2[2]",-0.0356886191017751,0.252355400000243,-0.522365815085051,-0.206854869734309,-0.0403265147647027,0.137475790553834,0.454726871417853,1.00234356521448,606,1,0.564666666666667
"beta2[3]",-0.072219686738034,0.267856953398115,-0.567395430369193,-0.255960616235451,-0.0693772513920399,0.105198092125935,0.474557950892172,0.999739754236491,1500,1,0.600666666666667
"beta3",0.0223995647044539,0.176995759508147,-0.307076100142966,-0.102685827510238,0.0204028426398209,0.137070065507109,0.383109053920545,1.00203920824169,1500,1,0.548
"beta4",0.270919580888113,0.0503377667044155,0.18528729753724,0.236227317093894,0.265959687187097,0.300560782508084,0.381844115266224,1.01133461877357,187,0,1
"eps1[1]",0,0,0,0,0,0,0,NA,1,1,1
"eps1[2]",0.399557997517442,0.332418695122736,-0.115409085369906,0.151088721770463,0.360435894658152,0.600361550790768,1.1988694903165,1.00086945117847,1343,1,0.918
"eps1[3]",-0.00516243640419439,0.251351739710992,-0.508120353665798,-0.142388428224336,-0.00480808751091397,0.132225109967057,0.512789722953208,1.00120656908482,1500,1,0.512
"eps1[4]",-0.214376571138596,0.264133216209166,-0.82558423909924,-0.352817749409948,-0.185010495436496,-0.0343492583833655,0.224181423403691,1.00511889481854,676,1,0.808666666666667
"eps1[5]",-0.0688716545757123,0.255170019549295,-0.611744008054778,-0.207801278986423,-0.048042375338456,0.0774900649039893,0.408385131543269,1.00195722550356,1030,1,0.588666666666667
"eps1[6]",-0.0923241359497322,0.265940559930034,-0.669945243985171,-0.243079602664984,-0.0724580446229123,0.0669209428949875,0.423097878789472,1.00781717527739,743,1,0.644
"eps1[7]",-0.180367816141853,0.305781153196657,-0.869086384812738,-0.346654944909267,-0.134236032805516,0.0181997349872137,0.364306058977758,1.00334471729432,757,1,0.724
