"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",4.14165250085553,0.516432040397939,3.25418928748875,3.78342715939318,4.09543169082025,4.4488872626997,5.25475770033821,1.00756552585988,1134,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta1[2]",-0.733133250876512,0.546999582998144,-1.8543894148505,-1.09085176661501,-0.704351474889771,-0.380021416207594,0.302673294506377,1.00464362878411,562,1,0.915333333333333
"beta1[3]",-1.09753265247397,0.540564261323826,-2.20232400596426,-1.45630684309087,-1.07340550769166,-0.723652158947953,-0.134096141951501,1.00137617757933,1260,0,0.988
"beta1[4]",-1.40084082312475,0.532312183935764,-2.52954160544471,-1.73477416604481,-1.37778433084559,-1.03938923004927,-0.402090599801091,1.00133071326134,1144,0,0.997333333333333
"beta1[5]",-1.28384600299881,0.59499513076656,-2.49058663638114,-1.66785979794236,-1.27489786604748,-0.861404820544595,-0.142755494721194,1.00133414916869,1007,0,0.986666666666667
"beta1[6]",-2.10564060545805,0.60479030550515,-3.37440428963718,-2.48390100372609,-2.0876697366691,-1.705258657248,-0.953854170223962,1.00170830610413,807,0,1
"beta1[7]",-3.00012642703042,0.578796396883955,-4.23767158470194,-3.36525565894364,-2.96463158469719,-2.59250665981619,-1.9868555139851,1.00183818352709,1500,0,1
"beta1[8]",-2.86039490762724,0.651453583738773,-4.17405151302848,-3.27943019401437,-2.82331783536603,-2.41646465501888,-1.58325742021097,1.00286330595323,1500,0,1
"beta1[9]",-2.67512639093794,0.823507158787854,-4.26849321451559,-3.22555662535908,-2.67600279281451,-2.13353551486121,-1.11997701939755,1.00035422705201,1500,0,0.999333333333333
"beta1[10]",-3.21207669127305,1.22517920770933,-5.2714528211772,-3.91077041622497,-3.26420022089598,-2.62490517301128,-0.976418934615478,1.02196229190969,1500,0,0.987333333333333
"beta1[11]",0.217136038979082,10.0349493915864,-19.0680395933548,-6.80962566786739,0.113474077037753,7.06670800006462,20.0067917406736,1.00250331311941,788,1,0.505333333333333
"beta2[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta2[2]",0.102910226472844,0.252430948230451,-0.408320223927868,-0.0693354976539353,0.10819655006097,0.279654672452007,0.597955842602107,1.00042288280947,1500,1,0.66
"beta2[3]",0.031447777770484,0.275890356517533,-0.476764874535511,-0.155194969916322,0.0228771910488479,0.212944407254685,0.60273821848264,1.00130778634148,951,1,0.532666666666667
"beta3",0.0590213121573998,0.178986253754206,-0.277163800557868,-0.0582395879413109,0.0561264241121435,0.173780609840183,0.438547016443131,1.00033868791822,1500,1,0.626666666666667
"beta4",0.28690810309606,0.0521332318203745,0.199297586682996,0.249745151620249,0.282520230534143,0.321993456051035,0.398677060032623,0.99951939322363,1500,0,1
"eps1[1]",0,0,0,0,0,0,0,NA,1,1,1
"eps1[2]",0.362016955295237,0.317196204060251,-0.10360126651923,0.113649573243769,0.322726743282479,0.561867668547845,1.09055484184631,1.00145694083763,1241,1,0.898
"eps1[3]",-0.00332829715471004,0.247539609344956,-0.502532842918197,-0.135147509246251,-0.00129354969144375,0.134364979408819,0.474221383355471,1.00089425603714,1500,1,0.505333333333333
"eps1[4]",-0.219212391535653,0.259703065240675,-0.815257369476021,-0.360659715412339,-0.186134661319864,-0.0318079682108853,0.2106600253528,1.00068260087349,1500,1,0.818666666666667
"eps1[5]",-0.0588736304726145,0.257349020845106,-0.634620012347056,-0.187451537321905,-0.0356698416695644,0.0746467910844633,0.433291936790869,1.00138727695249,1500,1,0.586
"eps1[6]",-0.108698813843262,0.286122509650857,-0.738050117841561,-0.269872682929161,-0.0768159192709356,0.0466075607810647,0.433777393498159,1.00022769055246,1500,1,0.643333333333333
"eps1[7]",-0.180999688222416,0.295106047202798,-0.860425093533816,-0.335891533199785,-0.132489173190555,0.00218935962974022,0.331234532573641,1.00301514270632,1500,1,0.745333333333333
"eps1[8]",0.267311319774163,0.372572308066643,-0.269252487514298,0.00391613049828206,0.186960364516631,0.465025073308103,1.17454936911524,0.999739072605065,1500,1,0.760666666666667
"eps1[9]",0.0414753653029973,0.342933034990964,-0.670050273506801,-0.127652869205319,0.0184046852982654,0.209673551941043,0.772116442622414,1.00009213830741,1500,1,0.553333333333333
"eps1[10]",-0.0930471003908143,0.367775490952563,-0.928244253129213,-0.269593148266301,-0.0437029530480199,0.0968504395414284,0.580572282402782,1.0015048620242,1500,1,0.58
"eps1[11]",-0.0652585201803788,0.420462723541412,-0.971751357190144,-0.254804533754235,-0.0402753232043535,0.133814729834182,0.740943803742715,1.0002992258388,1500,1,0.577333333333333
"eps1[12]",-0.000822505702607207,0.444095857220226,-0.917632555406352,-0.187863215437992,0.000371226372447629,0.191726091594783,0.939338784701564,1.00289789827992,726,1,0.499333333333333
"phi.weight[1,1]",0.962019608659696,0.0160962279620309,0.924812473022266,0.953046084098297,0.96409049272108,0.973283638017431,0.986519953239583,1.01153712081473,293,0,1
"phi.weight[2,1]",0.962580362818795,0.0158913682135106,0.925839963107522,0.953696948034121,0.964632601260915,0.973686697902428,0.98675350198319,1.01145130705286,294,0,1
"phi.weight[3,1]",0.963132937823647,0.0156894879222937,0.926834063793533,0.954350437413576,0.965109373363747,0.974063141025754,0.986982129286352,1.01136436997285,296,0,1
"phi.weight[4,1]",0.963677445750327,0.0154905385775551,0.9278967892351,0.955024231194614,0.965609568278702,0.974493747388961,0.987210974542594,1.01127636248898,297,0,1
"phi.weight[5,1]",0.964213997432736,0.0152944723882492,0.928960625387366,0.955702998623962,0.96613802278989,0.974871590895823,0.98743583829652,1.01118733733605,298,0,1
"phi.weight[6,1]",0.964742702465519,0.0151012422809627,0.930008812886534,0.956287349156617,0.966680479520601,0.975277199326688,0.987656788189305,1.01109734701407,300,0,1
"phi.weight[7,1]",0.965263669207429,0.0149108018972711,0.931042656652357,0.956958085945292,0.96720498030829,0.975700329133309,0.987873890773412,1.01100644373448,301,0,1
"phi.weight[8,1]",0.965777004785115,0.0147231055906264,0.932202718125065,0.957602988692363,0.967662899034714,0.976075946487378,0.988087211527916,1.0109146793682,303,0,1
"phi.weight[9,1]",0.966282815097323,0.0145381084228014,0.933147040082153,0.958225233358487,0.968118191546213,0.97647465624237,0.988304231682163,1.01082210539552,304,0,1
"phi.weight[10,1]",0.966781204819485,0.0143557661599144,0.934059748741365,0.958846387558014,0.968559051778746,0.976816604971624,0.988528669582654,1.01072877285795,306,0,1
"phi.weight[11,1]",0.967272277408686,0.0141760352680588,0.935011864956625,0.959451282313688,0.969082334015541,0.977211816773093,0.988739203767181,1.0106347323121,308,0,1
"phi.weight[12,1]",0.967756135108978,0.0139988729085622,0.935886903594204,0.960065735447739,0.9695535131515,0.977569651353111,0.988928923104981,1.01054003378537,309,0,1
"phi.weight[13,1]",0.968232878957039,0.0138242369328953,0.936754829921564,0.960713363806766,0.969999143319072,0.977959523900239,0.989117964337215,1.01044472673385,311,0,1
"phi.weight[14,1]",0.968702608788153,0.0136520858772553,0.937649197033791,0.961196794595452,0.970445799297887,0.978341942044089,0.989303706878855,1.01034886000219,313,0,1
"phi.weight[15,1]",0.96916542324249,0.0134823789568435,0.938548677414017,0.961698826405776,0.970875364177821,0.978729396580524,0.989485793876707,1.01025248178567,315,0,1
"phi.weight[16,1]",0.969621419771684,0.0133150760598586,0.93946207806292,0.962164294801598,0.971326251482283,0.979078794923166,0.989665146869319,1.01015563959421,316,0,1
"phi.weight[17,1]",0.970070694645683,0.0131501377412254,0.940307065565735,0.962659793276145,0.971809749528246,0.979370851451166,0.989847208014494,1.01005838021859,318,0,1
"phi.weight[18,1]",0.970513342959853,0.0129875252160791,0.941243926919784,0.963255569602999,0.972215894891162,0.979726602375104,0.990026086356742,1.0099607496988,320,0,1
"phi.weight[19,1]",0.970949458642338,0.0128272003530231,0.942064112797296,0.963830848219032,0.972605095357691,0.980076331104138,0.990201836539411,1.00986279329446,322,0,1
"phi.weight[20,1]",0.971379134461648,0.0126691256671788,0.942806703596304,0.964394258462343,0.97304226455607,0.98042983806835,0.990387607327923,1.00976455545719,324,0,1
"phi.weight[21,1]",0.97180246203446,0.0125132643130446,0.943589968919736,0.964919200718127,0.973456777393971,0.980728236308206,0.990572103877951,1.00966607980533,326,0,1
"phi.weight[22,1]",0.972219531833637,0.0123595800771821,0.944363113310292,0.965414136757411,0.973891214296794,0.981035906490605,0.990753087057462,1.0095674091006,328,0,1
"phi.weight[23,1]",0.972630433196428,0.0122080373707437,0.945045178812401,0.965882631727005,0.974292804850573,0.981337443296053,0.990930622606919,1.00946858522664,331,0,1
"phi.weight[24,1]",0.973035254332858,0.0120586012218588,0.945689595221913,0.966415877579047,0.97462893402136,0.981662759642773,0.991097153990223,1.00936964916974,333,0,1
"phi.weight[25,1]",0.973434082334281,0.0119112372678931,0.946326810676466,0.966842198754278,0.975005360323672,0.981911295309688,0.99124871685769,1.00927064100154,335,0,1
"phi.weight[26,1]",0.973827003182096,0.0117659117475949,0.946956896134961,0.967319120262328,0.975385490414842,0.982189743111987,0.991397650601306,1.00917159986348,337,0,1
"phi.weight[27,1]",0.974214101756607,0.0116225914931428,0.947634890637124,0.967808685125006,0.975734621863098,0.982489989372464,0.991547507588844,1.00907256395342,340,0,1
"phi.weight[28,1]",0.974595461846023,0.0114812439221073,0.948380832862906,0.968279907242495,0.976113005792833,0.982765902800046,0.991730472054344,1.00897357051367,342,0,1
"phi.weight[29,1]",0.974971166155576,0.0113418370293397,0.949112077868826,0.968736753596452,0.976469478348728,0.98307021395409,0.991893422386816,1.00887465582146,344,0,1
"phi.weight[30,1]",0.975341296316768,0.0112043393787991,0.949679589669189,0.96918843934471,0.976815843030911,0.983318731991623,0.992041605533234,1.00877585518048,347,0,1
"phi.weight[31,1]",0.97570593289671,0.0110687200953305,0.950210020796719,0.969590574472916,0.977180357396667,0.983575819120294,0.99220456413151,1.00867720291456,349,0,1
"phi.weight[32,1]",0.976065155407576,0.0109349488564034,0.950731925876362,0.970043619045471,0.977520191987445,0.983810268357113,0.9923716438502,1.00857873236278,352,0,1
"phi.weight[33,1]",0.976419042316127,0.0108029958838226,0.951518604416345,0.970512712349277,0.977820350830086,0.984035652183549,0.992515585012357,1.0084804758763,354,0,1
"phi.weight[34,1]",0.976767671053329,0.0106728319354196,0.952105394203684,0.970899517408882,0.978180320310954,0.984282244945341,0.992656821248136,1.00838246481662,357,0,1
"phi.weight[35,1]",0.97711111802404,0.0105444282967358,0.952659158873372,0.971256771325018,0.978547784104859,0.984530187417911,0.992795488906592,1.00828472955536,360,0,1
