"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",4.14818217583821,0.598977241110019,3.21190462107428,3.73945243242667,4.08248261960078,4.45251633109197,5.45027089432903,1.03492327642553,352,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta1[2]",-0.847352344615941,0.61439753100442,-2.21669481771048,-1.17835514713501,-0.805975610125747,-0.456656822196103,0.217459129090896,1.01744243492713,401,1,0.93
"beta1[3]",-1.13987371842249,0.63072173316736,-2.40922809443358,-1.50099232049384,-1.09551323901057,-0.73708207589564,-0.0517302366702722,1.022606869151,1169,0,0.977333333333333
"beta1[4]",-1.4515081603371,0.62518646295108,-2.84101545516764,-1.79762869728439,-1.38734801664021,-1.04317618976958,-0.388201011892427,1.02320383954839,489,0,0.998
"beta1[5]",-1.36381945568447,0.664743798178566,-2.76623116143986,-1.74532055301688,-1.31481796338294,-0.926021187171345,-0.188257278327916,1.01574099780839,779,0,0.991333333333333
"beta1[6]",-2.14852080212127,0.670226359132095,-3.60282702082501,-2.51817327983322,-2.08868637407167,-1.70308458714893,-1.04404569545024,1.01723700336653,587,0,1
"beta1[7]",-3.02676743261803,0.673133515518952,-4.50932793587252,-3.3748235058158,-2.95569071179872,-2.55958150712569,-1.94726318660988,1.02298869959621,804,0,1
"beta1[8]",-2.82660928747444,0.750077819585587,-4.31624589248432,-3.24497444221744,-2.75877741301955,-2.33825344855535,-1.52776135401025,1.02322289433524,456,0,1
"beta1[9]",-2.73708959585373,0.848212352566792,-4.51914155697934,-3.23725835271231,-2.7117251226975,-2.17654550845233,-1.18915785877295,1.01183612835471,390,0,0.998
"beta1[10]",-3.26417537156442,1.24112049869069,-5.46755741378935,-3.96177076298719,-3.29425646602056,-2.60099811469513,-0.978138958889855,1.00312864750651,1043,0,0.991333333333333
"beta1[11]",1.39124452019493,31.733317131596,-58.3475430846765,-20.6914319534368,1.06496485791562,23.3730216571934,64.135935491719,1.00104356080968,1500,1,0.512
"beta2[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta2[2]",0.157890856154064,0.263435591486485,-0.350709181485881,-0.0146497261231735,0.152874192282126,0.323196912288492,0.699625821824023,0.99940538425076,1500,1,0.722666666666667
"beta2[3]",0.0988383245988515,0.28030004707552,-0.424894865502483,-0.0919795558484839,0.0972107562808324,0.284276877287735,0.648066873873226,0.999618851792238,1500,1,0.636666666666667
"beta3",0.143708217199099,0.132110927531332,-0.106185107066495,0.0576304929908853,0.143098575287049,0.234382118233584,0.41145399140685,0.999140513609267,1500,1,0.867333333333333
"beta4",0.288094105474689,0.0557452326677551,0.196108872259192,0.248802069952247,0.28317045286639,0.319242167195249,0.413933301487854,1.0195720213272,346,0,1
"eps1[1]",0,0,0,0,0,0,0,NA,1,1,1
"eps1[2]",0.340576201355382,0.304957674055281,-0.0961041827142177,0.108142405104209,0.296735496172861,0.531654053252375,1.01333298945506,0.999272324446683,1500,1,0.892666666666667
"eps1[3]",-0.00875211320082399,0.236354352621962,-0.494483719931203,-0.14388470487036,-0.00217711757776073,0.121267447742045,0.482814996189235,0.999695967174226,1500,1,0.508
"eps1[4]",-0.208568423368503,0.241575832805132,-0.752409334970888,-0.353979012383275,-0.177858119783839,-0.0288459466683335,0.180937069588722,1.005511645236,1488,1,0.81
