"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"lambda",0.123356043104146,0.00753147173254912,0.109417138003568,0.118143669539598,0.123268546435492,0.128032803152587,0.139311019782655,1.00488631084295,366,0,1
"gamma",-1.0183224373849,0.0813917679488496,-1.18147647684814,-1.07175193130237,-1.01498255820548,-0.96172719982888,-0.862160605923125,0.999930390350895,1200,0,1
"age_decline",2.06921090705995,0.16728327443765,1.78292284720791,1.94838366076136,2.05500302210619,2.17564717973381,2.43880466409994,1.00146572495108,1200,0,1
"phi.age[1]",0.968280372866999,0.00410656728124439,0.95990613733652,0.965547219576361,0.968328855192914,0.971131822039739,0.976128699790574,1.00010692248374,1200,0,1
"phi.age[2]",0.957809512927719,0.00460838386474672,0.948695034011453,0.954664057905484,0.957830991378091,0.961034274090262,0.96687246462914,1.00054478287143,1200,0,1
"phi.age[3]",0.943953864125072,0.00506654897191431,0.934122638434163,0.940418166371942,0.943933950794594,0.94740782123793,0.953924979454739,1.00126622525443,928,0,1
"phi.age[4]",0.925688889133566,0.00549739352471413,0.915005079933403,0.92186704244547,0.925721303283393,0.92943946652467,0.936252497864584,1.00242340242426,612,0,1
"phi.age[5]",0.901739302141379,0.0060638810137533,0.889324454725692,0.897861083497215,0.901713251997653,0.905993875197713,0.912987686058805,1.00401817726884,422,0,1
"phi.age[6]",0.87056719616938,0.00724307089711553,0.855248225988721,0.8658581514538,0.870771304789135,0.87552218974284,0.884103110818188,1.00538010582009,347,0,1
"phi.age[7]",0.830406217687331,0.00982361548567958,0.810173175188236,0.824217873309124,0.830752597162791,0.837058528504669,0.849333768721025,1.00545747574022,376,0,1
"phi.age[8]",0.779384209865981,0.01451840815898,0.749922597025629,0.770340443473954,0.779737858139696,0.789221430653506,0.807416690584731,1.004496720703,500,0,1
"phi.age[9]",0.715794904537597,0.0216844987129561,0.672930968721352,0.701526816025238,0.716381435090939,0.730206657977884,0.756871104569409,1.00343303120912,705,0,1
"phi.age[10]",0.638587303403389,0.0312612954960454,0.576585089252485,0.618176381874816,0.639404632544325,0.659673244186913,0.697178467974485,1.00262654570606,969,0,1
"phi.age[11]",0.548110119749011,0.042539844244805,0.463464092378778,0.519608949929116,0.548749352709964,0.576835761214392,0.627657451851608,1.00205644635422,1200,0,1
"phi.age[12]",0.447026926172712,0.053822220205788,0.341410061936464,0.409698181304044,0.446502556894288,0.483970265581721,0.550562296051401,1.00163561811094,1200,0,1
"phi.age[13]",0.341057630367817,0.0623405013985068,0.222504984903749,0.297510657773802,0.339922353191696,0.384559738243043,0.46759597274708,1.00131410346213,1200,0,1
"phi.age[14]",0.238861869363759,0.0649244474686977,0.121096019549371,0.191742130251337,0.235642883402259,0.282002177116141,0.374619147919369,1.00111979549057,1200,0,1
"phi.age[15]",0.150301187122852,0.0596156407627989,0.0513222746659571,0.10648035239767,0.144059523057782,0.188551126338706,0.281499859355061,1.0011839431999,1200,0,1
"phi_diff[2]",-0.0104708599392804,0.000654671536806758,-0.0118067044539084,-0.0108977615543041,-0.0104845386381746,-0.0100295315839865,-0.00920518380142633,1.00449871604174,392,0,1
"phi_diff[3]",-0.0138556488026468,0.000798489253689725,-0.0155418723792459,-0.0143745554599801,-0.0138357840355995,-0.013304339872084,-0.0123591372366402,1.00577725737688,328,0,1
"phi_diff[4]",-0.0182649749915062,0.00111960455101997,-0.0205887727931137,-0.0189710583227775,-0.0182178707720115,-0.0175298112933095,-0.0161030095391392,1.00540563050598,369,0,1
"phi_diff[5]",-0.0239495869921874,0.00171971268257424,-0.0274007031765637,-0.0250763056624896,-0.0239405294185571,-0.0228120703644121,-0.0206421073733063,1.00408248650712,513,0,1
"phi_diff[6]",-0.0311721059719984,0.00268049442104506,-0.0364351334907726,-0.0329674496057129,-0.0311102888022852,-0.0293995825873893,-0.0260671112137146,1.00289863322628,761,0,1
"phi_diff[7]",-0.0401609784820497,0.00406609212776475,-0.0482695654724398,-0.0429199159812782,-0.0400960426588574,-0.0374397181472844,-0.0325023984167938,1.00210262290985,1118,0,1
"phi_diff[8]",-0.0510220078213499,0.00589556091159044,-0.0627349856597516,-0.0549650286282828,-0.0509703215253616,-0.0469416909921921,-0.0398217709357831,1.00159867870473,1200,0,1
"phi_diff[9]",-0.0635893053283839,0.00807240195154496,-0.0799237280707691,-0.0689623836741096,-0.0634100415725694,-0.05796766935015,-0.0484153598206248,1.00126265969975,1200,0,1
"phi_diff[10]",-0.0772076011342078,0.0102765375162458,-0.0983742665566053,-0.0838539663923576,-0.0769282013818632,-0.0699412217945182,-0.0580258512923475,1.00099398347047,1200,0,1
"phi_diff[11]",-0.090477183654378,0.0118531900981624,-0.115071341579983,-0.0983946122775214,-0.0901711242400018,-0.0821781516156453,-0.0678343317733829,1.000712124961,1200,0,1
