"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.17845111121623,0.186724050924146,1.81393045302845,2.05109269615745,2.17375724137805,2.30466576587154,2.55495105721653,1.00315600379837,531,0,1
"beta1",-1.5607649190324,0.149716577149919,-1.87276554534087,-1.65580436822979,-1.55722841339889,-1.45907608649995,-1.2894723193322,0.999343049803427,1500,0,1
"beta2",0.169397557627428,0.041290981059669,0.0872301931059827,0.14310383867145,0.169832464970948,0.197131533961128,0.249575636169691,1.00244094877253,1265,0,1
"beta3",0.282715575886891,0.177941693296388,-0.0625636793826934,0.16532712031726,0.282780926255556,0.39276690604087,0.633195712816856,1.00181360325056,1500,1,0.951333333333333
"beta4[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta4[2]",-0.279289528981075,0.217111626915005,-0.701132928203839,-0.429524024238636,-0.274559691502802,-0.132280427510211,0.135192398653993,1.00069853255086,1500,1,0.902
"beta5[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta5[2]",-0.0709897460463917,0.187034337514528,-0.442512327964573,-0.198015289915199,-0.0658740375319236,0.0577602092471431,0.301191898303579,1.00184912343104,885,1,0.635333333333333
"eps2[1]",0,0,0,0,0,0,0,NA,1,1,1
"eps2[2]",-0.0563605481132671,0.241492890903167,-0.521799084734099,-0.219726735722959,-0.0488960608302698,0.0964216789615169,0.427681972962667,0.999888301053711,1500,1,0.594
"eps2[3]",0.176591163849631,0.233377310514839,-0.251896255766447,0.0137832061313138,0.16741128411193,0.326653760641948,0.645262025440668,1.00321589166189,1500,1,0.77
"eps2[4]",0.472865355911133,0.264314307461272,0.0131855520051177,0.287264692212244,0.447531149686004,0.649082256168991,1.01028628377741,1.00178262938588,1222,0,0.98
"eps2[5]",0.427314732177687,0.25691019243836,-0.0407347458419495,0.247055134560287,0.418046750715894,0.596262672035843,0.965882752352706,1.00158941898858,927,1,0.961333333333333
"eps2[6]",-0.106049587350395,0.23352638780582,-0.563685747534632,-0.272617940743811,-0.10052764805266,0.0467375338740709,0.358797066695982,1.00141117592102,999,1,0.676
"eps2[7]",-0.283191800860273,0.252347757532332,-0.804672094115231,-0.455539189631265,-0.269181476296805,-0.116161393190228,0.194358886199907,1.00033371606136,1500,1,0.878666666666667
"eps2[8]",-0.334401018637306,0.279629680112682,-0.873305073090926,-0.52068133234316,-0.329280913495267,-0.133716836497789,0.187334977618263,1.00005825845556,1500,1,0.887333333333333
"eps2[9]",-0.144560676903081,0.311717132598954,-0.784531079760937,-0.341979880757493,-0.128790226799657,0.0566026104256615,0.467521110343914,0.999706171475047,1500,1,0.682666666666667
"eps2[10]",-0.264113613151112,0.324932273372487,-0.965194847345514,-0.454013550064008,-0.239426748329369,-0.0507759024232311,0.340562340118934,1.00428762577726,636,1,0.804
"eps2[11]",0.218480174037851,0.415795597495615,-0.531261123815191,-0.0440864445129312,0.189733312144377,0.444258214555252,1.18654404542023,1.00009881748336,1500,1,0.702666666666667
"eps2[12]",0.041419548275171,0.3896230518865,-0.701170822207084,-0.196830110166917,0.0221514564126458,0.251822581561004,0.924649341395245,1.00530561183819,444,1,0.531333333333333
"eps2[13]",-0.238308489210811,0.405012397379095,-1.11909465292744,-0.474369991805278,-0.204314357398461,0.0314960822861083,0.485748803810688,1.00188871467368,1500,1,0.716
"eps2[14]",-0.0433578286521906,0.4602789131203,-0.97152811511414,-0.318969616913897,-0.029912065102335,0.209523231416741,0.910883522511354,1.00041147448295,1500,1,0.535333333333333
"eps2[15]",0.00465968088717045,0.460533893451557,-0.96753262815581,-0.247021952587137,0.0127753047599349,0.268101275749718,0.909660054737896,1.00220787321414,729,1,0.516666666666667
