"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.12539696402684,0.189560235062133,1.78625988146408,1.99830621415961,2.11962898896101,2.23885614478936,2.51301209559227,1.00384082819259,1262,0,1
"beta1",-1.56973612131078,0.149990001257731,-1.86711476417507,-1.66852909732159,-1.56866194019277,-1.47238029751358,-1.28104555657203,1.00519016888742,493,0,1
"beta2",0.165537816592968,0.0406930481180195,0.084305162356188,0.139690522642258,0.1655969758896,0.192188776917545,0.243919586798381,1.00539379217564,408,0,1
"beta3",-0.0179279201484747,0.16200884358375,-0.327422692684454,-0.124487406375007,-0.0183129412382264,0.0917936978589272,0.309485096337241,1.00250144854719,1173,1,0.554666666666667
"beta4[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta4[2]",0.0107739956990644,0.175669978833753,-0.335860395711513,-0.102364840935162,0.00884497795045999,0.126423800498203,0.364004382041084,1.00119678208602,1229,1,0.523333333333333
"beta5[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta5[2]",0.00243895128889535,0.175006114651977,-0.358156701092537,-0.104159355844103,0.00331149949326021,0.115610765622177,0.345030854178689,1.00006780741071,1500,1,0.507333333333333
"eps2[1]",0,0,0,0,0,0,0,NA,1,1,1
"eps2[2]",-0.0661301623222295,0.265478186057638,-0.635286333980696,-0.226738886260789,-0.0513078387444962,0.0956315980145564,0.436463018264157,1.00255230105562,604,1,0.590666666666667
"eps2[3]",0.161770749726011,0.258752476016568,-0.343895584016101,-0.00577508060803356,0.153328625128699,0.322622987621479,0.690967272552537,1.00113117513745,1179,1,0.743333333333333
"eps2[4]",0.466914231527639,0.264382035525067,-0.0188657431848943,0.279309689034351,0.45901309036696,0.639763805442709,1.00128360287347,1.00174724502812,1500,1,0.968666666666667
"eps2[5]",0.404904595056506,0.308217874864927,-0.120276779662032,0.192616345388769,0.374489125263243,0.598536382502403,1.07889592129942,1.00217859500881,1096,1,0.928666666666667
"eps2[6]",-0.13254236478933,0.277989549287701,-0.700036289975259,-0.292349316580649,-0.117635505535083,0.0443190359165733,0.402786116600984,1.0017757966257,1500,1,0.688
"eps2[7]",-0.304425924354935,0.259577253037303,-0.859496825307892,-0.471915002507746,-0.281406969315136,-0.115154077182257,0.132453564618192,1.00005966543623,1500,1,0.882666666666667
"eps2[8]",-0.364317072118045,0.303983563749922,-0.990123631466563,-0.562543550685774,-0.346297257634465,-0.150570988566246,0.160547700637761,1.00301388028565,818,1,0.896
"eps2[9]",-0.174819119713813,0.321827297969105,-0.88737165814373,-0.363953850554759,-0.140368143258799,0.0261580472049205,0.4165563182034,1.00242756330386,798,1,0.714
"eps2[10]",-0.314661391453526,0.353761850601744,-1.07383986630995,-0.534765714220504,-0.278193258073741,-0.0633405416818257,0.299602462675596,1.00194009891928,1500,1,0.838
"eps2[11]",0.230091062863309,0.434193644456591,-0.482160257952562,-0.0409720966203246,0.155954037989601,0.44792073449509,1.21782084420822,1.00231275427456,1500,1,0.702666666666667
"eps2[12]",0.0430256416664648,0.418144821478192,-0.746375947795003,-0.201106498794736,0.0165940734434813,0.265372103657678,0.942812543494769,1.00127692679071,1054,1,0.527333333333333
"eps2[13]",-0.298588220701419,0.437666469281155,-1.2346420780419,-0.556014715264857,-0.238136236425111,-0.00940977434249948,0.44954371213648,1.00065299569065,1500,1,0.762
"eps2[14]",-0.0268994812195406,0.491887869517447,-1.00038463610583,-0.302397589383042,-0.0188904807014673,0.219178442120398,1.02118148732386,1.00018283489539,1500,1,0.533333333333333
"eps2[15]",-0.00899960626539872,0.494562395811905,-1.02730168116441,-0.268879131401509,0.0122108245922468,0.269949254949995,0.941051466049601,1.00168699051795,1430,1,0.478666666666667
"surv_diff[1,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[50,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[100,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[1,2]",-0.000200225570110286,0.0305309047763806,-0.0630465088856846,-0.0194354071539655,-6.00709985559278e-05,0.018564241984898,0.0620242714563222,1.00088032961783,1500,1,0.501333333333333
"surv_diff[50,2]",0.000948637875035781,0.0190390494090746,-0.038422619711679,-0.0116313388102554,0.00106914852350259,0.0132960269617537,0.0382951780927217,1.00317679006545,1076,1,0.527333333333333
"surv_diff[100,2]",0.00646019648560248,0.0491983151808669,-0.0844246648758524,-0.0261354485618707,0.00419096605933811,0.0367032901367882,0.110409376149112,1.0023676929525,968,1,0.543333333333333
"survival[1,1]",0.891739982565853,0.0315552960974292,0.822851652048531,0.874023074304618,0.894889325614818,0.913893170620936,0.944303530150273,1.00114192652559,1500,0,1
"survival[2,1]",0.891802171203204,0.0309959571090778,0.824136201114402,0.874310683247954,0.894803500782572,0.913455492958294,0.943634958343121,1.00110248358763,1500,0,1
"survival[3,1]",0.891861214237805,0.0304427903853021,0.825346986850391,0.874770994195289,0.894829054921627,0.912883456202629,0.94295880164525,1.00106425896475,1500,0,1
"survival[4,1]",0.89191710526691,0.0298959745712357,0.826735859412659,0.874968214434423,0.894820275461335,0.912500669638279,0.942277932441277,1.0010273937568,1500,0,1
"survival[5,1]",0.891969838016557,0.0293557008426643,0.82773465767302,0.875399198514039,0.894719593526827,0.912239076996639,0.941591704862354,1.00099203988051,1500,0,1
"survival[6,1]",0.892019406337939,0.0288221737745958,0.828745827961923,0.875639046222592,0.894648639538249,0.91206469356725,0.940917107891396,1.00095836051324,1500,0,1
"survival[7,1]",0.892065804203785,0.0282956122459917,0.829674720096731,0.875832523938992,0.894604595931947,0.911595495827461,0.94030470629215,1.00092653046947,1500,0,1
"survival[8,1]",0.892109025704743,0.0277762503774865,0.830702321196818,0.875923356761026,0.894657869679522,0.911259835267314,0.939686339183827,1.00089673648493,1500,0,1
"survival[9,1]",0.892149065045771,0.02726433849754,0.83207971256876,0.876016140306475,0.89453196919855,0.911054414417811,0.939062013955487,1.00086917737818,1500,0,1
"survival[10,1]",0.892185916542556,0.0267601441307847,0.833696320775282,0.87634928490986,0.894482709449463,0.910660875119253,0.938391439103077,1.0008440640545,1500,0,1
"survival[11,1]",0.892219574617947,0.0262639530003269,0.835132077186105,0.876681830432558,0.894338039704172,0.910281775473203,0.937548880878771,1.00082161931151,1500,0,1
"survival[12,1]",0.89225003379842,0.0257760700333688,0.835871137562931,0.876701229870625,0.894208237823898,0.910075998219919,0.936903682084308,1.00080207740004,1500,0,1
"survival[13,1]",0.892277288710587,0.0252968203567203,0.836894993096721,0.877051863486967,0.894140355428109,0.90964663302736,0.936219584479235,1.00078568328858,1500,0,1
"survival[14,1]",0.892301334077737,0.0248265502655184,0.838142753585549,0.877236767371014,0.894019145336012,0.909347184537145,0.935479856918063,1.0007726915746,1500,0,1
"survival[15,1]",0.892322164716433,0.0243656281447484,0.839812133956955,0.877565781231609,0.893798699436298,0.909057040708334,0.934928018002886,1.00076336498186,1500,0,1
"survival[16,1]",0.892339775533156,0.0239144453189479,0.841344782229719,0.877828051230461,0.893755694693668,0.908701114458806,0.934095545627514,1.00075797238127,1500,0,1
"survival[17,1]",0.892354161521016,0.0234734168007988,0.8419810744397,0.877965371175165,0.89383641650813,0.908487454820377,0.933475070969629,1.00075678627218,1500,0,1
"survival[18,1]",0.892365317756526,0.0230429819042054,0.843001805394525,0.878242211564856,0.893843118650198,0.908081774768512,0.932902141058707,1.0007600796658,1500,0,1
"survival[19,1]",0.892373239396444,0.0226236046820204,0.844088470828656,0.878491957431308,0.893819626411032,0.907696240031184,0.932279372522354,1.00076812232002,1500,0,1
"survival[20,1]",0.892377921674696,0.0222157741429599,0.844762492604537,0.878569116585233,0.893698445633555,0.907260227121636,0.931662450266492,1.00078117628949,1500,0,1
"survival[21,1]",0.892379359899381,0.0218200041966618,0.845934382732441,0.878713761737405,0.893790943929864,0.907051184451411,0.931049114137469,1.00079949077553,1500,0,1
"survival[22,1]",0.89237754944986,0.0214368332706012,0.847019286419653,0.878870554993181,0.893827229643296,0.906725909016433,0.930578658493324,1.00082329628926,1500,0,1
"survival[23,1]",0.892372485773949,0.0210668235380858,0.847669547548703,0.878879376207931,0.89371182922174,0.906406862337641,0.930035127488669,1.00085279817862,1500,0,1
"survival[24,1]",0.892364164385196,0.0207105596933247,0.848631567178083,0.879104958590725,0.893679600079285,0.906328719626172,0.929462841666117,1.00088816961483,1500,0,1
"survival[25,1]",0.892352580860274,0.0203686472082258,0.849741550401935,0.879312274153159,0.893496616690728,0.906149302238539,0.929010469985247,1.00092954418658,1500,0,1
"survival[26,1]",0.892337730836482,0.0200417100068434,0.85085084007418,0.879476944228062,0.893459848677777,0.905909391772334,0.928643472301426,1.00097700830711,1500,0,1
"survival[27,1]",0.892319610009359,0.0197303874980576,0.851594216050655,0.879533021278628,0.893375876183458,0.905912667330982,0.92822303294845,1.00103059369786,1500,0,1
"survival[28,1]",0.892298214130418,0.0194353309159383,0.852112773213407,0.879674176763961,0.893160174315898,0.905664958857337,0.927891900072534,1.00109027026592,1500,0,1
"survival[29,1]",0.89227353900501,0.0191571989310628,0.852331551276189,0.879750879903338,0.892977696006027,0.905284894559722,0.927494490530805,1.00115593973561,1500,0,1
"survival[30,1]",0.892245580490315,0.018896652515426,0.853121253987629,0.879838867487611,0.892919622844605,0.904978887638078,0.927215705099085,1.00122743041929,1500,0,1
"survival[31,1]",0.892214334493475,0.0186543490687985,0.854106456844282,0.880156044319331,0.892836256288379,0.904693422343262,0.926896179709271,1.00130449351073,1500,0,1
"survival[32,1]",0.892179796969867,0.0184309358453278,0.854980274519722,0.880391495951845,0.892933110219202,0.904450140734893,0.926560473344731,1.00138680125122,1500,0,1
"survival[33,1]",0.89214196392152,0.0182270427551504,0.855768160922277,0.880508086748108,0.892842258562987,0.904243139394123,0.926332267134256,1.00147394725035,1500,0,1
"survival[34,1]",0.892100831395692,0.0180432746553961,0.856347777488665,0.880670769974605,0.89287205502357,0.903878763234607,0.925932671451218,1.00156544914012,1500,0,1
"survival[35,1]",0.892056395483603,0.0178802032861092,0.856321032698915,0.880685935467871,0.892850865856125,0.90393206882801,0.925307990345097,1.0016607536112,1500,0,1
"survival[36,1]",0.89200865231933,0.0177383590464237,0.856598977828755,0.880672822093689,0.892747180046811,0.903652238509465,0.924996039846163,1.00175924373311,1500,0,1
"survival[37,1]",0.891957598078876,0.017618222841428,0.857038401801999,0.880847173742131,0.892575108780869,0.903548493285924,0.924820862246465,1.00186024831484,1421,0,1
"survival[38,1]",0.89190322897941,0.0175202182568166,0.857423734650622,0.880997933483114,0.892341265180894,0.903618918608637,0.924691459491926,1.00196305293439,1285,0,1
"survival[39,1]",0.891845541278695,0.0174447043330809,0.857588756307654,0.880931816560559,0.892228642423281,0.90367479630141,0.924787735093565,1.00206691217446,1169,0,1
"survival[40,1]",0.891784531274694,0.0173919692106258,0.857285687290449,0.880900599420751,0.892351190642611,0.9032958475057,0.924709713418827,1.00217106255676,1072,0,1
"survival[41,1]",0.891720195305376,0.0173622248998956,0.857336814904978,0.881325795738808,0.892375787822993,0.903356791117319,0.924910176979116,1.00227473567394,988,0,1
"survival[42,1]",0.891652529748716,0.0173556033959405,0.856974936608475,0.881387992470507,0.892243134762083,0.903342572311807,0.924795992085646,1.00237717106945,917,0,1
