"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.48834659475887,0.252657934217498,2.01290399886758,2.31688659810837,2.47691038133635,2.6381117167945,3.03155519487176,0.999971873979822,1200,0,1
"beta1",-1.04075560659213,0.149729283065768,-1.36424799318998,-1.13243712598574,-1.03486555039278,-0.943044746435519,-0.767432961104396,1.00100243074468,1200,0,1
"beta2",0.261336893822717,0.0472788696242461,0.183881293765027,0.22767548186262,0.257500225236353,0.289254954095133,0.364969808307676,1.00011078207236,1200,0,1
"beta3",-0.196196819583643,0.250057677191707,-0.663571447929679,-0.362454259656685,-0.207556079869603,-0.0446790574558314,0.326344426859617,1.00136771802636,1200,1,0.795833333333333
"beta4[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta4[2]",0.187306941977987,0.276522113426601,-0.348337784470122,0.00478660825352415,0.184492521677508,0.369537413617335,0.720201789026943,1.00142648862275,1068,1,0.755
"beta4[3]",-0.0974697023757394,0.316173057984849,-0.726011440859598,-0.304752245661549,-0.106188473938528,0.112308667800046,0.548998412321827,1.00074159160239,1092,1,0.631666666666667
"beta5[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta5[2]",-0.0289063263663887,0.263334905359288,-0.531329504586911,-0.212968800229744,-0.0324516167213737,0.152129356831566,0.509789018866082,1.00013640451899,1200,1,0.541666666666667
"beta5[3]",-0.0534625762108665,0.272311370806539,-0.600418048234236,-0.235125147628375,-0.0516176402898272,0.119663807054317,0.502560969632546,1.00063570935849,1200,1,0.593333333333333
"eps2[1]",0.00721846135580872,0.374030709765367,-0.78381728886475,-0.14780175013215,0.000350968688267643,0.161779051903771,0.887681414806449,1.0024950759743,1200,1,0.5025
"eps2[2]",0.282559536702097,0.316817636921385,-0.154551110860157,0.036448569421464,0.219867292161331,0.46301917100206,1.05905054008957,0.999747570157441,1200,1,0.851666666666667
"eps2[3]",-0.0302133256299664,0.221490150072795,-0.473643860360051,-0.151402309470626,-0.0267342989659656,0.0850315540426243,0.426749374811631,1.00246447086405,1200,1,0.600833333333333
"eps2[4]",-0.107699526095094,0.258863103790514,-0.7411410285315,-0.235836147822828,-0.0643760912927406,0.040566631914541,0.331079168849218,1.00354356809207,1200,1,0.639166666666667
"eps2[5]",-0.0886471090073653,0.226579578681127,-0.592488691702026,-0.219310955302428,-0.0449621970008085,0.0405237711642634,0.305895105757855,1.00014776817461,1200,1,0.649166666666667
"eps2[6]",-0.0231128752863723,0.262849251748806,-0.605438502238701,-0.153195997046821,-0.00374859405229058,0.113127243824544,0.495121758871138,1.00105131084637,1200,1,0.518333333333333
"eps2[7]",-0.146632196396732,0.272754441069402,-0.812251643995495,-0.289492255703455,-0.100221794170855,0.0103525120705649,0.322352217876587,1.00495649947988,482,1,0.706666666666667
"eps2[8]",0.222094090494011,0.377221791436953,-0.323472800723875,-0.00404133097327727,0.124455434974471,0.382150448599421,1.18706737223242,0.999193388764829,1200,1,0.730833333333333
"eps2[9]",0.0404944804755721,0.334238403141313,-0.644036096914124,-0.114633004182719,0.0114380615740168,0.182254703337892,0.731485855892769,1.00329253638283,1200,1,0.546666666666667
"eps2[10]",-0.123080098874112,0.321183429822495,-0.928488580137141,-0.25761388962121,-0.0560399678428802,0.0450512020804799,0.451667552929426,1.0070737225583,430,1,0.651666666666667
"eps2[11]",-0.051775499615487,0.349166809062074,-0.833915736041689,-0.200440630222102,-0.014568539367531,0.109706583408271,0.666310053227927,1.00306353064109,1200,1,0.564166666666667
"eps2[12]",0.00767454157158104,0.413962476417892,-0.795445206303265,-0.159366168352092,-0.00159537967132144,0.148843282129302,1.00715447324417,1.00902019580817,539,1,0.494166666666667
"surv_diff[1,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[50,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[100,1]",0,0,0,0,0,0,0,NA,1,1,1
"surv_diff[1,2]",-0.0201960954898587,0.0295323465168994,-0.0823105497227015,-0.0383953977770842,-0.0171252329849702,-0.000789831772571831,0.0323026641940876,1.00084041790836,1200,1,0.76
"surv_diff[50,2]",0.00137203657326704,0.0208460462760351,-0.0391433363410896,-0.0126626579097455,0.000564899677215791,0.0155786588202011,0.0432690996549777,1.00143236414101,1084,1,0.515
"surv_diff[100,2]",0.0338318903987109,0.0606973237178793,-0.0720927431400768,-0.00753738970922468,0.0270918485939511,0.0687025761690578,0.167831109090942,1.00091980589107,962,1,0.695
"surv_diff[1,3]",0.00336745968798321,0.026252522443658,-0.054061450281138,-0.0123625011171518,0.00435510340680351,0.0200243474250851,0.0562028875337052,1.00007790839392,1200,1,0.575833333333333
"surv_diff[50,3]",-0.00579032101611179,0.0229573528449532,-0.0519306273185053,-0.0202288058281603,-0.00540191788799055,0.00842478255736906,0.0395977346765327,1.00080465203289,1200,1,0.614166666666667
"surv_diff[100,3]",-0.0275096764588803,0.0826976470870706,-0.190325591921531,-0.0756103826210653,-0.0255671172723604,0.0226226567047183,0.132503380565173,1.00194849789597,1200,1,0.645
"survival[1,1]",0.937783880098397,0.021581703113356,0.884242355116235,0.926624115001133,0.941155361751533,0.953079241305732,0.969334916910854,1.00379423054928,1200,0,1
"survival[2,1]",0.937515421310493,0.0212721644390571,0.884376852795548,0.926458205276375,0.940797255281526,0.952514461712551,0.969060290490498,1.00370145237261,1200,0,1
"survival[3,1]",0.937242162058671,0.020967256814173,0.885037140950624,0.926449801949392,0.940401136892231,0.951980378560085,0.968702736247585,1.00360758404814,1200,0,1
"survival[4,1]",0.936964056498742,0.0206672296083954,0.88536938179483,0.926204796726556,0.940003620962095,0.951408158274681,0.968209486765027,1.00351242099135,1200,0,1
"survival[5,1]",0.936681058263116,0.0203723526388115,0.885400346674543,0.92589868626912,0.939560504626716,0.951071280805485,0.967704397451658,1.00341574877693,1200,0,1
"survival[6,1]",0.936393120459556,0.0200829172607497,0.885930223541842,0.925531879787818,0.939166456245973,0.950811774740925,0.967113595393705,1.00331734438976,1200,0,1
"survival[7,1]",0.936100195670322,0.019799237440068,0.886543204112464,0.925347896496383,0.938747826082668,0.950342893362083,0.966432256763194,1.00321697799926,1200,0,1
"survival[8,1]",0.935802235951695,0.019521650787462,0.887250420885022,0.925223771766019,0.938310212424964,0.949838887852103,0.965876986220878,1.00311441535892,1200,0,1
"survival[9,1]",0.935499192833916,0.0192505195314463,0.887886172314999,0.92517355622537,0.937781896369144,0.949122109126766,0.96541132129371,1.00300942094,1200,0,1
"survival[10,1]",0.935191017321546,0.0189862314023746,0.888000344628825,0.924853499746579,0.937462370446771,0.948517797448769,0.964838544460338,1.002901761911,1200,0,1
"survival[11,1]",0.934877659894267,0.018729200395261,0.888300001383904,0.924507781568486,0.937214709151066,0.948064644617637,0.964370888017613,1.002791213072,1200,0,1
"survival[12,1]",0.93455907050814,0.0184798673743641,0.888428977679522,0.924297828558797,0.936824312638709,0.947572083901355,0.963957561553829,1.00267756284103,1200,0,1
"survival[13,1]",0.934235198597348,0.0182387004776572,0.889572173542095,0.924005509539741,0.936414657130656,0.946994176335105,0.96375131084015,1.00256062036736,1200,0,1
"survival[14,1]",0.933905993076426,0.0180061952746632,0.890214390980934,0.923866333888555,0.936099296660776,0.946385098167994,0.96297479125718,1.00244022380907,1200,0,1
"survival[15,1]",0.933571402343006,0.0177828746269881,0.891263618713392,0.923575383323647,0.935587794753034,0.945864213756485,0.96267561643701,1.00231624975807,1200,0,1
"survival[16,1]",0.933231374281103,0.0175692881976149,0.89168370126904,0.923291716686468,0.93520319900633,0.94527410771727,0.962404633179503,1.00218862372112,1200,0,1
"survival[17,1]",0.932885856264945,0.0173660115531038,0.891831740516235,0.922999513514144,0.934682493042651,0.944766226935425,0.961904319039541,1.00205733146856,1200,0,1
"survival[18,1]",0.93253479516338,0.0171736448028047,0.892512461108364,0.922682849747473,0.934241361391397,0.944297971205004,0.961210333168803,1.00192243094587,1200,0,1
"survival[19,1]",0.932178137344878,0.016992810721628,0.89264046972537,0.922565645267282,0.933736091906855,0.94385370670418,0.960551984022107,1.00178406430654,1200,0,1
"survival[20,1]",0.931815828683147,0.0168241523084479,0.891882249597147,0.922405182071696,0.933267087182343,0.943313143807441,0.959848630750436,1.00164246947791,1200,0,1
"survival[21,1]",0.931447814563377,0.0166683297414005,0.892286156731209,0.921972732130557,0.93285320533498,0.942757322853305,0.959172273392707,1.00149799052424,1200,0,1
"survival[22,1]",0.931074039889155,0.0165260167046723,0.892630769990811,0.921614838103055,0.932366160826196,0.942421531412348,0.958653801861315,1.00135108594037,1200,0,1
"survival[23,1]",0.930694449090043,0.0163978960791189,0.892992497846955,0.921284477634052,0.931806057108978,0.941991060316209,0.958344194375541,1.00120233391518,1200,0,1
"survival[24,1]",0.930308986129868,0.0162846550112213,0.893056703299047,0.920833398386626,0.931367908737289,0.941649416810439,0.957951706186945,1.0010524335721,1200,0,1
"survival[25,1]",0.929917594515728,0.0161869794010729,0.892852296769318,0.920373103791434,0.930944500785766,0.941216829820992,0.95746301899732,1.00090220124736,1200,0,1
"survival[26,1]",0.929520217307746,0.016105547879438,0.892647362039212,0.920085420528657,0.930571629379559,0.940865437576896,0.956976526733534,1.00075256102772,1200,0,1
"survival[27,1]",0.92911679712959,0.0160410253750668,0.892755043362228,0.919544998060318,0.930063949838772,0.94030672600083,0.956482267955893,1.00060452905043,1200,0,1
"survival[28,1]",0.928707276179784,0.0159940564045013,0.893044126792017,0.919184330916847,0.929591051283239,0.939956749602431,0.955982583945031,1.00045919146689,1200,0,1
"survival[29,1]",0.928291596243835,0.0159652582452725,0.892709222290789,0.918698604196213,0.92928368975569,0.939395649066805,0.95560117529293,1.00031767646836,1200,0,1
"survival[30,1]",0.927869698707188,0.0159552141771002,0.893268202608968,0.91850339434429,0.92864995887363,0.938866448493401,0.955693297527185,1.00018112132694,1200,0,1
"survival[31,1]",0.927441524569049,0.0159644669919054,0.893776187703426,0.918034241439881,0.928174368369917,0.938296499386624,0.95506940759137,1.00005063595657,1200,0,1
"survival[32,1]",0.927007014457084,0.0159935129798358,0.893332709754987,0.917452624650318,0.92781897090666,0.937856677384871,0.954921394386856,0.999927264977113,1200,0,1
"survival[33,1]",0.926566108643027,0.0160427965934366,0.892379440291447,0.917077526870942,0.927621318656556,0.93746655874743,0.954408740293347,0.999811950594563,1200,0,1
"survival[34,1]",0.926118747059206,0.0161127059748078,0.891647375681748,0.916634256189919,0.927120253976406,0.936963965911365,0.954127561674254,0.999705498730155,1200,0,1
"survival[35,1]",0.925664869316031,0.0162035695014305,0.890625347012572,0.915713091982752,0.92662403260921,0.936637542530511,0.953998062823841,0.999608550704105,1200,0,1
"survival[36,1]",0.925204414720443,0.01631565346686,0.88989933038675,0.915002336068582,0.926256096157291,0.936271634343649,0.953759804778493,0.999521562402846,1200,0,1
"survival[37,1]",0.924737322295358,0.0164491609652837,0.889427645049138,0.914593316143732,0.925973831352223,0.935833591017129,0.953773665852419,0.999444792269332,1200,0,1
"survival[38,1]",0.924263530800129,0.0166042319974772,0.889123902844851,0.914205522254932,0.925310310492679,0.935455162879971,0.953483968127245,0.999378298724163,1200,0,1
"survival[39,1]",0.923782978752036,0.0167809447638357,0.887874172345408,0.913520902774513,0.924708749430793,0.935177595295603,0.953301282985807,0.999321946843873,1200,0,1
"survival[40,1]",0.923295604448837,0.01697931806178,0.886676589391141,0.912519452372008,0.924295285866733,0.934678797618213,0.953352038836167,0.999275423391036,1200,0,1
"survival[41,1]",0.922801345992385,0.0171993146633381,0.885276751660282,0.911969825742832,0.924013403135795,0.934275881523839,0.953474655776671,0.999238258694361,1200,0,1
"survival[42,1]",0.922300141313345,0.0174408455166657,0.883870451478593,0.911326886664785,0.923436204824613,0.93413331379919,0.953625232507427,0.99920985347816,1200,0,1
"survival[43,1]",0.921791928197014,0.0177037745942328,0.882858835575173,0.91041721994841,0.922829745253991,0.933777345195433,0.953775136706729,0.999189508564876,1200,0,1
