"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.24067452637791,0.277845870663978,2.73155830753691,3.05345118962842,3.22643802117468,3.41325034427052,3.81660844601861,1.0127832972442,154,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta1[2]",-0.166082072948733,0.33492759943835,-0.811341387798676,-0.389802567387362,-0.181542140675538,0.0552013572410573,0.474799919284046,0.999832716981152,1200,1,0.691666666666667
"beta1[3]",-0.0811172125580022,0.350008084943439,-0.759993445238267,-0.320458447299166,-0.0845699373536194,0.151146182477683,0.63175744794318,1.00391893142512,423,1,0.600833333333333
"beta1[4]",-0.613930279277026,0.325730412553498,-1.23772712306736,-0.828002692058671,-0.615780243132438,-0.38744152875492,0.0102404750036959,1.00335372687775,717,1,0.973333333333333
"beta1[5]",-0.242890022450027,0.362461420077242,-0.94740417117354,-0.479539080373616,-0.235033078789142,-0.00670567419678048,0.489404035939039,1.00747871632527,285,1,0.7575
"beta1[6]",-0.78747430134636,0.351170237361958,-1.50502774927196,-1.02633011206721,-0.771555732643896,-0.560758348498043,-0.0940290990387751,1.00599186546939,348,0,0.990833333333333
"beta1[7]",-1.87412096711507,0.311454297022779,-2.50941466221849,-2.05801070275762,-1.86753224304155,-1.66866966596889,-1.27083913067075,1.00681922984732,271,0,1
"beta1[8]",-1.56666135075362,0.367111224258007,-2.26300545865443,-1.81039532452401,-1.57809526573799,-1.33561566077898,-0.833433551054606,1.00155726540253,730,0,1
"beta1[9]",-2.25208093138839,0.364047354151446,-3.00795537443385,-2.50295927990488,-2.23046918695264,-2.0031361862507,-1.5763273580879,1.00884897889431,206,0,1
"beta1[10]",-3.04051785840009,0.398684807770016,-3.79626979362964,-3.31025589869334,-3.02670321420273,-2.77315777390124,-2.25923952421867,1.00230100649485,629,0,1
"beta1[11]",-4.01199370239544,0.585465659581336,-5.19240609098375,-4.38533937639178,-4.00417258412796,-3.6213958586317,-2.88610548740134,1.00007197936521,1200,0,1
"beta1[12]",-10.6582109285993,5.60711858818981,-24.3426633955342,-13.6260797843163,-9.58898592601643,-6.56136165296868,-3.1181076292582,0.999792050392841,1200,0,0.999166666666667
"beta1[13]",-0.303196634972134,10.0999334252239,-19.8054142535413,-7.02320726407919,-0.520168506863807,6.41335032384841,19.8269847538346,1.00153634866585,1107,1,0.513333333333333
"beta1[14]",0.332344759555869,9.86095733396478,-19.1192602120063,-6.28853769634001,0.23041287717844,6.93923880408674,20.016237977188,1.00074935753531,1142,1,0.510833333333333
"beta1[15]",0.433309206365933,9.6274515513266,-17.7021033651708,-6.22502974994516,0.206586526660685,7.13358829799028,19.1296579888844,1.00220842568789,835,1,0.515
"beta2",0.0128447605266344,0.0977392288454309,-0.179057818489844,-0.0511712176490269,0.0144722294572398,0.0775660367496813,0.205505792124015,1.00150905276766,1157,1,0.553333333333333
"beta3[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta3[2]",-0.168684453224204,0.151530623794922,-0.463698201823187,-0.274205482205565,-0.167931560198858,-0.0618433489099694,0.124434218278239,1.00434213364606,379,1,0.861666666666667
"beta4",0.0623319389298811,0.0838984799011867,-0.096283506325675,0.00758662742279017,0.0582316375221242,0.11767637709518,0.227828137297534,0.999337070647064,1200,1,0.7775
"eps1[1]",0,0,0,0,0,0,0,NA,1,0,1
"eps1[2]",-0.124835598053856,0.224446481195995,-0.564249635777999,-0.272303990157793,-0.119919008832759,0.026441682473676,0.323300014781268,1.00248616870619,601,1,0.710833333333333
"eps1[3]",0.226919851154693,0.236241887207566,-0.182348404808296,0.0655255702427236,0.213049326639835,0.364536224255483,0.722992113043263,0.999912274002807,1200,1,0.830833333333333
"eps1[4]",0.463626293558351,0.24205815209395,0.0309201996806488,0.292086334619101,0.451933659351919,0.619428191304228,0.955684227193416,0.999635388858572,1200,0,0.981666666666667
"eps1[5]",0.327917097115496,0.208785852475027,-0.0346066971286637,0.175958949529431,0.325443366470029,0.463007978409001,0.774576767963191,1.00043700768358,1200,1,0.954166666666667
"eps1[6]",-0.123978024305604,0.18926162306926,-0.499096515733118,-0.249595787446943,-0.124555309314218,0.00727181686502872,0.230824447469832,1.00043546429845,1200,1,0.738333333333333
"eps1[7]",-0.328097345371717,0.219576654649689,-0.774518765592536,-0.468313334882158,-0.322539976232005,-0.169252729167063,0.0770996903584909,1.00419696147711,452,1,0.9425
"eps1[8]",-0.217731799230961,0.238355104945396,-0.726160089489385,-0.362953421347477,-0.20710001215265,-0.0501465055046538,0.215896361542477,1.0012226601004,962,1,0.8275
"eps1[9]",-0.309869240639876,0.265602348283521,-0.851253808161286,-0.489430753207041,-0.296940065816261,-0.126244627723374,0.159354286227444,1.00851194318176,237,1,0.8825
