"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.2552495195224,0.28015735071352,2.71229262848566,3.06201924385398,3.25378383346805,3.43607740921313,3.83889821977727,1.01028097669824,190,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta1[2]",-0.166474193893758,0.32729899129684,-0.815227950798859,-0.381302717947053,-0.166237002660918,0.048856415626468,0.474435545212997,1.00954277373768,325,1,0.6925
"beta1[3]",-0.055368644710111,0.359675942666545,-0.742739665974481,-0.295426453053586,-0.0664494161625993,0.176074541195776,0.656058391598019,1.00377756628757,493,1,0.574166666666667
"beta1[4]",-0.599033181947688,0.32609052970399,-1.2417556292919,-0.811543993197452,-0.607657186309398,-0.394378192874371,0.0488368536144112,1.00804697019227,222,1,0.965
"beta1[5]",-0.217789035767564,0.36845341240143,-0.919403209968534,-0.462734010538752,-0.219892939782746,0.0142498796670916,0.489492378977192,1.01169748667222,187,1,0.734166666666667
"beta1[6]",-0.789145821602649,0.358258597190676,-1.47163720853247,-1.03569565587997,-0.789740412623423,-0.544771733761198,-0.0727047297332816,1.01060141758688,176,0,0.983333333333333
"beta1[7]",-1.86377838993069,0.307919986817537,-2.47698138999124,-2.07639987048166,-1.86505455129984,-1.66249737529759,-1.26293761721852,1.00498202263523,422,0,1
"beta1[8]",-1.53708535719155,0.35933750309489,-2.19951881848901,-1.7861206587691,-1.54358760573702,-1.29878532475175,-0.836683346146906,1.01455401577687,136,0,1
"beta1[9]",-2.20415508771596,0.369918766567565,-2.91988840683627,-2.44915853628168,-2.20499613377823,-1.96633410271653,-1.51481920080962,1.01353449714277,158,0,1
"beta1[10]",-2.98688086246782,0.4193481731375,-3.82414834563194,-3.26953052049768,-2.98613360513734,-2.70623315261646,-2.20793159321183,1.01702902380003,146,0,1
"beta1[11]",-3.95603677405241,0.569846838396017,-5.03991822610188,-4.33195324775976,-3.94086329406947,-3.56357104540984,-2.87701731303175,1.00279825184517,1200,0,1
"beta1[12]",-10.5069718001344,5.31584605609546,-22.8701365341928,-13.347055336106,-9.45651754349504,-6.35523872226828,-3.45387110831212,1.00008336179899,1200,0,1
"beta1[13]",-0.216301509101046,9.74607587529535,-19.5944415392333,-6.91213694033641,-0.300661427431527,6.29448014669186,19.3878365921313,0.999345110373161,1200,1,0.5125
"beta1[14]",-0.161062519138546,9.92653241893638,-18.9085624491734,-6.9270413968901,0.0630086405372579,6.54755918988176,18.329517969267,1.00182543062113,1200,1,0.4975
"beta1[15]",-0.446111625235722,9.9093034891498,-19.2589515899827,-7.18568668118292,-0.415432102505236,6.42423464614668,18.8510245959241,1.00443809744323,363,1,0.514166666666667
"beta2",-0.00636776799840135,0.0973634055058453,-0.188300979717839,-0.0741454097052274,-0.00659977707603664,0.0570551340381705,0.185018739538965,1.00125010243175,864,1,0.526666666666667
"beta3[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta3[2]",-0.18319811837985,0.151596500720998,-0.487849215998331,-0.28232310176742,-0.185239632593366,-0.0806835452726556,0.117486016161924,1.00308326794492,566,1,0.893333333333333
"beta4",0.197016926699705,0.139619526148556,-0.0697531604198731,0.101546702687695,0.19495577988089,0.288729021116088,0.473277973514259,1.00212793361666,898,1,0.918333333333333
"beta5[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta5[2]",-0.208286035740148,0.170047545754549,-0.536352670257413,-0.325350054830326,-0.203510799087283,-0.093075187969728,0.125309103612455,1.00595294572617,377,1,0.8925
"eps1[1]",0,0,0,0,0,0,0,NA,1,0,1
"eps1[2]",-0.15640826325213,0.231175906669782,-0.632789964780818,-0.307571579842939,-0.151892775473465,-0.0087625449764331,0.317115276238449,1.00109155871796,1200,1,0.760833333333333
"eps1[3]",0.22556540252356,0.225114944570853,-0.185300294421265,0.0660547723719083,0.216644346189073,0.377349387010871,0.696747505886704,1.00033907498234,1200,1,0.8475
"eps1[4]",0.465855708650633,0.246400744764425,0.0199875060409163,0.295390280954948,0.455538482665515,0.627520748843024,0.963245798157206,1.00499487506335,334,0,0.98
"eps1[5]",0.323493730733404,0.214470489706722,-0.0626690277363334,0.175080874611082,0.308180516944012,0.458374848346422,0.756340635953063,1.00391809291531,541,1,0.945
"eps1[6]",-0.103308517189882,0.199523473259567,-0.512557867544007,-0.235603572809564,-0.105989630221531,0.0315401633269212,0.288976003054666,0.999478820589155,1200,1,0.6925
"eps1[7]",-0.311947591554408,0.213952871441354,-0.733655971218411,-0.455621130269301,-0.299568351680357,-0.164250029184407,0.0764529894678187,1.00589291566231,411,1,0.9375
"eps1[8]",-0.199662658996996,0.226166115100724,-0.667029451729574,-0.340852495517177,-0.189902933132813,-0.0469956350127948,0.230810559593552,1.00119092811158,1193,1,0.8175
"eps1[9]",-0.291848519461629,0.268151232693287,-0.864404934866987,-0.462272040930708,-0.273379345628258,-0.0987612720465055,0.160007184614638,1.00323253690089,467,1,0.858333333333333
"eps1[10]",-0.270154731892609,0.28265213199147,-0.871284938905896,-0.446868808738432,-0.257299500037274,-0.0771145737973173,0.244990563318675,1.00167093541197,890,1,0.844166666666667
"eps1[11]",0.288715280073383,0.356380965863268,-0.354078350202016,0.0371796234558198,0.260866111102999,0.50055180776251,1.0412742262164,1.00233969229849,982,1,0.806666666666667
"eps1[12]",0.0754313076746322,0.361547597921672,-0.634556073359014,-0.149779614008118,0.0658663852683762,0.285393764435777,0.875704881792335,1.00051815329233,1185,1,0.584166666666667
"eps1[13]",-0.239947985504999,0.351686564063709,-0.997382175078811,-0.469108516721021,-0.22103180945503,1.87402321585872e-06,0.42913625790564,1.00194080352108,992,1,0.75
"eps1[14]",-0.105114391402519,0.419123445153743,-0.958143205199643,-0.338191155491856,-0.0911507543404057,0.126350098817811,0.684301143390335,1.00404330096197,1154,1,0.6025
"phi.dens[1,1]",0.948118264653272,0.0167986487429162,0.910069401944464,0.938407751364619,0.950043415263242,0.960775417520443,0.973622914379284,1.01905004591235,135,0,1
"phi.dens[2,1]",0.948523016691915,0.016523108622246,0.911430216550514,0.938904158197509,0.950358131142609,0.960956538951333,0.973790737813005,1.01909684189838,134,0,1
"phi.dens[3,1]",0.948923716030756,0.0162537459962802,0.912662498011041,0.939295437364351,0.950815618510907,0.961223327944228,0.974038642018024,1.01913778737198,134,0,1
"phi.dens[4,1]",0.949320400219126,0.0159905319943553,0.913694648736555,0.940041603385234,0.951156395008926,0.961523065617763,0.974044491538019,1.01917248400559,133,0,1
"phi.dens[5,1]",0.949713106631266,0.0157334379369473,0.914292137984454,0.940450322701717,0.951600883218076,0.961766899499936,0.974030312370109,1.01920052406646,133,0,1
"phi.dens[6,1]",0.950101872460607,0.0154824352689857,0.915317335491512,0.940921698313921,0.951950460445963,0.961872382591672,0.974088715390196,1.01922149185146,132,0,1
"phi.dens[7,1]",0.950486734714299,0.0152374954862181,0.916486564494881,0.941576452137387,0.952326538652963,0.962003846505083,0.974122438293441,1.01923496534815,132,0,1
"phi.dens[8,1]",0.950867730207982,0.0149985900546004,0.917449825340899,0.94210649526437,0.95265329943781,0.962179087732342,0.974139016566532,1.01924051813123,132,0,1
"phi.dens[9,1]",0.951244895560797,0.0147656903227441,0.918165953126457,0.94270720582978,0.952936728606921,0.962314724406717,0.974215739663552,1.01923772150092,132,0,1
"phi.dens[10,1]",0.951618267190632,0.0145387674275182,0.918749222981074,0.94311902397602,0.953256764716885,0.962455208328949,0.974211718779101,1.01922614686707,131,0,1
"phi.dens[11,1]",0.951987881309593,0.0143177921929731,0.919340705406643,0.943662986824561,0.953606586229641,0.96265857975831,0.974230341296957,1.01920536837912,131,0,1
"phi.dens[12,1]",0.952353773919702,0.014102735022836,0.92082147580623,0.944166586451389,0.95395391378211,0.962863826072248,0.974450225265143,1.0191749657977,131,0,1
"phi.dens[13,1]",0.952715980808812,0.0138935657869127,0.921891615420713,0.944528981344952,0.954225366916957,0.963063467012661,0.974526787312574,1.01913452759907,131,0,1
"phi.dens[14,1]",0.953074537546735,0.0136902537018251,0.922371215396899,0.944958925481514,0.954524863018564,0.96328303611104,0.974601570005798,1.01908365429836,131,0,1
"phi.dens[15,1]",0.95342947948158,0.0134927672066124,0.923252418287468,0.945459436675881,0.954954998686876,0.96341006711768,0.974644770497918,1.01902196197166,131,0,1
"phi.dens[16,1]",0.953780841736295,0.01330107383383,0.924560208626441,0.945957786078275,0.955256295022997,0.963608856350457,0.974753240429752,1.01894908595106,131,0,1
"phi.dens[17,1]",0.954128659205403,0.013115140076885,0.925008006841473,0.946425636371802,0.955554073810763,0.963801687904984,0.974832196590484,1.01886468466021,132,0,1
"phi.dens[18,1]",0.954472966551942,0.012934931254459,0.926003265553714,0.94697419598615,0.955905560143768,0.964048215617523,0.974939515114332,1.01876844355138,132,0,1
"phi.dens[19,1]",0.954813798204576,0.0127604113729771,0.926965776348027,0.947382575858634,0.956290163490063,0.964314989650375,0.975046099837215,1.01866007909884,132,0,1
"phi.dens[20,1]",0.95515118835491,0.0125915429881875,0.92756224741906,0.947805158962492,0.956633590311176,0.964691639642025,0.975234536590433,1.01853934279661,133,0,1
"phi.dens[21,1]",0.955485170954969,0.0124282870670205,0.928227583874598,0.948321384997095,0.956907537115183,0.964841444043706,0.975470894109032,1.01840602510374,133,0,1
"phi.dens[22,1]",0.955815779714854,0.0122706028509863,0.928865517083845,0.948665889109642,0.957181707697253,0.965095699480803,0.975671165680211,1.01825995927421,134,0,1
"phi.dens[23,1]",0.956143048100575,0.0121184477224566,0.929373289906666,0.949013919901559,0.957325272612748,0.965314633284885,0.975740773106683,1.01810102500547,135,0,1
"phi.dens[24,1]",0.956467009332035,0.0119717770752447,0.929885689725414,0.949357715022107,0.957796837648778,0.965439525130958,0.975906339341357,1.0179291518365,136,0,1
"phi.dens[25,1]",0.956787696381188,0.01183054419095,0.930419966063101,0.949727773735599,0.958023745925692,0.965631412267073,0.976145820912216,1.01774432222489,136,0,1
"phi.dens[26,1]",0.957105141970337,0.0116947001225702,0.931028368825728,0.9501304795032,0.958258593424887,0.96586814952606,0.976365636372722,1.01754657423302,137,0,1
"phi.dens[27,1]",0.957419378570598,0.0115641935868939,0.931891928469237,0.950554040094075,0.958602000348001,0.966059356590211,0.976574404546012,1.0173360037556,139,0,1
"phi.dens[28,1]",0.957730438400494,0.0114389708671748,0.931936904180013,0.951056401125732,0.958855140319308,0.966185767004567,0.976741768512955,1.01711276622541,140,0,1
"phi.dens[29,1]",0.958038353424708,0.0113189757275511,0.932809300940071,0.951329544146343,0.959166502348843,0.966356119765922,0.976935183068184,1.01687707773961,141,0,1
"phi.dens[30,1]",0.958343155352954,0.0112041493406089,0.93349364118486,0.951766997255892,0.959427196160268,0.966533077853262,0.977012423613248,1.01662921555835,143,0,1
"phi.dens[31,1]",0.958644875638997,0.011094430229391,0.934284390344642,0.952203550344508,0.959776457927605,0.96679332535285,0.977083968394013,1.0163695179368,145,0,1
"phi.dens[32,1]",0.958943545479789,0.0109897542250376,0.934663433958061,0.952418186218953,0.960061396827127,0.966930317580877,0.977314428729433,1.01609838326379,146,0,1
"phi.dens[33,1]",0.959239195814743,0.0108900544410895,0.934624717536958,0.952716762481658,0.960359885028247,0.967156680428889,0.977585054086109,1.01581626849401,148,0,1
"phi.dens[34,1]",0.959531857325108,0.0107952612653178,0.935093306630504,0.952917889816531,0.960639353501185,0.967293916467285,0.977563808214773,1.01552368687437,150,0,1
"phi.dens[35,1]",0.959821560433483,0.0107053023697434,0.935281110924355,0.953218064346257,0.960987224430089,0.967485949674309,0.9778390182982,1.01522120498067,153,0,1
"phi.dens[36,1]",0.960108335303422,0.0106201027392949,0.935745521389738,0.953635429681275,0.961294095475859,0.967723514396798,0.978110075176444,1.01490943909557,155,0,1
"phi.dens[37,1]",0.960392211839162,0.0105395847193263,0.936024977877968,0.953924066681421,0.961534893891621,0.967881182491424,0.978282326619598,1.01458905097374,158,0,1
"phi.dens[38,1]",0.960673219685446,0.0104636680819701,0.936487498487549,0.954198837050068,0.961853844987127,0.968105497841269,0.978270346963424,1.01426074305364,161,0,1
"phi.dens[39,1]",0.960951388227457,0.010392270111059,0.937129693977623,0.95440860169444,0.962203996875974,0.968310135994202,0.978320454724713,1.01392525318811,163,0,1
"phi.dens[40,1]",0.961226746590835,0.0103253057051025,0.937586423346478,0.954797028985332,0.962457304849684,0.968509147844858,0.978599247170044,1.01358334897675,167,0,1
"phi.dens[41,1]",0.961499323641803,0.0102626874975637,0.937759158447612,0.955227822963403,0.962686877777839,0.96878982255419,0.978868770520046,1.01323582179084,170,0,1
"phi.dens[42,1]",0.961769147987371,0.0102043259934553,0.938265478043503,0.95553335767003,0.963034091334898,0.968976483326913,0.979083738095425,1.01288348058832,174,0,1
"phi.dens[43,1]",0.962036247975632,0.0101501297210578,0.938974301754343,0.955747722213519,0.963261940028075,0.969269265385608,0.979129581981935,1.01252714561901,178,0,1
