"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"eps1[1]",2.26511858642667,0.330696626250575,1.60851508064905,2.04686126632636,2.24631223444442,2.48455356973006,2.92121888657883,1.00022718096604,1200,0,1
"eps1[2]",2.08954070173425,0.305205113547462,1.52030388543461,1.88935099183915,2.07989928516875,2.28702960620844,2.74388783212416,1.0028270036851,1200,0,1
"eps1[3]",2.36233893759011,0.36463218328085,1.67308919694978,2.13415594555646,2.34257189805968,2.58902531806047,3.13422531298568,1.00060358243878,1200,0,1
"beta1",-1.08912714361194,0.143962842960011,-1.38140740828222,-1.18002266883707,-1.08401575745575,-1.00211427222098,-0.810830188762564,0.999340050950313,1200,0,1
"beta2",0.068940974184611,0.0602412527706587,0.000680284536066024,0.0166919584564072,0.0532154084378772,0.110550537599931,0.203787353102487,1.0044684916193,388,0,1
"beta3",-0.0893147215067332,0.203337787025846,-0.451207209487211,-0.23761611007438,-0.093638111887769,0.0423267985555816,0.337479557620849,1.00610483240693,310,1,0.678333333333333
"beta4[1]",0.202870059074455,0.0941356895281655,0.0136334026628027,0.139480270738828,0.204289460863227,0.261727862973157,0.394259315343312,1.00139009310259,1200,0,1
"beta4[2]",0.0379235843192092,0.0416447752644287,0.000467672268924331,0.00697549755726714,0.0218381266354174,0.0573572234674769,0.145108063584638,1.0015023968066,1200,0,1
"beta4[3]",0.365614376426138,0.122394496646329,0.141119230778053,0.284516336998389,0.361127660943569,0.435598587998811,0.629544120598237,1.0061292244964,336,0,1
"eps2[1]",-0.0171421629971813,0.735926887879245,-1.43620033216472,-0.440357861580855,-0.0289986187915635,0.423098405582113,1.45781776307165,1.00147961951434,1200,1,0.521666666666667
"eps2[2]",0.742668261256393,0.417739567080486,-0.0291804146374492,0.457952820095708,0.733066363619288,1.00873362510104,1.59304524059636,1.0048064660359,525,1,0.97
"eps2[3]",0.257632552688913,0.377039523915037,-0.464841384405794,0.0206719471277099,0.24945935277341,0.50436054680909,1.01475469946359,1.0024183407307,1014,1,0.7675
"eps2[4]",-0.00597629769475078,0.351675372759844,-0.743993021417586,-0.219836730058234,0.0108487652178444,0.207630048753521,0.677464983086724,1.00161369630567,1200,1,0.4875
"eps2[5]",0.0342425663594051,0.35199079074412,-0.666844074775822,-0.186424072591645,0.0236056880834234,0.262035139198424,0.752842123465647,1.00221413917557,1200,1,0.5225
"eps2[6]",0.191598372930557,0.41992288492977,-0.661618280487416,-0.0863555515176437,0.205471041565128,0.457289803185283,1.04558956936178,1.00107247191374,1200,1,0.676666666666667
"eps2[7]",0.00800753059224462,0.397216305645341,-0.733560095769013,-0.259208310378014,-0.00555484713184251,0.241124601324721,0.868321759721509,0.999381016571351,1200,1,0.496666666666667
"eps2[8]",0.742196562660904,0.548191856400779,-0.273494726640583,0.378988233298305,0.701148845727467,1.0727558611955,1.8874271699202,1.00196836874147,1200,1,0.928333333333333
"eps2[9]",0.261098715617137,0.513267330908573,-0.723836434027962,-0.074319493974088,0.24214265630088,0.556509722762801,1.3415774760401,1.00017951920759,1200,1,0.6925
"eps2[10]",-0.236350008372107,0.545185062176291,-1.33489580762037,-0.596266934245252,-0.246424230092962,0.113986660372926,0.861726133514705,1.00054345203188,1200,1,0.675833333333333
"eps2[11]",-0.111153398762566,0.654568281190729,-1.29527568277522,-0.534894265112491,-0.144724084549796,0.288094401975277,1.18975302830701,1.00044963272353,1200,1,0.594166666666667
"eps2[12]",-0.00380167933423297,0.758635610879182,-1.36083975252908,-0.476709056178296,-0.0157526339488202,0.46144074581274,1.5479173814045,1.00102529600857,1200,1,0.511666666666667
"survival[1,1]",0.810795282330337,0.0516057557711391,0.689363125987531,0.780338510562543,0.817098390945074,0.846665119085452,0.896840506496537,1.00022256557788,1200,0,1
"survival[2,1]",0.813090621992732,0.0509135686733276,0.693881942200706,0.783162020632939,0.819057980812026,0.848482878215202,0.898350451132906,1.00025525291515,1200,0,1
"survival[3,1]",0.815363931378865,0.0502332472696713,0.697783909337972,0.786002643640836,0.821059532782626,0.850186547856278,0.899998528714945,1.00028927104231,1200,0,1
"survival[4,1]",0.81761522372001,0.0495647960311408,0.700588634529201,0.788984918053652,0.82297343208276,0.852121875305058,0.901204604691159,1.00032460518069,1200,0,1
"survival[5,1]",0.819844518685866,0.0489082086623398,0.704972826182636,0.791125251268938,0.825254786624761,0.853752460687455,0.902420185749598,1.00036123535181,1200,0,1
"survival[6,1]",0.822051842248342,0.0482634682748472,0.709144532224798,0.793572237754484,0.827410593666736,0.855482271982115,0.904069467817324,1.00039913615422,1200,0,1
"survival[7,1]",0.824237226542306,0.0476305475776926,0.713809017317834,0.796500058674614,0.829604714569939,0.857306825872186,0.90527398763734,1.00043827656674,1200,0,1
"survival[8,1]",0.826400709723607,0.0470094090845636,0.718431734205913,0.798822360141423,0.831617174681406,0.858839093184244,0.906464008102366,1.00047861978234,1200,0,1
"survival[9,1]",0.828542335824658,0.0464000053373001,0.723011429038781,0.801295422252013,0.833660346360182,0.860736958809864,0.907634239546136,1.00052012307701,1200,0,1
"survival[10,1]",0.830662154607863,0.0458022791451796,0.727250918308902,0.803764189259766,0.835573902623116,0.862465101551242,0.908787887743288,1.00056273771756,1200,0,1
"survival[11,1]",0.832760221417177,0.0452161638394488,0.730376450442232,0.806226113610753,0.837931037202594,0.864114064883792,0.909928548863695,1.00060640891217,1200,0,1
"survival[12,1]",0.834836597028067,0.0446415835425067,0.733813185696684,0.808811277415107,0.839941703366923,0.865654108472709,0.910978285574504,1.00065107580712,1200,0,1
"survival[13,1]",0.836891347496162,0.0440784534510951,0.736902952982777,0.811159172126247,0.84190950704654,0.867535139644938,0.911925265720761,1.00069667153264,1200,0,1
"survival[14,1]",0.838924544004835,0.0435266801328011,0.739303965360742,0.813787685960714,0.843963265455054,0.869258399176217,0.912863127924469,1.00074312330049,1200,0,1
"survival[15,1]",0.840936262711991,0.0429861618351286,0.741690734895821,0.815836908570163,0.846161328205759,0.870635322268419,0.913945775722861,1.00079035255486,1200,0,1
"survival[16,1]",0.842926584596305,0.0424567888063444,0.746102032566539,0.818174638737168,0.848036236101924,0.872196903458361,0.915185939533692,1.0008382751781,1200,0,1
"survival[17,1]",0.84489559530315,0.0419384436272607,0.750272810709531,0.820744360124889,0.849582323341993,0.873888898947859,0.916409407017851,1.00088680175149,1200,0,1
"survival[18,1]",0.84684338499045,0.0414310015530668,0.753372851022219,0.822606389200764,0.851179958772453,0.875716148674827,0.917219738629516,1.00093583787086,1200,0,1
"survival[19,1]",0.848770048174686,0.0409343308642823,0.75647531111206,0.825022911458584,0.853114988259167,0.876925935133894,0.91855799354169,1.00098528451591,1200,0,1
"survival[20,1]",0.850675683577262,0.0404482932258601,0.759100374473663,0.827274309231159,0.854900705917901,0.878470417494461,0.919665291943291,1.00103503847138,1200,0,1
"survival[21,1]",0.852560393971443,0.0399727440534355,0.761514274728079,0.829545286171335,0.856908729455588,0.880032444960629,0.920692689952421,1.00108499279704,1200,0,1
"survival[22,1]",0.854424286030066,0.0395075328856779,0.765228044923182,0.831973209996102,0.858478851459599,0.881748388435753,0.921707828092626,1.00113503734331,1200,0,1
"survival[23,1]",0.856267470174201,0.0390525037616779,0.767552213036172,0.834266874045536,0.859964719173358,0.883362697804106,0.922708192925113,1.00118505930788,1200,0,1
"survival[24,1]",0.858090060422942,0.0386074956022754,0.769554481133002,0.836220734583094,0.862077354085892,0.884958613372437,0.923696827838906,1.00123494382841,1200,0,1
"survival[25,1]",0.859892174244508,0.0381723425942165,0.772090230894231,0.838047242777446,0.864090984167538,0.886479416742571,0.92467384347742,1.00128457460567,1200,0,1
