"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.29333697645965,0.2759973115178,2.78623179820442,3.10007777562504,3.29555536266188,3.47122757702762,3.86479427659031,1.00409051885509,424,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta1[2]",-0.1712301006067,0.337183204183703,-0.840198586676568,-0.396947305224344,-0.153526096045721,0.0655213288976877,0.458636780465594,1.00919040262549,231,1,0.690666666666667
"beta1[3]",-0.113471619026667,0.345122438775681,-0.775936255991393,-0.346679151445134,-0.102724722328248,0.114895792994359,0.560285805590671,1.00518832723015,337,1,0.614666666666667
"beta1[4]",-0.666569637928361,0.320349168746496,-1.31626585706975,-0.879066968522664,-0.66484248333536,-0.44798730612782,-0.0629536196069142,1.00274622309573,966,0,0.983333333333333
"beta1[5]",-0.312433056493645,0.360186706920665,-0.984138632013253,-0.560295828483194,-0.308716701866344,-0.0632274288422044,0.399581416100345,1.00431377249679,387,1,0.808666666666667
"beta1[6]",-0.867907078895582,0.358789401818286,-1.57179626883359,-1.10308525722816,-0.879863765720013,-0.626896385097352,-0.178514886787071,0.999990307456628,1500,0,0.988666666666667
"beta1[7]",-1.9625306476288,0.313227380998431,-2.61530464936961,-2.1590103088914,-1.95915400343211,-1.75724513810598,-1.37799046509775,1.00278301185626,636,0,1
"beta1[8]",-1.67242300217149,0.367090674560505,-2.40535875669316,-1.90905006631174,-1.67439778445301,-1.43409391657477,-0.927960578139668,1.00233616722551,788,0,1
"beta1[9]",-2.37740225753166,0.368855736372631,-3.14253909611109,-2.62092379685102,-2.3729795897929,-2.12801688136695,-1.62514341972758,1.00228917784179,660,0,1
"beta1[10]",-3.14699915548269,0.40539688768383,-3.94999014170519,-3.42556649071264,-3.15091401976453,-2.88463299682869,-2.36210715483919,1.00362183268946,473,0,1
"beta1[11]",-4.14779257239766,0.556420224655566,-5.22389871486417,-4.52292027970302,-4.13898407569992,-3.76904404568384,-3.12239576055402,1.00113827521527,1500,0,1
"beta1[12]",-10.9202476954561,5.33271847865608,-23.6345881018389,-13.7151776259648,-9.9541932182669,-6.90008239093749,-3.62275650278917,0.99984437369355,1500,0,0.999333333333333
