"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.81862752751654,0.256995418281884,2.36239261803431,2.63793121033062,2.80047743700559,2.97893725037343,3.36377957060482,1.03008149213771,94,0,1
"site.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"site.beta[2]",0.00900907679966981,0.156600654733722,-0.303235304969779,-0.0974060183191237,0.00956389884821951,0.118480035502283,0.305938446119511,1.000541886295,2064,1,0.523666666666667
"site.beta[3]",-0.20073110292798,0.207347209164078,-0.605481508807728,-0.344291244395609,-0.203489200845826,-0.0623164771010089,0.20300807893306,1.00224009014327,954,1,0.837333333333333
"rain.beta",-0.148434994998588,0.132170226710891,-0.416748499014258,-0.239270896694263,-0.147490222557957,-0.0585226645167195,0.115030860863045,1.00213512924576,877,1,0.869333333333333
"rain.site.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"rain.site.beta[2]",0.324622333585008,0.163813030604321,0.00591743483846487,0.211896594476385,0.326840344641111,0.434598659022364,0.642572122808468,1.00193959463857,1070,0,0.978333333333333
"rain.site.beta[3]",0.436912266423146,0.230845819455774,-0.0025715164970099,0.278512500323446,0.436589875465661,0.586022772451876,0.903584942540158,1.00464851148798,582,1,0.974
"p",0.958306509303092,0.00450064294502733,0.949099462816014,0.955250114542163,0.958541814056205,0.961566935820245,0.966418992743526,1.00166266527032,2003,0,1
"survival_diff_rain1[1]",0,0,0,0,0,0,0,NA,1,0,1
"survival_diff_rain1[2]",0.0291086288701735,0.0184269264476544,-0.00332812844326679,0.0160073951469703,0.0280667729112372,0.0409754194222253,0.067406673255967,1.00271780871724,1262,1,0.958
"survival_diff_rain1[3]",0.0636854538857458,0.0348114893859075,0.00786245249903256,0.0391509480790088,0.0593862514224298,0.0831006859967766,0.143592401258745,1.00965164694141,210,0,0.991
"survival_diff_rain500[1]",0,0,0,0,0,0,0,NA,1,0,1
"survival_diff_rain500[2]",-0.00896812534605575,0.00990477949742566,-0.0294222025478269,-0.0150191447518504,-0.00869617293200886,-0.00241313060033138,0.00960503077076859,1.00431356257852,804,1,0.828333333333333
"survival_diff_rain500[3]",-3.97505241130042e-05,0.0150083602294641,-0.0280032638821915,-0.00987673583786761,-0.000659553783707911,0.00971580378153958,0.0310143336390911,1.00548275408631,671,1,0.518
"survival_diff_rain1000[1]",0,0,0,0,0,0,0,NA,1,0,1
"survival_diff_rain1000[2]",-0.0483245502933563,0.0312017891090574,-0.118237784278448,-0.0661518547769989,-0.0442129758002576,-0.026828142991097,0.0030613480145718,1.00459140165401,506,1,0.966
"survival_diff_rain1000[3]",-0.0475416783682957,0.0378431040162674,-0.127266764578325,-0.0703245379334432,-0.0451021362623341,-0.0228463260718329,0.0211171974188136,1.00731433849633,262,1,0.917
"survival[1,1]",0.95312466177175,0.0147953154394962,0.921012155721632,0.944439780285177,0.954760073977826,0.963664080758227,0.977769091573271,1.02472593303811,135,0,1
"survival[2,1]",0.953101396627615,0.0147859125957455,0.921029608328565,0.94443707460587,0.954725187260728,0.963611930204398,0.977737080901227,1.02476043037784,135,0,1
