"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.08601189155338,0.252235189000325,2.60653079119729,2.91927767794898,3.07874226396042,3.24469421381319,3.62551985584492,1.0122236234383,395,0,1
"site.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"site.beta[2]",0.0790425825692459,0.158386569429265,-0.234831931915825,-0.0278880286658203,0.0768164050924097,0.187466554113697,0.38960765283888,1.00109845701016,1561,1,0.690833333333333
"site.beta[3]",-0.207948110839065,0.205898277229861,-0.606771393083302,-0.347841107959205,-0.209689723370591,-0.0683214794964636,0.20200481400368,1.00035627134839,3588,1,0.841666666666667
"age.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"age.beta[2]",-0.116687131178117,0.32828227841332,-0.767506805620984,-0.334702708758925,-0.106676675474773,0.105458576006126,0.515821794527329,1.00227171102212,1602,1,0.6375
"age.beta[3]",-0.0272495608821108,0.351730373739182,-0.701194959397569,-0.261708862188832,-0.0278676330232778,0.207534016296855,0.66971627903562,1.00583973817181,386,1,0.533
"age.beta[4]",-0.571015296332498,0.310968120327088,-1.2106850968821,-0.773742543275608,-0.56119235509714,-0.366654066119871,0.025983211649323,1.00658013147115,603,1,0.969333333333333
"age.beta[5]",-0.19608710522012,0.360303666994073,-0.883448598330654,-0.438919492549999,-0.201935776972461,0.0461658096629363,0.520595846597795,1.00389621192258,2546,1,0.708333333333333
"age.beta[6]",-0.751014803695666,0.343853442750534,-1.43704525951151,-0.978255443745424,-0.75017994608746,-0.521291932766209,-0.0609893913200136,1.00234491224506,4318,0,0.982333333333333
"age.beta[7]",-1.81946783603887,0.291688877688092,-2.4216701751522,-2.01107947402555,-1.81300780216129,-1.62074150367938,-1.26562900884608,1.0054657657424,943,0,1
"age.beta[8]",-1.50310851789035,0.346420608291662,-2.19331182715507,-1.72723498127837,-1.50123646470426,-1.27603356161831,-0.821559506967473,1.00700002100144,1267,0,1
"age.beta[9]",-2.18372706051949,0.339041762554676,-2.86900874211979,-2.40881829320068,-2.18531472357082,-1.95868818231569,-1.50992140021686,1.00515231734419,523,0,1
"age.beta[10]",-2.91855359681469,0.374805287748101,-3.6590411802522,-3.1643765078805,-2.91400369693566,-2.67102617920849,-2.18089154370575,1.00324088412284,2405,0,1
