"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",2.79476157813695,0.240074968548673,2.36162110109061,2.63026296693434,2.78521912699154,2.95981551794902,3.26288387682182,1.06638919802104,37,0,1
"site.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"site.beta[2]",-0.00084405342294591,0.158576520139578,-0.302212576895788,-0.104443496118156,-0.00362690490782819,0.0953452992760009,0.324285930165006,1.02085083979913,106,1,0.513333333333333
"site.beta[3]",-0.189831912121952,0.207182121915392,-0.576416733981649,-0.341148380804939,-0.185456198849314,-0.0489756905245304,0.226509589426678,1.0028876364664,911,1,0.824666666666667
"rain.beta",-0.150967254885727,0.144180114910315,-0.433318024001233,-0.250764140891374,-0.150864802796827,-0.05136468570908,0.132002501729693,1.00273898730753,967,1,0.856
"rain.site.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"rain.site.beta[2]",0.335111972313656,0.17939484115575,-0.0187741650211256,0.216033811087406,0.331160524052517,0.461119180965081,0.674018047609594,1.00550299510127,432,1,0.966666666666667
"rain.site.beta[3]",0.456203289404461,0.243460680315122,0.00206154272177649,0.281188240379395,0.447366369374509,0.616223036246526,0.968609759857834,1.0043905020133,464,0,0.975333333333333
"p",0.958262051441653,0.00445426784979129,0.948975838010377,0.955278793598098,0.958401394210797,0.961336400420777,0.966266129794265,1.00800722325816,230,0,1
"survival_diff_rain1[1]",0,0,0,0,0,0,0,NA,1,0,1
"survival_diff_rain1[2]",0.0309540860243088,0.0203115838526362,-0.00837339449375334,0.0179245376674675,0.0300631174262967,0.0435410970309617,0.0741888800408818,1.01716832678021,163,1,0.946
"survival_diff_rain1[3]",0.0658735987544885,0.0338015216771722,0.00973448466341872,0.041360829231395,0.0627434466112063,0.0858532719684661,0.140256675155003,1.00988190021361,332,0,0.994
"survival_diff_rain500[1]",0,0,0,0,0,0,0,NA,1,0,1
"survival_diff_rain500[2]",-0.00886897074300929,0.010207778948852,-0.0298619349405435,-0.015132089075363,-0.00818333197816506,-0.00231292300572858,0.00971718180979735,1.02532634631265,103,1,0.816
"survival_diff_rain500[3]",-0.00095065290382151,0.0155818053509188,-0.0308628625941655,-0.0117283708207973,-0.00154744377552085,0.00933476032468827,0.0311621621289512,1.00567480346441,1500,1,0.537333333333333
"survival_diff_rain1000[1]",0,0,0,0,0,0,0,NA,1,0,1
"survival_diff_rain1000[2]",-0.0502380118030564,0.0340509362787663,-0.132291271297773,-0.0699514790716199,-0.0452424637197846,-0.0259876036927189,0.00493942219127108,1.01224908473629,227,1,0.959333333333333
"survival_diff_rain1000[3]",-0.050780034174402,0.0393545225099799,-0.136614850066637,-0.0749139978663862,-0.0475635611354119,-0.0247269707026824,0.0225738429936645,1.00644437879399,499,1,0.923333333333333
"deviance",837.901602551875,29.3559031430752,782.861634340595,816.422667730545,835.518115467464,857.569559777378,897.499147444391,1.00445392922858,423,0,1
