,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff,overlap0,f,
int,3.270702894,0.263090663,2.775417562,3.072810913,3.274845956,3.44608748,3.74589775,1.004864801,600,0,1,
age.beta[1],0,0,0,0,0,0,0,NA,1,0,1,
age.beta[2],-0.247688131,0.335533542,-0.882970176,-0.474195158,-0.262774641,-0.003358999,0.379551302,1.002733429,600,1,0.753333333,
age.beta[3],0.047991778,0.381471916,-0.668398532,-0.192282615,0.047188483,0.267876787,0.801107683,1.002670809,449,1,0.553333333,
age.beta[4],-0.635843585,0.322953489,-1.273549452,-0.85197075,-0.630412324,-0.433066862,-0.023090364,1.001927401,600,0,0.978333333,
age.beta[5],-0.194085918,0.393837842,-0.934252759,-0.460846,-0.195076309,0.089989121,0.589336142,1.000630588,600,1,0.676666667,
age.beta[6],-0.38307219,0.416272872,-1.178983397,-0.644602205,-0.402608477,-0.108373581,0.407440908,1.012884293,236,1,0.826666667,
age.beta[7],-1.567365517,0.30653236,-2.158309812,-1.789936894,-1.571357658,-1.357670936,-0.981991847,1.012995983,195,0,1,
age.beta[8],-1.183418485,0.374272245,-1.94597944,-1.443550373,-1.185605633,-0.927987078,-0.486566845,1.002184791,600,0,1,
age.beta[9],-1.956430845,0.347578132,-2.631584037,-2.202103223,-1.94572649,-1.716857566,-1.295180983,1.006632465,332,0,1,
age.beta[10],-2.689150675,0.382253689,-3.406258987,-2.96048616,-2.685505587,-2.413037502,-1.946995619,1.001032776,600,0,1,
age.beta[11],-3.541034114,0.53928883,-4.612610837,-3.893166985,-3.552837971,-3.130190747,-2.510999634,0.999166276,600,0,1,
age.beta[12],-10.91116321,5.591043147,-24.29599391,-14.15253863,-9.876339747,-6.450156809,-3.493785542,1.001529237,600,0,0.998333333,
age.beta[13],0.445303209,9.496792405,-18.08308592,-5.89846728,0.832067826,6.885593859,19.9102877,0.997993838,600,1,0.535,
age.beta[14],0.48235741,9.833398446,-19.10425906,-6.327291595,0.677425064,7.438544426,18.51688514,1.008331461,229,1,0.521666667,
site.beta[1],0,0,0,0,0,0,0,NA,1,0,1,
site.beta[2],-0.066044606,0.174186491,-0.403958466,-0.189077029,-0.063921136,0.054114631,0.260190581,0.999045082,600,1,0.645,
site.beta[3],-0.253893585,0.227097631,-0.683720427,-0.410676326,-0.254604962,-0.099437482,0.202114725,1.003576599,597,1,0.87,
p,0.957381811,0.004228088,0.948633318,0.954665791,0.957373373,0.960387982,0.965092715,1.00117861,600,0,1,
"survival[1,1]",0.962277408,0.009540523,0.94133288,0.955757185,0.963555721,0.969114243,0.976929779,1.003612087,600,0,1,
"survival[2,1]",0.959834193,0.009985855,0.936458579,0.953978316,0.96098775,0.966645551,0.977293659,1.007887117,374,0,1,
"survival[3,1]",0.95168474,0.013268128,0.921213379,0.943965797,0.953604048,0.961302981,0.972536605,1.002768973,508,0,1,
"survival[1,2]",0.952162335,0.012046256,0.926652367,0.944508403,0.953723122,0.960476478,0.972583004,0.998259783,600,0,1,
"survival[2,2]",0.949267727,0.011871846,0.924738193,0.94145391,0.949885649,0.957633119,0.969465044,0.997942756,600,0,1,
"survival[3,2]",0.939137522,0.015471795,0.906428108,0.929735042,0.940557688,0.950451376,0.965937817,1.0011727,600,0,1,
"survival[1,3]",0.963681572,0.01036459,0.940814341,0.957544179,0.964312904,0.971213967,0.979860708,1.003702869,600,0,1,
"survival[2,3]",0.961257678,0.011128714,0.937013547,0.954544428,0.96180039,0.969068152,0.979571591,1.000074833,600,0,1,
"survival[3,3]",0.953365453,0.014376867,0.919961392,0.944499526,0.95552915,0.963768598,0.976189778,1.001803986,600,0,1,
"survival[1,4]",0.931460627,0.015536439,0.898103416,0.922084635,0.932404748,0.94236989,0.957379256,1.000932198,600,0,1,
"survival[2,4]",0.92736708,0.015142354,0.894969332,0.916900635,0.927394654,0.938378877,0.953518146,1.00177873,524,0,1,
"survival[3,4]",0.913049361,0.020996023,0.864809094,0.899510429,0.914640253,0.927880911,0.950469548,0.998397638,600,0,1,
"survival[1,5]",0.953912169,0.013837723,0.922455168,0.945744744,0.954612297,0.963831185,0.977478451,1.000040444,600,0,1,
"survival[2,5]",0.951098552,0.014107525,0.920604816,0.942363462,0.952203011,0.96142161,0.975805135,1.000327255,600,0,1,
"survival[3,5]",0.941398191,0.017622196,0.90198774,0.930855965,0.942494062,0.954728031,0.970431307,0.999799126,600,0,1,
"survival[1,6]",0.944657087,0.017236695,0.906968709,0.934355743,0.945529993,0.957267806,0.973725224,1.007364319,307,0,1,
"survival[2,6]",0.941057103,0.018783816,0.897515398,0.93076714,0.942597235,0.954856972,0.970887045,1.004741819,507,0,1,
"survival[3,6]",0.929429417,0.023193469,0.88426806,0.914849574,0.931647055,0.94703936,0.967229961,1.012008905,173,0,1,
"survival[1,7]",0.84399716,0.027440013,0.790768381,0.826672184,0.845731466,0.863792966,0.893777531,1.004009179,317,0,1,
"survival[2,7]",0.835114638,0.028755685,0.77681322,0.8148722,0.835516767,0.856185378,0.886267946,1.004425346,573,0,1,
"survival[3,7]",0.806817021,0.039484706,0.720638562,0.78211107,0.809384662,0.834113471,0.876562006,1.005732824,303,0,1,
"survival[1,8]",0.886211041,0.029998019,0.819616938,0.86688632,0.888284133,0.90765689,0.937306146,0.998335645,600,0,1,
