"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.82198095335285,0.3876823011361,3.13826364067206,3.56300563085632,3.78663335709638,4.07821336178904,4.62416636964192,1.02142047935521,134,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta1[2]",-0.428322640746165,0.40957098260908,-1.27122372478835,-0.689133103294307,-0.416874664097894,-0.162186788219279,0.332965255955414,1.01689949191011,128,1,0.857333333333333
"beta1[3]",-0.400235602435346,0.438042143649568,-1.25987118507952,-0.703550135239302,-0.41050543787534,-0.114262832060517,0.484590256686156,1.01033409065025,218,1,0.822
"beta1[4]",-1.07141119698113,0.397373772557659,-1.87527397770499,-1.33327396765525,-1.06986303605248,-0.798418993826927,-0.332068935888918,1.01651635664026,157,0,0.998666666666667
"beta1[5]",-0.651224098175919,0.455176625532312,-1.54299609687662,-0.960443175369125,-0.658808037753603,-0.338333051909753,0.239717812924447,1.00978033507271,201,1,0.929333333333333
"beta1[6]",-1.2831537761884,0.454245075147664,-2.13246352556424,-1.5942051267897,-1.28415924567773,-0.97230797639536,-0.390832771938375,1.00838189519056,316,0,0.997333333333333
"beta1[7]",-2.60655921657216,0.420868482806699,-3.46872043100935,-2.89198255403814,-2.58513227951955,-2.30209245703123,-1.8608240574083,1.01946020350909,112,0,1
"beta1[8]",-2.26307706098112,0.459114941575453,-3.1830975752587,-2.55424181654207,-2.25655710787392,-1.9493992934628,-1.4093207939122,1.01558329567678,144,0,1
"beta1[9]",-2.93755353211066,0.474542771397813,-3.99209394447406,-3.23978530333003,-2.91362913009271,-2.6123527492929,-2.07202868983832,1.01122118122979,212,0,1
"beta1[10]",-3.80995498072375,0.520265995955954,-4.86369588188625,-4.13078194334721,-3.79524763809967,-3.44889841599887,-2.84027836932245,1.01320166939873,172,0,1
"beta1[11]",-4.77735191805901,0.670242934213487,-6.14727963412175,-5.2236946007034,-4.73172130231028,-4.31139374293902,-3.50917059580417,1.00981746914193,190,0,1
"beta1[12]",-11.4456948065894,5.48751490963325,-24.2823642522572,-14.4267736766287,-10.3962402915893,-7.61185653153305,-3.69007116666203,1.00158312442438,1112,0,0.998
"beta1[13]",0.0480044900657696,9.87130125050105,-19.9017067729463,-6.49623751984691,0.191718037128968,6.4325032770986,19.7845253668058,1.00062544175685,1500,1,0.505333333333333
"beta1[14]",-0.00202992704383813,9.9261928107505,-18.7536401276414,-6.50610192379892,0.207728851173653,6.6281661047642,19.5270148317115,1.00101457574324,1500,1,0.492
"beta1[15]",-0.0514207821701857,10.1953890792709,-19.4097771030693,-6.68789448241523,-0.0743862958473052,6.75264102700662,20.3197910508205,0.999706834199772,1500,1,0.504
"beta2[1]",0,0,0,0,0,0,0,NA,1,1,1
"beta2[2]",-0.0111599740120323,0.165603131522876,-0.319972174019501,-0.131907464865996,-0.0172048958348379,0.0986517803854785,0.321700599038248,1.00038929154152,1500,1,0.540666666666667
"beta3",0.0728806808357451,0.108770399418609,-0.138795620785487,-0.000281729872070697,0.0713861488388335,0.144174071702187,0.28693975377078,1.00012589223476,1500,1,0.748
"beta4",0.208410942547525,0.0347939452706232,0.14277499253281,0.184518465719797,0.207645004538806,0.232131579909369,0.278428335660072,1.00407744463091,453,0,1
"eps1[1]",0,0,0,0,0,0,0,NA,1,1,1
"eps1[2]",-0.114372359158139,0.25340146075379,-0.607621822866679,-0.272915885573581,-0.105831425385231,0.0494684346076346,0.375784357476226,0.999621208758595,1500,1,0.678
"eps1[3]",0.251220595818024,0.26141366179041,-0.230087962552832,0.0778823671331827,0.243876268533333,0.403916977084221,0.815091978582937,1.00141132188947,1500,1,0.840666666666667
"eps1[4]",0.568192621034989,0.284236867173655,0.0443167012023722,0.373571299041675,0.55284259243319,0.755688602534708,1.16116153179098,1.00252775419016,1500,0,0.981333333333333
"eps1[5]",0.465285092599069,0.251133109747705,-0.00179533889730787,0.295582031583548,0.453413854238697,0.62091434964983,1.00147099979641,1.00238982606765,780,1,0.973333333333333
"eps1[6]",-0.0750956101083686,0.238856844677645,-0.55657549093027,-0.226383014249434,-0.0728667541934905,0.081905361206877,0.394267670484792,1.00246460166994,612,1,0.637333333333333
"eps1[7]",-0.387336280564305,0.239718629915769,-0.889698830978378,-0.547228701593686,-0.377425802752527,-0.211550473554843,0.050849126843228,1.00016463208803,1500,1,0.958666666666667
"eps1[8]",-0.204855402782145,0.264842830555476,-0.745743123125625,-0.364430772208456,-0.200891202484917,-0.0211978408169744,0.286320035886797,1.00181526147986,764,1,0.776
"eps1[9]",-0.292901901598657,0.299989942220906,-0.917809835339108,-0.494085442243235,-0.278327658209911,-0.0864635145303946,0.251879938282051,0.999419842650195,1500,1,0.836
"eps1[10]",-0.290292316758933,0.335456736075091,-1.01493764214935,-0.498057206762466,-0.273277576226668,-0.0654339860101866,0.305505833663865,1.00023611036499,1500,1,0.821333333333333
"eps1[11]",0.31319029679896,0.393238564245723,-0.337342311575234,0.0511629285923449,0.259127543055533,0.543406873954738,1.17152286464226,1.00153829257977,819,1,0.802
"eps1[12]",0.0460801922094038,0.393655891707493,-0.7573691748854,-0.193364203673972,0.0374827966601093,0.279615824716444,0.883262369165811,1.00271033273073,852,1,0.547333333333333
"eps1[13]",-0.179007355796993,0.386379077934701,-1.00149533051204,-0.415085818556333,-0.15294240521235,0.0697073121909571,0.561455285320128,1.00149257827718,1500,1,0.678666666666667
