Month,Year,EAST YANA,WEST YANA,surv.year
Jan,2002,0,0,2002
Feb,2002,0,0,2002
Mar,2002,0.3,0.4,2002
Apr,2002,0.9,1.1,2002
May,2002,1.5,1.7,2002
Jun,2002,0.6,0.5,2002
Jul,2002,6.2,4.3,2002
Aug,2002,2.2,2,2002
Sept,2002,3.4,3.1,2002
Oct,2002,6,5.4,2002
Nov,2002,1.1,1.9,2003
Dec,2002,0,0,2003
Jan,2003,1.6,0.7,2003
Feb,2003,2.2,1.4,2003
Mar,2003,2.3,2.4,2003
Apr,2003,0.5,1.4,2003
May,2003,0.8,2.2,2003
Jun,2003,2.2,2.3,2003
Jul,2003,1.6,3.2,2003
Aug,2003,4.1,3.8,2003
Sept,2003,7.2,8.2,2003
Oct,2003,5.8,3,2003
Nov,2003,0.8,0.2,2004
Dec,2003,0,0,2004
Jan,2004,2,1.8,2004
Feb,2004,2.1,1.6,2004
Mar,2004,2.9,3.1,2004
Apr,2004,3.7,5.4,2004
May,2004,1.6,2.4,2004
Jun,2004,3.3,3.3,2004
Jul,2004,0.5,0.6,2004
Aug,2004,5.4,5,2004
Sept,2004,2.6,1.7,2004
Oct,2004,5,5.1,2004
Nov,2004,5.1,3.6,2005
Dec,2004,0,0,2005
Jan,2005,2.3,1.7,2005
Feb,2005,2.1,1.3,2005
Mar,2005,3.8,2.4,2005
Apr,2005,0.3,0.2,2005
May,2005,0.4,0.4,2005
Jun,2005,1.9,2.2,2005
Jul,2005,1.3,1.7,2005
Aug,2005,2.3,2.7,2005
Sept,2005,1.2,1.2,2005
Oct,2005,6.2,6,2005
Nov,2005,0,0,2006
Dec,2005,0,0.5,2006
Jan,2006,0,0,2006
Feb,2006,0.5,0.4,2006
Mar,2006,1.1,0.9,2006
Apr,2006,0,0,2006
May,2006,2.4,2.5,2006
Jun,2006,0.6,0.2,2006
Jul,2006,1.2,1.3,2006
Aug,2006,2,1.1,2006
Sept,2006,4.1,3.1,2006
Oct,2006,2.4,2.5,2006
Nov,2006,0,0,2007
Dec,2006,2.1,1.6,2007
Jan,2007,5.1,5,2007
Feb,2007,0,0,2007
