animal_id,date,year_cap,year_birth,cap_loc,rel_loc,sex,age,weight,dmp_past,B.C.Score,month
270-2007-1-003,7/3/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-006,7/13/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-007,7/13/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-009,7/14/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-010,7/16/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-011,7/24/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-012,7/24/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-013,7/27/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-051,7/18/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-053,7/18/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-056,7/22/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-057,7/22/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-058,7/24/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-061,7/27/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-062,7/29/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-065,7/31/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2007-1-066,7/31/2007,2007,2007,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2008-1-003,7/4/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2008-1-006,7/10/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2008-1-008,7/12/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2008-1-011,7/17/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2008-1-012,7/19/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2008-1-013,8/4/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2008-1-014,8/5/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2008-1-016,8/8/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2008-1-017,8/5/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2008-1-018,8/5/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2008-1-019,8/4/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2008-1-020,7/28/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2008-1-022,7/31/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2008-1-025,8/4/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2008-1-027,8/8/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2008-1-028,8/8/2008,2008,2008,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2009-1-002,7/3/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-005,7/20/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-008,7/21/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-009,7/21/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-010,7/21/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-011,7/26/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-012,7/26/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-013,7/26/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-020,7/6/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-021,7/6/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-022,7/9/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-023,7/13/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-024,7/14/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-029,7/20/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-032,7/22/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-033,7/22/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2009-1-038,8/11/2009,2009,2009,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2010-1-001,6/28/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,june
270-2010-1-003,6/28/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,june
270-2010-1-004,6/28/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,june
