26-Jan-26,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
   '*****FED PASTURES*****,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EAST YANA  PASTURE (high fenced),100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
    ACRES,"1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,053","1,053","1,053","1,053","1,053","1,053","1,053","1,053"
    YEARLING BUCKS (1 1/2 years),8,16,18,13,24,11,13,23,22,17,5,4,6,6,4
    MIDDLE AGED BUCKS (2 1/2 & 3 1/2 years),40,18,25,19,36,38,26,32,50,18,11,8,11,12,8
    MATURE BUCKS (4 1/2 years+),32,21,29,17,24,20,36,34,37,18,18,29,17,22,25
      Mature Average: <10 pts,21,8,11,4,8,6,10,5,10,4,3,5,12,9,6
      Mature Average: >=10 pts,3,3,7,3,4,6,14,9,4,3,2,6,1,4,6
      Mature Trophy (>150 B & C): < 10 pts.,0,2,1,2,1,1,1,3,1,0,2,3,0,2,0
      Mature Trophy (>150 B &C): >= 10 pts.,8,8,10,8,11,7,11,17,22,11,11,15,4,7,13
    TOTAL BUCKS,80,55,72,49,84,69,75,89,109,53,34,41,34,40,37
       % Yearling Bucks,10%,29%,25%,27%,29%,16%,17%,26%,20%,32%,15%,10%,18%,15%,11%
       % MIddle Aged Bucks,50%,33%,35%,39%,43%,55%,35%,36%,46%,34%,32%,20%,32%,30%,22%
       % Mature Bucks,40%,38%,40%,35%,29%,29%,48%,38%,34%,34%,53%,71%,50%,55%,68%
       % Mature Bucks > 10 points,34%,52%,59%,65%,63%,65%,69%,76%,70%,78%,72%,72%,29%,50%,76%
    DOES,41,38,55,53,86,69,44,79,91,45,35,29,51,44,56
    FAWNS,35,42,38,34,30,51,46,70,68,26,13,9,33,33,31
