animal_id,birth_year,age,status,cap_year
270-2007-1-001,2007,0.5,Captured,2007
270-2007-1-001,2007,1.5,Captured,2008
270-2007-1-001,2007,2.5,Captured,2009
270-2007-1-001,2007,3.5,Captured,2010
270-2007-1-001,2007,4.5,Captured,2011
270-2007-1-001,2007,5.5,Captured,2012
270-2007-1-001,2007,6.5,Captured,2013
270-2007-1-001,2007,7.5,Alive-Cuddy,2014
270-2007-1-001,2007,9.5,Captured,2016
270-2007-1-003,2007,0.5,Captured,2007
270-2007-1-006,2007,0.5,Captured,2007
270-2007-1-006,2007,1.5,Captured,2008
270-2007-1-006,2007,2.5,Captured,2009
270-2007-1-006,2007,3.5,Captured,2010
270-2007-1-006,2007,4.5,Captured,2011
270-2007-1-006,2007,5.5,Captured,2012
270-2007-1-006,2007,6.5,Captured,2013
270-2007-1-006,2007,7.5,Captured,2014
270-2007-1-006,2007,8.5,Captured,2015
270-2007-1-006,2007,9.5,Captured,2016
270-2007-1-006,2007,10.5,Captured,2017
270-2007-1-007,2007,0.5,Captured,2007
270-2007-1-007,2007,1.5,Captured,2008
270-2007-1-007,2007,2.5,Captured,2009
270-2007-1-007,2007,3.5,Captured,2010
270-2007-1-007,2007,4.5,Captured,2011
270-2007-1-007,2007,5.5,Captured,2012
270-2007-1-007,2007,7.5,Captured,2014
270-2007-1-007,2007,8.5,Captured,2015
270-2007-1-009,2007,0.5,Captured,2007
270-2007-1-010,2007,0.5,Captured,2007
270-2007-1-011,2007,0.5,Captured,2007
270-2007-1-011,2007,2.5,Captured,2009
270-2007-1-011,2007,3.5,Captured,2010
270-2007-1-011,2007,4.5,Captured,2011
270-2007-1-011,2007,5.5,Alive-Cuddy,2012
270-2007-1-011,2007,6.5,Captured,2013
270-2007-1-011,2007,7.5,Captured,2014
270-2007-1-011,2007,10.5,Nat Mortality,2017
270-2007-1-012,2007,0.5,Captured,2007
270-2007-1-012,2007,1.5,Captured,2008
270-2007-1-012,2007,2.5,Captured,2009
270-2007-1-012,2007,3.5,Alive-Cuddy,2010
270-2007-1-012,2007,4.5,Captured,2011
270-2007-1-012,2007,5.5,Alive-Cuddy,2012
270-2007-1-012,2007,7.5,Alive-Cuddy,2014
270-2007-1-012,2007,8.5,Captured,2015
270-2007-1-012,2007,9.5,Captured,2016
270-2007-1-012,2007,10.5,Captured,2017
270-2007-1-012,2007,12.5,Alive-Cuddy,2019
270-2007-1-013,2007,0.5,Captured,2007
270-2007-1-051,2007,0.5,Captured,2007
270-2007-1-051,2007,1.5,Captured,2008
270-2007-1-051,2007,2.5,Captured,2009
270-2007-1-051,2007,3.5,Captured,2010
270-2007-1-051,2007,4.5,Captured,2011
270-2007-1-051,2007,5.5,Captured,2012
270-2007-1-051,2007,6.5,Captured,2013
270-2007-1-051,2007,7.5,Captured,2014
270-2007-1-051,2007,8.5,Alive-Cuddy,2015
270-2007-1-051,2007,9.5,Captured,2016
270-2007-1-051,2007,10.5,Captured,2017
270-2007-1-053,2007,0.5,Captured,2007
270-2007-1-053,2007,1.5,Captured,2008
270-2007-1-053,2007,2.5,Captured,2009
270-2007-1-056,2007,0.5,Captured,2007
270-2007-1-056,2007,1.5,Captured,2008
270-2007-1-056,2007,2.5,Captured,2009
270-2007-1-056,2007,3.5,Captured,2010
270-2007-1-056,2007,4.5,Captured,2011
270-2007-1-056,2007,5.5,Captured,2012
270-2007-1-056,2007,6.5,Captured,2013
270-2007-1-056,2007,7.5,Captured,2014
270-2007-1-056,2007,8.5,Captured,2015
270-2007-1-056,2007,9.5,Captured,2016
270-2007-1-057,2007,0.5,Captured,2007
270-2007-1-057,2007,1.5,Captured,2008
270-2007-1-057,2007,2.5,Captured,2009
270-2007-1-057,2007,3.5,Captured,2010
270-2007-1-057,2007,4.5,Captured,2011
270-2007-1-057,2007,5.5,Captured,2012
270-2007-1-057,2007,6.5,Captured,2013
270-2007-1-057,2007,7.5,Alive-Cuddy,2014
270-2007-1-057,2007,8.5,Captured,2015
270-2007-1-057,2007,9.5,Alive-Cuddy,2016
270-2007-1-057,2007,10.5,Captured,2017
270-2007-1-057,2007,11.5,Alive-Cuddy,2018
270-2007-1-058,2007,0.5,Captured,2007
270-2007-1-058,2007,1.5,Captured,2008
270-2007-1-058,2007,2.5,Nat Mortality,2009
270-2007-1-061,2007,0.5,Captured,2007
270-2007-1-061,2007,1.5,Captured,2008
270-2007-1-062,2007,0.5,Captured,2007
270-2007-1-065,2007,0.5,Captured,2007
270-2007-1-065,2007,1.5,Captured,2008
270-2007-1-065,2007,2.5,Captured,2009
270-2007-1-065,2007,3.5,Captured,2010
270-2007-1-065,2007,4.5,Captured,2011
270-2007-1-065,2007,5.5,Captured,2012
270-2007-1-065,2007,6.5,Harvested,2013
270-2007-1-066,2007,0.5,Captured,2007
270-2007-1-066,2007,1.5,Captured,2008
270-2007-1-066,2007,2.5,Captured,2009
270-2007-1-066,2007,3.5,Captured,2010
270-2007-1-066,2007,4.5,Captured,2011
270-2007-1-066,2007,5.5,Captured,2012
270-2007-1-066,2007,6.5,Captured,2013
270-2007-1-066,2007,7.5,Captured,2014
270-2007-1-066,2007,8.5,Captured,2015
270-2007-1-066,2007,9.5,Nat Mortality,2016
270-2008-1-003,2008,0.5,Captured,2008
270-2008-1-006,2008,0.5,Captured,2008
270-2008-1-006,2008,1.5,Captured,2009
270-2008-1-008,2008,0.5,Captured,2008
270-2008-1-008,2008,1.5,Captured,2009
270-2008-1-008,2008,2.5,Alive-Cuddy,2010
270-2008-1-008,2008,3.5,Alive-Cuddy,2011
270-2008-1-008,2008,4.5,Captured,2012
270-2008-1-008,2008,5.5,Captured,2013
270-2008-1-008,2008,6.5,Harvested,2014
270-2008-1-011,2008,0.5,Captured,2008
270-2008-1-011,2008,1.5,Captured,2009
270-2008-1-011,2008,2.5,Captured,2010
270-2008-1-011,2008,3.5,Captured,2011
270-2008-1-011,2008,4.5,Captured,2012
270-2008-1-011,2008,5.5,Captured,2013
270-2008-1-011,2008,6.5,Captured,2014
270-2008-1-011,2008,7.5,Captured,2015
270-2008-1-012,2008,0.5,Captured,2008
270-2008-1-012,2008,1.5,Captured,2009
270-2008-1-012,2008,2.5,Captured,2010
270-2008-1-012,2008,3.5,Captured,2011
270-2008-1-012,2008,4.5,Captured,2012
270-2008-1-012,2008,5.5,Captured,2013
270-2008-1-012,2008,6.5,Captured,2014
270-2008-1-012,2008,7.5,Captured,2015
270-2008-1-012,2008,8.5,Captured,2016
270-2008-1-012,2008,9.5,Nat Mortality,2017
270-2008-1-013,2008,0.5,Captured,2008
270-2008-1-013,2008,1.5,Captured,2009
270-2008-1-013,2008,2.5,Captured,2010
270-2008-1-013,2008,3.5,Captured,2011
270-2008-1-013,2008,4.5,Captured,2012
270-2008-1-013,2008,5.5,Alive-Cuddy,2013
270-2008-1-013,2008,6.5,Captured,2014
270-2008-1-013,2008,7.5,Captured,2015
270-2008-1-013,2008,8.5,Captured,2016
270-2008-1-013,2008,9.5,Captured,2017
270-2008-1-014,2008,0.5,Captured,2008
270-2008-1-014,2008,1.5,Captured,2009
270-2008-1-014,2008,2.5,Captured,2010
270-2008-1-014,2008,3.5,Alive-Cuddy,2011
270-2008-1-014,2008,4.5,Captured,2012
270-2008-1-014,2008,5.5,Captured,2013
270-2008-1-014,2008,6.5,Captured,2014
270-2008-1-014,2008,7.5,Captured,2015
270-2008-1-014,2008,8.5,Alive-Cuddy,2016
270-2008-1-016,2008,0.5,Captured,2008
270-2008-1-017,2008,0.5,Captured,2008
270-2008-1-017,2008,1.5,Captured,2009
270-2008-1-017,2008,2.5,Captured,2010
270-2008-1-017,2008,3.5,Captured,2011
270-2008-1-017,2008,4.5,Captured,2012
270-2008-1-017,2008,5.5,Captured,2013
270-2008-1-017,2008,6.5,Captured,2014
270-2008-1-017,2008,7.5,Captured,2015
270-2008-1-017,2008,8.5,Captured,2016
270-2008-1-017,2008,9.5,Alive-Cuddy,2017
270-2008-1-017,2008,10.5,Captured,2018
270-2008-1-017,2008,11.5,Captured,2019
270-2008-1-018,2008,0.5,Captured,2008
270-2008-1-018,2008,1.5,Captured,2009
270-2008-1-018,2008,2.5,Captured,2010
270-2008-1-018,2008,4.5,Captured,2012
270-2008-1-018,2008,5.5,Alive-Cuddy,2013
270-2008-1-018,2008,7.5,Captured,2015
270-2008-1-018,2008,8.5,Captured,2016
270-2008-1-018,2008,9.5,Alive-Cuddy,2017
270-2008-1-018,2008,10.5,Captured,2018
270-2008-1-019,2008,0.5,Captured,2008
270-2008-1-019,2008,1.5,Captured,2009
270-2008-1-019,2008,2.5,Captured,2010
270-2008-1-019,2008,3.5,Alive-Cuddy,2011
270-2008-1-019,2008,4.5,Alive-Cuddy,2012
270-2008-1-019,2008,5.5,Alive-Cuddy,2013
270-2008-1-019,2008,6.5,Harvested,2014
270-2008-1-020,2008,0.5,Captured,2008
270-2008-1-022,2008,0.5,Captured,2008
270-2008-1-022,2008,1.5,Captured,2009
270-2008-1-022,2008,2.5,Alive-Cuddy,2010
270-2008-1-022,2008,3.5,Captured,2011
270-2008-1-022,2008,4.5,Captured,2012
270-2008-1-022,2008,5.5,Captured,2013
270-2008-1-022,2008,6.5,Captured,2014
270-2008-1-022,2008,7.5,Captured,2015
270-2008-1-022,2008,8.5,Captured,2016
270-2008-1-025,2008,0.5,Captured,2008
270-2008-1-027,2008,0.5,Captured,2008
270-2008-1-028,2008,0.5,Captured,2008
270-2008-1-028,2008,1.5,Alive-Cuddy,2009
270-2008-1-028,2008,2.5,Captured,2010
270-2008-1-028,2008,3.5,Captured,2011
270-2008-1-028,2008,4.5,Captured,2012
270-2008-1-028,2008,5.5,Alive-Cuddy,2013
270-2008-1-028,2008,6.5,Alive-Cuddy,2014
270-2009-1-002,2009,0.5,Captured,2009
270-2009-1-002,2009,1.5,Captured,2010
270-2009-1-002,2009,2.5,Captured,2011
270-2009-1-002,2009,3.5,Captured,2012
270-2009-1-002,2009,4.5,Alive-Cuddy,2013
270-2009-1-002,2009,5.5,Captured,2014
270-2009-1-002,2009,6.5,Captured,2015
270-2009-1-002,2009,7.5,Captured,2016
270-2009-1-002,2009,8.5,Captured,2017
270-2009-1-002,2009,9.5,Alive-Cuddy,2018
270-2009-1-005,2009,0.5,Captured,2009
270-2009-1-008,2009,0.5,Captured,2009
270-2009-1-009,2009,0.5,Captured,2009
270-2009-1-009,2009,1.5,Captured,2010
270-2009-1-009,2009,2.5,Captured,2011
270-2009-1-009,2009,3.5,Captured,2012
270-2009-1-009,2009,4.5,Captured,2013
270-2009-1-009,2009,5.5,Captured,2014
270-2009-1-009,2009,6.5,Captured,2015
270-2009-1-009,2009,7.5,Alive-Cuddy,2016
270-2009-1-009,2009,8.5,Captured,2017
270-2009-1-009,2009,9.5,Alive-Cuddy,2018
270-2009-1-009,2009,10.5,Captured,2019
270-2009-1-009,2009,11.5,Captured,2020
270-2009-1-010,2009,0.5,Captured,2009
270-2009-1-010,2009,1.5,Captured,2010
270-2009-1-010,2009,2.5,Captured,2011
270-2009-1-010,2009,3.5,Captured,2012
270-2009-1-010,2009,4.5,Captured,2013
270-2009-1-010,2009,5.5,Harvested,2014
270-2009-1-011,2009,0.5,Captured,2009
270-2009-1-011,2009,1.5,Captured,2010
270-2009-1-011,2009,2.5,Captured,2011
270-2009-1-011,2009,3.5,Captured,2012
270-2009-1-011,2009,4.5,Captured,2013
270-2009-1-011,2009,5.5,Captured,2014
270-2009-1-011,2009,6.5,Harvested,2015
270-2009-1-012,2009,0.5,Captured,2009
270-2009-1-012,2009,1.5,Alive-Cuddy,2010
270-2009-1-012,2009,2.5,Captured,2011
270-2009-1-012,2009,3.5,Captured,2012
270-2009-1-012,2009,4.5,Captured,2013
270-2009-1-012,2009,5.5,Captured,2014
270-2009-1-012,2009,6.5,Captured,2015
270-2009-1-012,2009,7.5,Captured,2016
270-2009-1-012,2009,8.5,Captured,2017
270-2009-1-013,2009,0.5,Captured,2009
270-2009-1-013,2009,1.5,Captured,2010
270-2009-1-020,2009,0.5,Captured,2009
270-2009-1-020,2009,1.5,Captured,2010
270-2009-1-020,2009,2.5,Captured,2011
270-2009-1-020,2009,3.5,Captured,2012
270-2009-1-020,2009,4.5,Captured,2013
270-2009-1-020,2009,5.5,Captured,2014
270-2009-1-020,2009,6.5,Captured,2015
270-2009-1-020,2009,7.5,Nat Mortality,2016
270-2009-1-021,2009,0.5,Captured,2009
270-2009-1-021,2009,1.5,Captured,2010
270-2009-1-021,2009,2.5,Captured,2011
270-2009-1-021,2009,3.5,Captured,2012
270-2009-1-021,2009,4.5,Alive-Cuddy,2013
270-2009-1-021,2009,5.5,Captured,2014
270-2009-1-021,2009,6.5,Alive-Cuddy,2015
270-2009-1-021,2009,7.5,Alive-Cuddy,2016
270-2009-1-022,2009,0.5,Captured,2009
270-2009-1-023,2009,0.5,Captured,2009
270-2009-1-023,2009,1.5,Captured,2010
270-2009-1-023,2009,2.5,Captured,2011
270-2009-1-023,2009,3.5,Captured,2012
270-2009-1-023,2009,4.5,Captured,2013
270-2009-1-023,2009,5.5,Captured,2014
270-2009-1-023,2009,6.5,Captured,2015
270-2009-1-023,2009,7.5,Captured,2016
270-2009-1-023,2009,8.5,Captured,2017
270-2009-1-024,2009,0.5,Captured,2009
270-2009-1-024,2009,1.5,Captured,2010
270-2009-1-024,2009,2.5,Captured,2011
270-2009-1-024,2009,3.5,Captured,2012
