#  Dimmit County, Texas Palmer Modified Drought Index (PMDI)
Date,Value
200001,-2.07
200002,-2.18
200003,-2.55
200004,-2.83
200005,-3.26
200006,-2.58
200007,-3.38
200008,-3.98
200009,-4.21
200010,-3.06
200011,-0.38
200012,0.06
200101,0.98
200102,0.34
200103,1.33
200104,0.34
200105,-0.46
200106,-1.54
200107,-1.83
200108,-1.8
200109,-1.99
200110,-2.72
200111,-2.27
200112,-1.79
200201,-2.38
200202,-2.59
200203,-2.73
200204,-3.29
200205,-3.62
200206,-4.09
200207,3.29
200208,2.6
200209,3.13
200210,3.59
200211,3.6
200212,2.76
200301,2.19
200302,2.51
200303,2.81
200304,1.64
200305,-1
200306,-0.9
200307,2.66
200308,1.13
200309,2.77
200310,3.21
200311,2.88
200312,1.52
200401,1.59
200402,1.79
200403,3.26
200404,4.59
200405,4.31
200406,5.14
200407,4.82
200408,4.85
200409,3.32
200410,1.69
200411,4.07
200412,2.85
200501,2.55
200502,2.42
200503,3.03
200504,1.52
200505,0.22
200506,-1.54
200507,-1.77
200508,-2.35
200509,-2.98
200510,-1.99
200511,-2.79
200512,-2.83
200601,-3.17
200602,-3.42
200603,-3.93
200604,-4.43
200605,-4.55
200606,-5.1
200607,-4.2
200608,-4.76
200609,-3.21
200610,-4.12
200611,-4.39
200612,-3.27
200701,-0.46
200702,-0.97
200703,0.8
200704,1.02
200705,3.05
200706,4.1
200707,7.11
200708,6.79
200709,6.45
200710,4.35
200711,2.81
200712,1.43
200801,0.21
200802,-1.53
200803,-2.32
200804,-2.52
200805,-2.8
200806,-3.51
200807,-2.78
200808,-0.33
200809,-1.61
200810,-2.48
200811,-2.89
200812,-2.94
200901,-3.23
200902,-3.64
200903,-3.76
200904,-3.8
200905,-4.32
200906,-4.9
200907,-5.12
200908,-5.24
200909,-4.76
200910,-3.64
200911,-2.69
200912,-1.69
201001,-0.13
201002,2.19
201003,2.26
201004,2.34
201005,2.09
201006,1.02
201007,2.54
201008,0.81
201009,2.29
201010,0.33
201011,-1.08
201012,-1.46
201101,-1.37
201102,-1.77
201103,-2.41
201104,-3.29
201105,-3.88
201106,-4.48
201107,-4.25
201108,-4.51
201109,-4.87
201110,-3.68
201111,-4.07
201112,-1.77
201201,-1.72
201202,-1.53
201203,1.48
201204,0.77
201205,1.62
201206,-0.53
201207,-0.65
201208,-1.45
201209,-0.65
201210,-1.75
201211,-2.2
201212,-2.55
201301,-2.35
201302,-2.58
201303,-3.02
201304,-3.03
201305,-3.27
201306,-1.5
201307,-2.06
201308,-2.97
201309,-2.78
201310,-0.62
201311,0.27
201312,0.5
201401,-0.08
201402,-0.4
201403,-0.08
201404,-1.1
201405,-1.76
201406,-2
201407,-1.96
201408,-2.53
201409,-1.89
201410,-2.74
201411,0.09
201412,-0.16
201501,0.42
201502,0.41
201503,2.06
201504,2.6
201505,4.17
201506,4.32
201507,4.23
201508,2.15
201509,-0.17
201510,0.12
201511,1.31
201512,0.36
201601,0.13
201602,-1.04
201603,-0.36
201604,-0.55
201605,-0.75
201606,-1.42
201607,-1.79
201608,0.76
201609,0.25
201610,-1.66
201611,-1.55
201612,1.09
201701,-0.46
201702,-0.96
201703,-0.96
201704,-0.87
201705,-1.12
201706,-1.34
201707,-1.89
201708,-1.96
201709,0.36
201710,-0.46
201711,-1.51
201712,0.11
201801,-0.28
201802,-0.9
201803,-1.35
201804,-1.9
201805,-2.42
201806,-3.19
201807,-2.81
201808,-2.33
201809,2.09
201810,2.73
201811,2.42
201812,2.36
201901,1.61
201902,0.38
201903,-0.36
201904,-0.33
201905,-0.86
201906,-1.19
201907,-1.75
201908,-2.37
201909,-3
201910,-2.89
201911,-2.97
201912,-3.17
202001,-3.38
202002,-3.58
202003,-3.37
202004,-3.27
202005,-3.32
202006,-3.59
202007,-3.33
202008,-3.64
202009,-2.84
202010,-3.58
202011,-3.57
202012,-3.36
202101,-3.14
202102,-3.01
202103,-3.36
202104,-3.61
202105,-2.86
202106,-2.8
202107,0.36
202108,1.41
202109,-0.62
202110,-1.34
202111,-0.72
202112,-2.06
202201,-2.37
202202,-2.56
202203,-2.85
202204,-3.12
202205,-3.72
202206,-4.4
202207,-4.74
202208,0.27
202209,0.18
202210,-0.29
202211,0.35
202212,-0.28
202301,-1.19
202302,-2
202303,-2.67
202304,-2.94
202305,-2.42
202306,-3.3
202307,-3.6
202308,-3.78
202309,-4.47
202310,-4.38
202311,-3.69
202312,-3.68
202401,-3.31
202402,-3.4
202403,-3.5
202404,-3.68
202405,-4.16
202406,-3.55
202407,-3.42
202408,-4.04
202409,-3.76
202410,-4.37
202411,-4.53
202412,-4.65
202501,-3.9
202502,-4.18
202503,-4.28
202504,-4.83
202505,-4.39
202506,-4.07
