#  Dimmit County, Texas Maximum Temperature
# Units: Degrees Fahrenheit,
Date,Value
200001,72.3
200002,77.7
200003,82.9
200004,86.8
200005,95
200006,94.9
200007,103.1
200008,100.6
200009,97.4
200010,81.8
200011,68.8
200012,58.9
200101,61.3
200102,71.4
200103,70.1
200104,86.1
200105,93.5
200106,100
200107,101
200108,100
200109,92.6
200110,85.7
200111,76.1
200112,66
200201,69.2
200202,69.3
200203,76.7
200204,90.4
200205,94.4
200206,98.4
200207,92.8
200208,97.6
200209,89.6
200210,81.4
200211,70.2
200212,68
200301,63.8
200302,66.1
200303,75.2
200304,85.5
200305,94.7
200306,96.8
200307,93.7
200308,98.3
200309,87.6
200310,82.5
200311,74.1
200312,70.3
200401,65.6
200402,67.4
200403,77.6
200404,79.5
200405,87
200406,93.7
200407,95.4
200408,96.8
200409,91
200410,88.9
200411,74.6
200412,68.2
200501,68.5
200502,65.8
200503,78.5
200504,86
200505,90.2
200506,98.6
200507,100.3
200508,100.1
200509,99.2
200510,84.1
200511,79.8
200512,68
200601,75.8
200602,73.5
200603,83.8
200604,92.2
200605,96.4
200606,99.7
200607,98.5
200608,101.7
200609,92.6
200610,85.3
200611,79.2
200612,65.6
200701,59.5
200702,70.5
200703,79.4
200704,81.2
200705,87.3
200706,90.9
200707,89.3
200708,94.3
200709,91
200710,88.1
200711,77.2
200712,72.1
200801,67.3
200802,80.1
200803,83.7
200804,88.5
200805,93.8
200806,100.4
200807,94.6
200808,96.5
200809,91.3
200810,86.8
200811,78.3
200812,69.7
200901,72.1
200902,79.5
200903,82.1
200904,89.3
200905,95.8
200906,100.7
200907,103.3
200908,103
200909,90.7
200910,84.5
200911,75.5
200912,57.5
201001,63.2
201002,63
201003,76.8
201004,82.6
201005,91.5
201006,97.1
201007,93.7
201008,100.9
201009,91.3
201010,87.3
201011,79.5
201012,71.3
201101,64.7
201102,72.6
201103,85.2
201104,95.1
201105,95.2
201106,101.3
201107,102
201108,104.1
201109,99.3
201110,86.8
201111,77.6
201112,63.5
201201,70.2
201202,68.1
201203,82.1
201204,91
201205,91.7
201206,99.6
201207,98.8
201208,101.3
201209,94.5
201210,85.5
201211,77.2
201212,72.4
201301,67.8
201302,74.6
201303,81.2
201304,84.6
201305,90.6
201306,96.7
201307,97
201308,100.2
201309,92.5
201310,85
201311,70.3
201312,63.1
201401,64.1
201402,69.6
201403,74.2
201404,86.5
201405,89.6
201406,96.1
201407,97.7
201408,100.6
201409,91.2
201410,88.3
201411,68
201412,66.8
201501,59.9
201502,67
201503,71.2
201504,81.9
201505,86.1
201506,90.8
201507,97.9
201508,100.2
201509,96
201510,88.7
201511,73.6
201512,70.5
201601,66.1
201602,78.2
201603,80.7
201604,85
201605,87.3
201606,95.3
201607,102.1
201608,96.2
201609,93.4
201610,89.3
201611,78.7
201612,65.3
201701,72.9
201702,80.8
201703,81.1
201704,87.2
201705,91
201706,96.8
201707,100.9
201708,98.9
201709,93.7
201710,83.6
201711,77.1
201712,63.7
201801,62.2
201802,71.8
201803,82.6
201804,84.4
201805,94.9
201806,99.9
201807,101.4
201808,99.4
201809,88
201810,78.1
201811,69.8
201812,68.2
201901,64.8
201902,70.7
201903,75.4
201904,85.1
201905,89.8
201906,97.7
201907,100.9
201908,103.4
201909,97.8
201910,86.5
201911,71.4
201912,73.2
202001,71
202002,71.4
202003,83.3
202004,86
202005,93.7
202006,96
202007,101.5
202008,101.2
202009,90.4
202010,87.6
202011,81.3
202012,71.1
202101,66.2
202102,65.7
202103,81.8
202104,86.2
202105,90.1
202106,95.1
202107,94
202108,96
202109,96.6
202110,90
202111,76.2
202112,77.6
202201,67.2
202202,68.8
202203,81.3
202204,89.8
202205,97.7
202206,102
202207,103.8
202208,97.2
202209,91.9
202210,84.4
202211,69.8
202212,66.1
202301,73.8
202302,73.7
202303,82.5
202304,84.7
202305,89.5
202306,102.1
202307,103
202308,102.9
202309,98.9
202310,84.5
202311,70.4
202312,71.1
202401,63.8
202402,77.9
202403,81.2
202404,88.8
202405,95.2
202406,97.3
202407,97.2
202408,101.8
202409,92.4
202410,91.1
202411,82
202412,73.2
202501,60.4
202502,73.3
202503,86.7
202504,90.6
202505,95.2
202506,97.1
